顧客ID,DATE,大分類,中分類,商品コード,数量,単価,小計
140101,2025-09-17,"コンビニウェア・日用品","靴下",9900172,1,398,398
140102,2025-09-03,"パン・デザート","ケーキ",9918709,1,214,214
140102,2025-09-24,"日配品・冷凍食品","バナナ",9914153,3,242,726
140106,2025-09-20,"飲料・お酒","缶ビール",9900980,2,230,460
140106,2025-09-20,"コーヒー","アイスコーヒー",9900734,1,130,130
140106,2025-09-23,"お弁当・おむすび","惣菜おにぎり",9900559,1,220,220
140106,2025-09-23,"飲料・お酒","缶ビール",9900978,1,336,336
140111,2025-09-19,"パン・デザート","惣菜パン",9911404,5,836,4180
140111,2025-09-19,"コンビニウェア・日用品","靴下",9900369,5,257,1285
140111,2025-09-26,"コンビニウェア・日用品","靴下",9902339,8,428,3424
140112,2025-09-02,"コンビニウェア・日用品","靴下",9901961,1,104,104
140112,2025-09-04,"パン・デザート","ケーキ",9901011,1,199,199
140112,2025-09-04,"パン・デザート","ケーキ",9901010,2,123,246
140112,2025-09-04,"パン・デザート","ケーキ",9901082,2,995,1990
140112,2025-09-23,"パン・デザート","ケーキ",9901010,3,123,369
140113,2025-09-04,"飲料・お酒","ハイボール",9902382,4,300,1200
140113,2025-09-04,"日配品・冷凍食品","カップアイス",9911344,1,146,146
140113,2025-09-11,"パン・デザート","プリン",9905882,1,230,230
140113,2025-09-11,"日配品・冷凍食品","カップアイス",9907228,1,113,113
140113,2025-09-23,"コーヒー","ブレンドコーヒー",9910496,2,780,1560
140113,2025-09-23,"コーヒー","ブレンドコーヒー",9910495,2,650,1300
140113,2025-09-23,"コンビニウェア・日用品","傘",9908544,1,145,145
140113,2025-09-23,"日配品・冷凍食品","カップアイス",9918977,1,590,590
140118,2025-09-04,"パン・デザート","パフェ",9900607,1,350,350
140118,2025-09-17,"飲料・お酒","清涼飲料",9901006,1,292,292
140118,2025-09-30,"飲料・お酒","清涼飲料",9900294,1,775,775
140120,2025-09-22,"パン・デザート","タルト",9905754,1,135,135
140120,2025-09-22,"パン・デザート","ケーキ",9901010,2,111,222
140122,2025-09-11,"飲料・お酒","チューハイ",9902735,2,212,424
140122,2025-09-11,"飲料・お酒","チューハイ",9910112,1,237,237
140122,2025-09-11,"飲料・お酒","チューハイ",9900115,1,273,273
140122,2025-09-11,"日配品・冷凍食品","カップアイス",9900022,1,148,148
140122,2025-09-22,"コーヒー","ブレンドコーヒー",9901456,3,240,720
140122,2025-09-27,"飲料・お酒","缶ビール",9901880,1,759,759
140126,2025-09-30,"日配品・冷凍食品","カップアイス",9901081,2,215,430
140127,2025-09-12,"飲料・お酒","ハイボール",9928304,7,369,2583
140127,2025-09-12,"パン・デザート","惣菜パン",9938050,1,111,111
140127,2025-09-12,"パン・デザート","惣菜パン",9909221,3,646,1938
140127,2025-09-12,"パン・デザート","惣菜パン",9900875,2,919,1838
140127,2025-09-12,"コンビニウェア・日用品","靴下",9900172,1,378,378
140130,2025-09-15,"お弁当・おむすび","直巻きおにぎり",9900422,3,172,516
140130,2025-09-15,"パン・デザート","シュークリーム",9900217,1,782,782
140130,2025-09-30,"パン・デザート","タルト",9900952,1,135,135
140130,2025-09-30,"コンビニウェア・日用品","靴下",9901990,2,172,344
140144,2025-09-24,"コンビニウェア・日用品","靴下",9900172,1,398,398
140145,2025-09-02,"飲料・お酒","清涼飲料",9900475,5,290,1450
140145,2025-09-02,"パン・デザート","サンドイッチ",9938080,1,112,112
140145,2025-09-02,"コンビニウェア・日用品","傘",9908099,1,196,196
140145,2025-09-21,"コーヒー","アイスコーヒー",9900450,1,94,94
140151,2025-09-09,"お弁当・おむすび","ガツうまおにぎり",9900307,1,288,288
140152,2025-09-03,"ホットスナック","チキン",9900654,1,149,149
140152,2025-09-03,"コーヒー","アイスコーヒー",9906397,1,176,176
140152,2025-09-03,"コンビニウェア・日用品","靴下",9902306,2,182,364
140160,2025-09-02,"パン・デザート","惣菜パン",9905540,1,360,360
140160,2025-09-07,"パン・デザート","ケーキ",9938090,2,634,1268
140160,2025-09-07,"日配品・冷凍食品","カップアイス",9900742,5,239,1195
140163,2025-09-03,"飲料・お酒","清涼飲料",9900178,1,400,400
140163,2025-09-30,"飲料・お酒","清涼飲料",9900178,1,400,400
140165,2025-09-21,"お弁当・おむすび","ガツうまおにぎり",9900508,1,160,160
140165,2025-09-21,"コンビニウェア・日用品","靴下",9911398,1,156,156
140165,2025-09-28,"パン・デザート","パフェ",9900707,2,297,594
140168,2025-09-12,"パン・デザート","どら焼き",9934082,1,351,351
140168,2025-09-12,"パン・デザート","タルト",9901437,3,874,2622
140168,2025-09-12,"パン・デザート","どら焼き",9916847,1,408,408
140168,2025-09-12,"パン・デザート","どら焼き",9907546,1,352,352
140169,2025-09-16,"コーヒー","アイスコーヒー",9905432,1,198,198
140169,2025-09-16,"コーヒー","アイスコーヒー",9900236,1,115,115
140169,2025-09-21,"日配品・冷凍食品","カップアイス",9900318,1,85,85
140170,2025-09-01,"コンビニウェア・日用品","傘",9938107,4,395,1580
140170,2025-09-01,"日配品・冷凍食品","サラダチキン",9925762,2,544,1088
140170,2025-09-01,"日配品・冷凍食品","サラダチキン",9921607,2,544,1088
140170,2025-09-01,"コンビニウェア・日用品","傘",9904413,2,868,1736
140170,2025-09-01,"コンビニウェア・日用品","傘",9904431,8,151,1208
140171,2025-09-03,"パン・デザート","シュークリーム",9900227,2,650,1300
140171,2025-09-06,"コンビニウェア・日用品","靴下",9906873,1,418,418
140171,2025-09-12,"日配品・冷凍食品","カップアイス",9907449,4,712,2848
140171,2025-09-12,"コンビニウェア・日用品","靴下",9900171,1,151,151
140171,2025-09-26,"コンビニウェア・日用品","靴下",9900171,1,151,151
140176,2025-09-22,"飲料・お酒","清涼飲料",9900199,2,215,430
140176,2025-09-22,"お弁当・おむすび","惣菜おにぎり",9900376,2,485,970
140177,2025-09-14,"日配品・冷凍食品","カップアイス",9914681,2,218,436
140177,2025-09-14,"コーヒー","ブレンドコーヒー",9900954,2,147,294
140181,2025-09-12,"パン・デザート","惣菜パン",9925254,1,150,150
140181,2025-09-12,"コーヒー","アイスコーヒー",9900451,1,44,44
140181,2025-09-26,"日配品・冷凍食品","カップアイス",9900174,1,275,275
140184,2025-09-04,"日配品・冷凍食品","カップアイス",9936956,3,551,1653
140184,2025-09-04,"日配品・冷凍食品","カップアイス",9916937,5,374,1870
140184,2025-09-04,"日配品・冷凍食品","冷凍スイーツ",9906371,1,164,164
140184,2025-09-04,"日配品・冷凍食品","冷凍スイーツ",9903532,5,598,2990
140184,2025-09-04,"日配品・冷凍食品","冷凍スイーツ",9903437,5,540,2700
140184,2025-09-04,"日配品・冷凍食品","カップアイス",9913588,1,280,280
140184,2025-09-08,"パン・デザート","ケーキ",9909367,1,270,270
140184,2025-09-08,"パン・デザート","ケーキ",9904571,1,180,180
140184,2025-09-23,"パン・デザート","ケーキ",9901010,1,123,123
140184,2025-09-23,"パン・デザート","タルト",9905754,1,135,135
140184,2025-09-23,"パン・デザート","シュークリーム",9904293,1,293,293
140184,2025-09-23,"コンビニウェア・日用品","靴下",9900198,1,398,398
140184,2025-09-23,"コンビニウェア・日用品","靴下",9905782,1,150,150
140184,2025-09-25,"お弁当・おむすび","おかずセットおにぎり",9914901,1,524,524
140186,2025-09-01,"飲料・お酒","ハイボール",9916621,6,880,5280
140186,2025-09-01,"飲料・お酒","ハイボール",9907314,4,164,656
140186,2025-09-01,"パン・デザート","惣菜パン",9900990,1,123,123
140192,2025-09-02,"飲料・お酒","清涼飲料",9900200,5,598,2990
140192,2025-09-02,"日配品・冷凍食品","カップアイス",9902374,5,208,1040
140192,2025-09-24,"日配品・冷凍食品","カップアイス",9902374,8,197,1576
140192,2025-09-30,"飲料・お酒","清涼飲料",9900200,6,700,4200
140194,2025-09-02,"パン・デザート","惣菜パン",9909284,8,370,2960
140194,2025-09-02,"パン・デザート","タルト",9902235,1,198,198
140194,2025-09-02,"パン・デザート","シュークリーム",9901754,1,180,180
140194,2025-09-02,"コーヒー","アイスコーヒー",9903375,5,480,2400
140194,2025-09-02,"パン・デザート","プリン",9903739,2,590,1180
140194,2025-09-03,"パン・デザート","プリン",9900524,3,590,1770
140194,2025-09-07,"パン・デザート","惣菜パン",9902697,3,420,1260
140194,2025-09-10,"パン・デザート","惣菜パン",9902978,5,420,2100
140194,2025-09-24,"パン・デザート","惣菜パン",9904881,3,380,1140
140197,2025-09-18,"パン・デザート","タルト",9900220,3,890,2670
140199,2025-09-06,"コンビニウェア・日用品","靴下",9903430,1,598,598
140199,2025-09-24,"コンビニウェア・日用品","靴下",9901834,1,398,398
140201,2025-09-29,"お弁当・おむすび","定番弁当",9924810,3,355,1065
140201,2025-09-29,"パン・デザート","ケーキ",9937672,1,790,790
140201,2025-09-29,"パン・デザート","どら焼き",9933663,3,117,351
140206,2025-09-30,"お弁当・おむすび","惣菜おにぎり",9903530,2,367,734
140206,2025-09-30,"ホットスナック","チキン",9900770,4,440,1760
140206,2025-09-30,"飲料・お酒","清涼飲料",9900184,1,390,390
140206,2025-09-30,"コンビニウェア・日用品","靴下",9900171,1,159,159
140209,2025-09-01,"コーヒー","アイスコーヒー",9900519,1,128,128
140209,2025-09-01,"コーヒー","アイスコーヒー",9900243,1,283,283
140209,2025-09-01,"コーヒー","アイスコーヒー",9938143,1,183,183
140209,2025-09-14,"お弁当・おむすび","惣菜おにぎり",9934265,1,215,215
140209,2025-09-14,"コンビニウェア・日用品","靴下",9900171,1,155,155
140209,2025-09-17,"ホットスナック","チキン",9905281,2,743,1486
140212,2025-09-02,"パン・デザート","サンドイッチ",9909400,1,255,255
140212,2025-09-02,"パン・デザート","サンドイッチ",9902932,1,207,207
140212,2025-09-24,"飲料・お酒","缶コーヒー",9901537,1,313,313
140212,2025-09-24,"パン・デザート","ケーキ",9901010,4,123,492
140212,2025-09-28,"パン・デザート","ケーキ",9901083,2,164,328
140213,2025-09-19,"パン・デザート","シュークリーム",9902309,1,275,275
140217,2025-09-09,"日配品・冷凍食品","カップアイス",9900688,2,166,332
140217,2025-09-22,"飲料・お酒","清涼飲料",9900200,2,700,1400
140217,2025-09-22,"日配品・冷凍食品","カップアイス",9900688,1,175,175
140224,2025-09-03,"お弁当・おむすび","惣菜おにぎり",9900376,1,440,440
140226,2025-09-04,"お弁当・おむすび","ガツうまおにぎり",9908200,1,723,723
140226,2025-09-04,"コンビニウェア・日用品","ノート",9905080,1,638,638
140226,2025-09-22,"コーヒー","アイスコーヒー",9904974,1,124,124
140226,2025-09-22,"コンビニウェア・日用品","靴下",9902549,2,214,428
140228,2025-09-12,"飲料・お酒","清涼飲料",9900295,1,181,181
140228,2025-09-12,"コーヒー","アイスコーヒー",9905067,5,333,1665
140230,2025-09-21,"ホットスナック","チキン",9901609,2,196,392
140233,2025-09-16,"コンビニウェア・日用品","靴下",9900171,1,155,155
140233,2025-09-30,"飲料・お酒","清涼飲料",9900475,1,290,290
140234,2025-09-01,"飲料・お酒","清涼飲料",9900200,3,598,1794
140234,2025-09-01,"コンビニウェア・日用品","靴下",9900171,1,159,159
140234,2025-09-18,"お弁当・おむすび","惣菜おにぎり",9904028,5,256,1280
140234,2025-09-18,"日配品・冷凍食品","冷凍おかず",9904058,5,470,2350
140234,2025-09-18,"コンビニウェア・日用品","靴下",9900171,1,155,155
140234,2025-09-22,"日配品・冷凍食品","カップアイス",9900407,6,325,1950
140238,2025-09-03,"飲料・お酒","清涼飲料",9900434,1,399,399
140238,2025-09-30,"コンビニウェア・日用品","靴下",9900369,7,270,1890
140240,2025-09-14,"飲料・お酒","ハイボール",9919955,2,107,214
140240,2025-09-14,"コンビニウェア・日用品","靴下",9900364,1,890,890
140240,2025-09-14,"コンビニウェア・日用品","靴下",9907388,2,270,540
140243,2025-09-08,"飲料・お酒","清涼飲料",9909182,1,307,307
140243,2025-09-08,"飲料・お酒","清涼飲料",9900844,1,123,123
140243,2025-09-08,"飲料・お酒","清涼飲料",9902598,1,166,166
140243,2025-09-08,"飲料・お酒","チューハイ",9906751,1,265,265
140243,2025-09-08,"コンビニウェア・日用品","靴下",9900171,1,159,159
140243,2025-09-15,"飲料・お酒","清涼飲料",9903566,1,240,240
140243,2025-09-15,"飲料・お酒","清涼飲料",9903568,1,233,233
140243,2025-09-15,"お弁当・おむすび","惣菜おにぎり",9903612,5,170,850
140243,2025-09-15,"お弁当・おむすび","惣菜おにぎり",9903529,1,170,170
140243,2025-09-16,"パン・デザート","菓子パン",9901424,1,315,315
140243,2025-09-16,"コンビニウェア・日用品","靴下",9900171,1,155,155
140243,2025-09-16,"コンビニウェア・日用品","靴下",9900208,2,198,396
140251,2025-09-04,"飲料・お酒","缶コーヒー",9903125,5,450,2250
140251,2025-09-04,"飲料・お酒","缶コーヒー",9918769,5,900,4500
140253,2025-09-22,"飲料・お酒","清涼飲料",9900299,5,180,900
140253,2025-09-22,"コンビニウェア・日用品","靴下",9923058,6,208,1248
140255,2025-09-24,"パン・デザート","サンドイッチ",9900279,2,790,1580
140255,2025-09-24,"パン・デザート","サンドイッチ",9900277,2,847,1694
140258,2025-09-02,"飲料・お酒","清涼飲料",9923452,1,334,334
140258,2025-09-02,"日配品・冷凍食品","カップアイス",9900884,1,98,98
140261,2025-09-22,"コーヒー","ブレンドコーヒー",9901177,2,980,1960
140265,2025-09-10,"お弁当・おむすび","定番弁当",9901740,1,375,375
140265,2025-09-10,"飲料・お酒","清涼飲料",9902813,1,680,680
140265,2025-09-10,"お弁当・おむすび","ガツうまおにぎり",9910872,6,400,2400
140265,2025-09-10,"パン・デザート","サンドイッチ",9901800,2,798,1596
140265,2025-09-10,"パン・デザート","サンドイッチ",9901465,2,798,1596
140265,2025-09-10,"パン・デザート","サンドイッチ",9901704,2,798,1596
140265,2025-09-10,"パン・デザート","惣菜パン",9901443,1,258,258
140265,2025-09-10,"パン・デザート","サンドイッチ",9901688,2,798,1596
140265,2025-09-10,"パン・デザート","サンドイッチ",9901692,3,798,2394
140265,2025-09-10,"日配品・冷凍食品","カップアイス",9906674,1,180,180
140265,2025-09-10,"日配品・冷凍食品","カップアイス",9900230,1,288,288
140265,2025-09-30,"飲料・お酒","清涼飲料",9900199,1,215,215
140265,2025-09-30,"飲料・お酒","清涼飲料",9900475,4,290,1160
140265,2025-09-30,"パン・デザート","シュークリーム",9900217,1,698,698
140265,2025-09-30,"パン・デザート","ケーキ",9916887,1,349,349
140270,2025-09-08,"飲料・お酒","缶ビール",9926865,1,102,102
140270,2025-09-08,"パン・デザート","プリン",9900189,5,298,1490
140273,2025-09-23,"飲料・お酒","チューハイ",9900771,1,192,192
140280,2025-09-05,"パン・デザート","シュークリーム",9927023,1,147,147
140280,2025-09-05,"パン・デザート","ケーキ",9938194,1,173,173
140280,2025-09-05,"パン・デザート","ケーキ",9918688,1,198,198
140280,2025-09-05,"コーヒー","ブレンドコーヒー",9902155,3,890,2670
140281,2025-09-21,"パン・デザート","プリン",9910402,1,830,830
140281,2025-09-21,"パン・デザート","サンドイッチ",9904370,3,402,1206
140281,2025-09-22,"コーヒー","ブレンドコーヒー",9903712,1,690,690
140282,2025-09-16,"パン・デザート","どら焼き",9938196,1,104,104
140282,2025-09-16,"コンビニウェア・日用品","靴下",9900171,1,155,155
140282,2025-09-21,"日配品・冷凍食品","カップアイス",9900318,1,85,85
140285,2025-09-03,"飲料・お酒","清涼飲料",9903679,3,400,1200
140285,2025-09-03,"飲料・お酒","清涼飲料",9900202,3,400,1200
140285,2025-09-03,"パン・デザート","パフェ",9900707,2,297,594
140285,2025-09-30,"コーヒー","アイスコーヒー",9908799,1,122,122
140285,2025-09-30,"コーヒー","アイスコーヒー",9906300,1,250,250
140285,2025-09-30,"パン・デザート","パフェ",9902991,1,198,198
140285,2025-09-30,"コーヒー","アイスコーヒー",9900999,1,388,388
140287,2025-09-09,"パン・デザート","どら焼き",9930786,1,780,780
140290,2025-09-02,"パン・デザート","サンドイッチ",9923801,1,315,315
140293,2025-09-11,"コンビニウェア・日用品","靴下",9938204,1,316,316
140293,2025-09-15,"コーヒー","アイスコーヒー",9900166,1,560,560
140293,2025-09-15,"コーヒー","アイスコーヒー",9902797,1,480,480
140296,2025-09-10,"飲料・お酒","清涼飲料",9900416,1,456,456
140297,2025-09-02,"コンビニウェア・日用品","靴下",9900208,2,198,396
140297,2025-09-03,"お弁当・おむすび","ガツうまおにぎり",9919280,3,400,1200
140297,2025-09-03,"日配品・冷凍食品","カップアイス",9900230,8,238,1904
140302,2025-09-07,"コーヒー","アイスコーヒー",9904818,7,488,3416
140303,2025-09-04,"飲料・お酒","チューハイ",9915416,1,294,294
140303,2025-09-04,"パン・デザート","サンドイッチ",9911947,3,258,774
140303,2025-09-23,"パン・デザート","パフェ",9936559,1,111,111
140303,2025-09-23,"パン・デザート","パフェ",9927875,3,820,2460
140303,2025-09-23,"パン・デザート","パフェ",9938238,1,163,163
140304,2025-09-05,"パン・デザート","パフェ",9925302,1,442,442
140304,2025-09-13,"パン・デザート","タルト",9900220,2,890,1780
140304,2025-09-13,"日配品・冷凍食品","カップアイス",9909009,1,112,112
140310,2025-09-04,"パン・デザート","タルト",9901437,5,920,4600
140311,2025-09-17,"ホットスナック","チキン",9905186,3,196,588
140312,2025-09-24,"パン・デザート","惣菜パン",9902492,1,198,198
140312,2025-09-28,"コンビニウェア・日用品","靴下",9900171,1,159,159
140313,2025-09-30,"日配品・冷凍食品","カップアイス",9902252,1,270,270
140314,2025-09-14,"飲料・お酒","清涼飲料",9900184,5,390,1950
140314,2025-09-14,"飲料・お酒","清涼飲料",9900920,1,148,148
140323,2025-09-13,"飲料・お酒","清涼飲料",9913649,1,143,143
140323,2025-09-13,"パン・デザート","惣菜パン",9929750,1,300,300
140323,2025-09-13,"コンビニウェア・日用品","靴下",9923780,1,157,157
140323,2025-09-14,"コーヒー","アイスカフェラテ",9912803,1,309,309
140326,2025-09-22,"コーヒー","アイスコーヒー",9904731,2,143,286
140326,2025-09-22,"パン・デザート","パフェ",9901194,1,798,798
140328,2025-09-23,"コンビニウェア・日用品","靴下",9902841,1,354,354
140328,2025-09-23,"コンビニウェア・日用品","靴下",9902838,1,292,292
140331,2025-09-12,"ホットスナック","チキン",9901018,1,353,353
140331,2025-09-12,"お弁当・おむすび","直巻きおにぎり",9902975,5,361,1805
140331,2025-09-12,"パン・デザート","タルト",9902471,2,779,1558
140331,2025-09-12,"パン・デザート","プリン",9901147,1,140,140
