顧客番号,性別,年齢,プラン区分,通信区分,入会チャネル,インターネット,発話時間,総通話時間,メール,通信量変化,入会後年数,パケット,解約フラグ
581437,"男性",25,"プランC","タイプ02","AA","ない",175,420,1,"stable",9,0,0
584752,"男性",41,"プランB","タイプ01","AA","ある",336,807,41,"instable",10,10,0
586324,"男性",35,"プランB","タイプ01","AA","ない",184,442,1,"stable",3,4,0
593915,"男性",45,"プランB","タイプ01","AA","ない",268,644,4,"stable",9,12,0
597108,"男性",55,"プランB","タイプ01","AA","ない",0,749,1,"down",0,8,0
606459,"女性",19,"プランA","タイプ01","AA","ない",299,387,3,"stable",1,1,0
615167,"男性",19,"プランC","タイプ02","BB","ない",0,375,0,"stable",14,0,1
620298,"男性",33,"プランB","タイプ01","BB","ある",176,423,0,"stable",7,8,1
620475,"男性",40,"プランB","タイプ01","AA","ない",203,489,4,"down",10,7,0
625691,"男性",42,"プランB","タイプ01","AA","ない",1440,587,1,"down",4,17,0
625846,"男性",20,"プランC","タイプ02","AA","ない",0,393,5,"stable",2,0,0
638583,"女性",32,"プランA","タイプ01","AA","ない",130,313,32,"stable",2,6,0
643816,"男性",34,"プランB","タイプ01","AA","ない",246,591,1,"down",4,6,0
645847,"男性",84,"プランB","タイプ01","AA","ない",349,838,64,"down",2,9,0
653661,"男性",36,"プランB","タイプ01","AA","ない",184,443,2,"down",4,8,0
661777,"男性",18,"プランC","タイプ02","AA","ない",217,523,4,"stable",6,2,0
671336,"女性",18,"プランA","タイプ01","AA","ない",127,307,3,"up",5,2,0
675846,"男性",41,"プランB","タイプ01","AA","ない",210,506,4,"down",0,11,0
675878,"男性",32,"プランB","タイプ01","AA","ない",337,810,1,"down",9,6,0
678057,"男性",24,"プランC","タイプ02","AA","ない",91,220,1,"up",7,1,1
683902,"男性",45,"プランB","タイプ01","BB","ない",377,906,2,"instable",10,8,0
688159,"男性",36,"プランB","タイプ01","AA","ない",187,451,4,"stable",11,4,0
691168,"女性",20,"プランA","タイプ01","AA","ない",0,411,3,"stable",0,2,0
713093,"男性",35,"プランB","タイプ01","AA","ない",614,455,1,"down",2,8,0
718108,"男性",35,"プランB","タイプ01","BB","ある",230,553,0,"stable",2,6,1
727546,"男性",20,"プランC","タイプ02","AA","ない",180,433,3,"stable",0,0,0
729416,"女性",23,"プランA","タイプ01","AA","ない",70,147,1,"up",7,4,1
734582,"男性",47,"プランB","タイプ01","AA","ない",197,473,27,"down",5,5,0
735876,"男性",27,"プランB","タイプ01","AA","ある",145,349,5,"stable",3,3,0
737715,"男性",37,"プランB","タイプ01","AA","ある",262,679,8,"down",22,7,0
740773,"男性",53,"プランB","タイプ01","AA","ある",285,684,5,"down",2,10,0
742001,"男性",23,"プランB","タイプ01","AA","ない",308,329,8,"stable",0,3,0
743938,"男性",20,"プランC","タイプ02","AA","ない",186,447,5,"stable",5,0,0
750949,"男性",35,"プランB","タイプ01","AA","ある",228,549,35,"down",6,10,0
754803,"男性",33,"プランB","タイプ01","AA","ない",178,429,3,"stable",10,6,0
758540,"男性",32,"プランB","タイプ01","AA","ない",217,521,1,"stable",6,8,0
763145,"男性",31,"プランB","タイプ01","AA","ない",171,378,31,"stable",4,7,0
789205,"男性",28,"プランB","タイプ01","AA","ある",112,269,28,"stable",5,5,0
789990,"男性",38,"プランC","タイプ02","AA","ない",0,650,38,"down",5,6,0
799943,"男性",20,"プランC","タイプ02","AA","ない",186,447,5,"stable",5,0,0
805957,"男性",29,"プランB","タイプ01","AA","ない",493,388,29,"stable",8,3,0
811675,"男性",37,"プランB","タイプ01","AA","ある",262,679,8,"down",22,7,0
815274,"女性",23,"プランA","タイプ01","AA","ない",70,147,1,"up",7,4,1
824227,"女性",19,"プランA","タイプ01","AA","ない",494,264,2,"up",6,0,0
831483,"男性",24,"プランB","タイプ01","AA","ない",0,355,4,"stable",8,4,0
837629,"男性",42,"プランB","タイプ01","AA","ある",186,447,6,"stable",7,4,0
839175,"男性",23,"プランB","タイプ01","AA","ない",170,409,23,"stable",6,3,0
848107,"男性",26,"プランC","タイプ02","AA","ない",1335,541,1,"stable",2,6,0
852042,"男性",30,"プランB","タイプ01","BB","ない",95,230,3,"up",10,5,1
853038,"女性",23,"プランA","タイプ01","AA","ない",0,550,7,"stable",6,4,0
859906,"男性",42,"プランB","タイプ01","BB","ない",212,510,0,"stable",1,5,1
860796,"男性",44,"プランB","タイプ01","BB","ない",347,834,2,"instable",8,10,0
864152,"男性",21,"プランC","タイプ02","AA","ない",146,352,1,"down",7,2,0
899696,"男性",30,"プランB","タイプ01","AA","ある",0,459,7,"stable",26,10,0
903095,"男性",45,"プランB","タイプ01","AA","ない",268,644,4,"stable",9,12,0
910085,"男性",27,"プランC","タイプ02","BB","ない",175,422,0,"stable",9,9,1
921453,"男性",19,"プランC","タイプ02","BB","ない",0,166,1,"up",7,0,1
925804,"男性",29,"プランB","タイプ01","AA","ない",189,454,2,"stable",12,3,0
938830,"男性",29,"プランC","タイプ02","AA","ない",121,292,1,"stable",18,5,0
947401,"男性",26,"プランB","タイプ01","AA","ある",111,268,26,"up",4,0,0
952796,"男性",25,"プランC","タイプ02","AA","ない",175,420,1,"stable",9,0,0
956565,"男性",43,"プランB","タイプ01","AA","ない",178,429,6,"stable",12,9,1
959186,"男性",41,"プランB","タイプ01","AA","ある",197,479,4,"stable",6,11,0
959663,"男性",27,"プランB","タイプ01","AA","ある",0,399,27,"stable",3,7,0
965435,"女性",27,"プランA","タイプ01","AA","ない",925,442,2,"stable",3,7,0
966111,"男性",18,"プランC","タイプ02","BB","ない",81,195,1,"up",7,2,1
966686,"男性",31,"プランB","タイプ01","AA","ない",168,405,4,"stable",10,1,0
967734,"男性",35,"プランB","タイプ01","AA","ない",184,442,1,"stable",3,4,0
971395,"男性",36,"プランB","タイプ01","AA","ない",187,451,4,"stable",11,4,0
979641,"男性",42,"プランB","タイプ01","AA","ない",268,644,1,"down",6,5,0
983196,"女性",33,"プランA","タイプ01","AA","ない",0,380,5,"stable",9,8,0
995380,"男性",23,"プランB","タイプ01","AA","ない",684,180,3,"up",12,1,1
1022741,"男性",47,"プランB","タイプ01","AA","ない",197,473,27,"down",5,5,0
1028601,"男性",63,"プランB","タイプ01","AA","ない",250,602,1,"stable",4,14,0
1030518,"女性",19,"プランA","タイプ01","AA","ない",494,264,2,"up",6,0,0
1032066,"男性",26,"プランB","タイプ01","AA","ない",154,370,2,"stable",1,6,0
1033704,"男性",43,"プランC","タイプ02","BB","ある",162,444,43,"stable",4,10,0
1035617,"男性",47,"プランB","タイプ01","AA","ない",217,521,2,"down",6,8,0
1046982,"男性",45,"プランB","タイプ01","AA","ない",467,674,1,"down",4,7,0
1069745,"女性",27,"プランA","タイプ01","AA","ある",119,287,3,"up",8,5,0
1075474,"男性",42,"プランB","タイプ01","AA","ある",277,665,3,"stable",5,5,0
1078012,"男性",28,"プランB","タイプ01","AA","ない",65,158,1,"up",12,5,1
1082240,"男性",27,"プランB","タイプ01","AA","ある",431,400,5,"stable",3,6,0
1082296,"男性",50,"プランB","タイプ01","AA","ない",0,643,2,"down",5,6,0
1087407,"男性",23,"プランB","タイプ01","AA","ない",308,329,8,"stable",0,3,0
1093545,"男性",50,"プランB","タイプ01","AA","ない",278,668,2,"down",6,9,0
1093872,"男性",24,"プランC","タイプ02","AA","ない",112,269,2,"up",3,0,0
1094805,"男性",34,"プランB","タイプ01","BB","ある",366,476,0,"stable",4,7,1
1106384,"男性",41,"プランB","タイプ01","AA","ない",194,467,1,"stable",4,5,0
1106686,"男性",29,"プランB","タイプ01","AA","ない",493,388,29,"stable",8,3,0
1119846,"男性",35,"プランB","タイプ01","AA","ない",0,588,1,"down",6,5,0
1121521,"男性",30,"プランB","タイプ01","AA","ない",1487,462,3,"stable",12,3,0
1123257,"女性",19,"プランA","タイプ01","AA","ない",624,397,4,"stable",4,0,0
1125933,"男性",30,"プランB","タイプ01","AA","ない",1487,462,3,"stable",12,3,0
1132734,"男性",25,"プランB","タイプ01","AA","ない",106,256,22,"up",14,4,1
1138765,"男性",24,"プランB","タイプ01","AA","ない",159,383,3,"stable",4,3,0
1155114,"女性",33,"プランA","タイプ01","AA","ある",0,447,4,"stable",3,10,0
1174195,"男性",32,"プランB","タイプ01","AA","ない",277,276,2,"stable",4,5,0
1178072,"男性",38,"プランB","タイプ01","AA","ない",207,498,6,"stable",6,13,0
1181692,"男性",33,"プランB","タイプ01","AA","ある",152,367,33,"stable",2,4,0
1185858,"男性",36,"プランB","タイプ01","AA","ない",268,644,36,"down",13,5,0
1187754,"男性",29,"プランB","タイプ01","AA","ない",0,554,2,"stable",4,4,0
1188874,"男性",32,"プランB","タイプ01","AA","ある",179,473,4,"stable",4,5,0
1200925,"女性",25,"プランA","タイプ01","AA","ない",0,425,3,"stable",10,6,0
1206503,"男性",32,"プランB","タイプ01","AA","ある",179,473,4,"stable",4,5,0
1207222,"男性",33,"プランB","タイプ01","AA","ある",227,546,6,"stable",9,4,0
1213036,"男性",22,"プランC","タイプ02","AA","ない",98,237,2,"up",1,2,0
1218077,"男性",36,"プランB","タイプ01","AA","ない",184,443,2,"down",4,8,0
1230223,"男性",24,"プランB","タイプ01","AA","ない",0,355,4,"stable",8,4,0
1240720,"男性",26,"プランC","タイプ02","AA","ある",295,321,26,"stable",7,4,0
1273557,"男性",19,"プランC","タイプ02","BB","ない",0,375,0,"stable",14,0,1
1278770,"男性",20,"プランC","タイプ02","AA","ない",0,327,3,"stable",6,0,0
1289025,"女性",27,"プランA","タイプ01","AA","ある",380,423,27,"stable",6,4,0
1306446,"男性",25,"プランB","タイプ01","AA","ない",159,383,2,"stable",2,4,0
1309739,"男性",43,"プランB","タイプ01","AA","ない",178,429,6,"stable",12,9,1
1327962,"男性",36,"プランB","タイプ01","AA","ない",167,401,3,"stable",3,4,0
1331642,"女性",29,"プランA","タイプ01","AA","ない",170,408,1,"up",1,2,0
1334719,"男性",24,"プランB","タイプ01","AA","ある",0,442,5,"stable",5,2,0
1353272,"男性",54,"プランB","タイプ01","AA","ない",460,601,34,"down",11,10,0
1371227,"男性",29,"プランB","タイプ01","AA","ない",0,554,2,"stable",4,4,0
1371489,"男性",33,"プランB","タイプ01","AA","ある",152,367,33,"stable",2,4,0
1377745,"男性",45,"プランB","タイプ01","AA","ある",0,697,3,"down",0,13,0
1379391,"男性",55,"プランB","タイプ01","AA","ない",995,923,3,"instable",1,7,0
1392901,"女性",23,"プランA","タイプ01","AA","ない",70,147,1,"up",7,4,1
1397011,"女性",32,"プランA","タイプ01","AA","ない",130,313,32,"stable",2,6,0
1408167,"男性",39,"プランB","タイプ01","AA","ない",202,485,4,"down",6,4,0
1410544,"女性",30,"プランA","タイプ01","AA","ない",112,271,2,"stable",18,10,0
1414986,"男性",18,"プランC","タイプ02","AA","ない",210,506,2,"down",6,2,0
1418774,"男性",65,"プランB","タイプ01","AA","ない",380,912,1,"instable",1,11,0
1424429,"男性",44,"プランC","タイプ02","AA","ない",279,670,2,"down",2,7,0
1435376,"男性",24,"プランB","タイプ01","BB","ある",0,475,0,"stable",1,1,1
1441303,"男性",40,"プランB","タイプ01","AA","ない",646,448,1,"down",1,5,0
1441657,"男性",32,"プランB","タイプ01","AA","ある",285,481,3,"stable",4,6,0
1447551,"男性",34,"プランB","タイプ01","AA","ない",509,211,1,"stable",13,7,1
1448661,"男性",22,"プランB","タイプ01","AA","ある",134,323,8,"stable",9,3,0
1455544,"男性",47,"プランB","タイプ01","AA","ない",168,405,3,"stable",12,9,0
1459542,"男性",42,"プランB","タイプ01","AA","ある",277,665,3,"stable",5,5,0
1460141,"男性",30,"プランB","タイプ01","BB","ない",171,412,0,"stable",0,3,1
1463256,"男性",27,"プランB","タイプ01","AA","ある",0,399,27,"stable",3,7,0
1474113,"男性",38,"プランB","タイプ01","AA","ない",207,498,6,"stable",6,13,0
1475451,"男性",24,"プランC","タイプ02","AA","ない",91,220,1,"up",7,1,1
1476542,"男性",23,"プランB","タイプ01","AA","ない",1564,425,1,"down",4,4,0
1478755,"女性",47,"プランA","タイプ01","AA","ある",446,479,5,"stable",3,8,0
1481382,"男性",25,"プランB","タイプ01","AA","ない",159,383,2,"stable",2,4,0
1483639,"男性",34,"プランB","タイプ01","BB","ある",366,476,0,"stable",4,7,1
1483667,"男性",55,"プランB","タイプ01","AA","ない",995,923,3,"instable",1,7,0
1486406,"男性",25,"プランB","タイプ01","AA","ない",153,368,7,"stable",4,5,0
1500871,"男性",30,"プランB","タイプ01","BB","ない",152,365,2,"stable",4,6,0
1511910,"男性",25,"プランC","タイプ02","AA","ない",0,271,22,"up",16,5,1
1523389,"女性",35,"プランA","タイプ01","AA","ある",156,375,35,"stable",4,4,0
1539476,"女性",20,"プランA","タイプ01","AA","ない",194,466,5,"stable",7,0,0
1541506,"女性",23,"プランA","タイプ01","AA","ない",86,208,3,"up",7,3,0
1541556,"男性",31,"プランB","タイプ01","AA","ない",177,425,5,"stable",1,9,0
1558637,"女性",29,"プランA","タイプ01","AA","ある",142,343,29,"stable",6,4,0
1562106,"男性",45,"プランB","タイプ01","AA","ない",242,582,7,"down",2,6,0
1563701,"男性",28,"プランB","タイプ01","AA","ない",65,158,1,"up",12,5,1
1564569,"女性",27,"プランA","タイプ01","AA","ない",835,569,1,"stable",6,8,0
1568812,"男性",45,"プランB","タイプ01","AA","ない",328,789,2,"down",1,7,0
1569183,"男性",63,"プランB","タイプ01","AA","ある",320,769,3,"down",10,17,0
1573606,"男性",23,"プランB","タイプ01","AA","ある",162,391,7,"stable",5,5,0
1574027,"男性",21,"プランC","タイプ02","AA","ない",112,269,3,"up",12,0,1
1576778,"男性",36,"プランB","タイプ01","AA","ない",610,397,3,"stable",6,14,0
1581840,"男性",25,"プランB","タイプ01","AA","ない",188,452,2,"stable",3,4,0
1581977,"女性",28,"プランA","タイプ01","AA","ない",68,164,25,"up",6,4,1
1583662,"男性",36,"プランB","タイプ01","AA","ある",0,490,2,"stable",11,8,0
1586448,"男性",27,"プランB","タイプ01","AA","ある",145,349,3,"stable",2,4,0
1593922,"男性",20,"プランC","タイプ02","AA","ない",186,447,5,"stable",5,0,0
1601599,"男性",29,"プランC","タイプ02","AA","ない",121,292,1,"stable",18,5,0
1603161,"男性",23,"プランB","タイプ01","AA","ある",162,391,7,"stable",5,5,0
1622792,"男性",24,"プランB","タイプ01","BB","ない",80,194,1,"up",14,2,1
1624180,"男性",27,"プランC","タイプ02","AA","ない",681,277,2,"up",3,6,0
1630311,"男性",31,"プランB","タイプ01","AA","ある",167,402,31,"stable",10,6,0
1647992,"男性",53,"プランB","タイプ01","AA","ない",160,384,3,"stable",13,9,0
1652674,"男性",25,"プランB","タイプ01","AA","ない",153,368,7,"stable",4,5,0
1658324,"男性",29,"プランB","タイプ01","AA","ない",587,378,2,"stable",4,4,0
1662255,"男性",22,"プランC","タイプ02","AA","ある",74,178,19,"up",9,0,1
1672614,"男性",37,"プランB","タイプ01","AA","ない",329,375,37,"down",10,11,0
1673538,"男性",24,"プランB","タイプ01","BB","ない",80,194,1,"up",14,2,1
1675593,"男性",40,"プランC","タイプ02","AA","ない",1346,471,1,"stable",13,16,0
1681829,"男性",45,"プランB","タイプ01","AA","ない",467,674,1,"down",4,7,0
1688508,"男性",50,"プランB","タイプ01","AA","ない",174,418,30,"stable",7,11,0
1691271,"男性",19,"プランC","タイプ02","BB","ない",76,184,5,"up",4,0,1
1698104,"男性",21,"プランC","タイプ02","AA","ない",162,390,4,"stable",10,0,0
1699156,"女性",23,"プランA","タイプ01","AA","ない",70,147,1,"up",7,4,1
1711057,"男性",25,"プランC","タイプ02","AA","ない",147,353,4,"stable",4,3,0
1712764,"男性",32,"プランB","タイプ01","AA","ない",277,276,2,"stable",4,5,0
1722325,"男性",34,"プランB","タイプ01","BB","ない",0,660,0,"stable",7,9,1
1725232,"女性",32,"プランA","タイプ01","AA","ない",170,409,5,"stable",7,3,0
1725508,"男性",18,"プランB","タイプ01","AA","ある",155,372,3,"stable",1,0,0
1742225,"男性",23,"プランB","タイプ01","AA","ない",0,358,2,"stable",11,3,0
1745005,"男性",36,"プランB","タイプ01","AA","ない",187,451,4,"stable",11,4,0
1758951,"男性",54,"プランB","タイプ01","AA","ない",460,601,34,"down",11,10,0
1765634,"男性",36,"プランB","タイプ01","AA","ない",167,401,3,"stable",3,4,0
1784152,"男性",28,"プランC","タイプ02","AA","ない",461,296,3,"stable",5,6,0
1795006,"男性",20,"プランC","タイプ02","BB","ない",110,264,0,"stable",3,1,1
1806699,"男性",46,"プランB","タイプ01","AA","ない",181,436,2,"stable",4,4,0
1812574,"男性",55,"プランB","タイプ01","AA","ない",339,814,1,"down",4,9,0
1812636,"男性",30,"プランB","タイプ01","AA","ある",0,459,7,"stable",26,10,0
1813106,"男性",36,"プランB","タイプ01","AA","ない",0,633,3,"down",8,3,0
1815278,"男性",21,"プランC","タイプ02","AA","ない",162,390,4,"stable",10,0,0
1823079,"女性",51,"プランA","タイプ01","AA","ない",287,691,31,"down",7,8,0
1824672,"男性",30,"プランC","タイプ02","AA","ない",163,392,1,"stable",6,7,0
1829229,"男性",55,"プランB","タイプ01","AA","ない",339,814,1,"down",4,9,0
1838097,"男性",34,"プランB","タイプ01","AA","ない",509,211,1,"stable",13,7,1
1885725,"男性",26,"プランB","タイプ01","BB","ある",177,426,0,"stable",6,2,1
1889492,"男性",26,"プランB","タイプ01","BB","ある",177,426,0,"stable",6,2,1
1894459,"女性",35,"プランA","タイプ01","AA","ある",156,375,35,"stable",4,4,0
1902589,"男性",23,"プランB","タイプ01","AA","ない",644,279,23,"up",9,0,0
1903229,"男性",37,"プランB","タイプ01","AA","ある",262,679,8,"down",22,7,0
1904135,"男性",33,"プランB","タイプ01","BB","ある",176,423,0,"stable",7,8,1
1906563,"男性",33,"プランB","タイプ01","AA","ない",0,337,3,"stable",3,11,0
1914326,"男性",25,"プランB","タイプ01","AA","ない",188,452,2,"stable",3,4,0
1916174,"男性",18,"プランB","タイプ01","AA","ある",155,372,3,"stable",1,0,0
1931072,"男性",28,"プランB","タイプ01","AA","ない",172,413,3,"stable",3,6,0
1946018,"男性",28,"プランC","タイプ02","BB","ある",205,492,0,"stable",10,4,1
1946041,"女性",29,"プランA","タイプ01","AA","ない",170,408,1,"up",1,2,0
1956699,"女性",25,"プランA","タイプ01","AA","ない",0,425,3,"stable",10,6,0
1958892,"男性",35,"プランB","タイプ01","AA","ある",228,549,35,"down",6,10,0
1960534,"男性",47,"プランB","タイプ01","AA","ない",168,405,3,"stable",12,9,0
1967409,"男性",32,"プランB","タイプ01","AA","ない",277,276,2,"stable",4,5,0
1979672,"男性",27,"プランB","タイプ01","AA","ある",203,488,27,"down",8,4,0
1989543,"女性",31,"プランA","タイプ01","AA","ない",173,417,3,"stable",4,7,0
1991616,"男性",37,"プランB","タイプ01","AA","ない",1285,489,4,"down",5,4,0
2003127,"男性",34,"プランB","タイプ01","AA","ない",165,397,3,"stable",4,11,0
2003217,"男性",42,"プランB","タイプ01","AA","ある",277,665,3,"stable",5,5,0
2003880,"男性",27,"プランB","タイプ01","AA","ある",203,488,27,"down",8,4,0
2007560,"男性",41,"プランB","タイプ01","AA","ない",254,610,1,"down",3,7,0
2012710,"男性",26,"プランB","タイプ01","AA","ある",260,626,5,"down",7,0,0
2013478,"男性",22,"プランC","タイプ02","AA","ある",463,351,22,"stable",4,2,0
2025040,"男性",29,"プランB","タイプ01","AA","ない",189,454,2,"stable",12,3,0
2025604,"男性",43,"プランB","タイプ01","AA","ある",776,518,2,"stable",3,6,0
2031383,"男性",45,"プランC","タイプ02","AA","ない",0,317,3,"stable",5,7,0
2032567,"男性",20,"プランC","タイプ02","BB","ない",110,264,0,"stable",3,1,1
2050757,"男性",58,"プランB","タイプ01","AA","ある",369,887,5,"instable",7,9,0
2060303,"男性",24,"プランB","タイプ01","AA","ない",450,337,2,"up",14,0,0
2061517,"男性",46,"プランB","タイプ01","AA","ない",0,599,3,"down",1,16,0
2082871,"男性",31,"プランB","タイプ01","AA","ない",53,466,5,"stable",18,6,0
2095791,"女性",36,"プランA","タイプ01","AA","ない",262,371,36,"stable",9,4,0
2109428,"男性",28,"プランC","タイプ02","AA","ない",461,296,3,"stable",5,6,0
2113637,"男性",50,"プランB","タイプ01","BB","ある",356,491,0,"stable",8,9,1
2117115,"男性",35,"プランB","タイプ01","AA","ない",155,372,35,"stable",2,3,0
