ID,電流,電圧,外気温,速度,砂条件,鋳型条件,判定
1178,3,141,4,0,"A","B","OK"
1177,2,925,3,7,"C","B","OK"
1176,7,222,1,6,"B","C","OK"
1215,4,147,4,3,"A","B","OK"
1216,7,1085,13,9,"B","B","OK"
1173,32,170,8,7,"B","B","OK"
1172,2,0,5,6,"B","C","OK"
1171,29,493,8,3,"B","B","OK"
1217,1,566,3,8,"B","C","OK"
1218,5,0,9,8,"C","B","OK"
1168,1,835,6,8,"C","B","OK"
1219,35,0,12,8,"B","B","OK"
1166,2,328,1,7,"B","C","OK"
1165,2,208,0,5,"B","B","OK"
1164,2,119,2,11,"B","A","OK"
1163,27,380,6,4,"C","B","OK"
1162,8,643,8,7,"B","B","OK"
1161,2,277,4,5,"B","B","OK"
1160,3,86,7,3,"C","A","OK"
1159,35,0,15,6,"B","C","OK"
1158,4,179,3,11,"B","B","OK"
1220,37,197,9,6,"B","B","OK"
1156,7,165,7,4,"B","B","OK"
1155,3,701,10,2,"C","B","OK"
1221,38,270,7,6,"C","C","OK"
1153,43,162,4,10,"A","B","OK"
1222,4,210,0,11,"B","C","OK"
1224,3,165,3,6,"C","B","OK"
1150,4,167,4,3,"B","B","OK"
1149,6,0,5,1,"C","B","OK"
1148,1,163,6,7,"A","B","OK"
1147,27,152,8,4,"B","B","OK"
1146,4,0,3,10,"C","B","OK"
1145,7,162,5,5,"B","B","OK"
1144,3,119,8,5,"C","A","OK"
1143,1,108,3,1,"B","A","OK"
1142,5,1227,15,1,"A","B","OK"
1141,2,681,3,6,"A","A","OK"
1140,3,1487,12,3,"B","B","OK"
1139,3,149,2,2,"B","B","OK"
1138,27,203,8,4,"B","C","OK"
1137,1,1440,4,17,"B","C","OK"
1136,2,154,1,6,"B","B","OK"
1135,2,263,3,4,"A","C","OK"
1225,3,0,3,11,"B","B","OK"
1133,4,1285,5,4,"B","C","OK"
1132,3,543,11,2,"B","A","OK"
1131,3,142,3,2,"B","B","OK"
1130,5,186,5,0,"A","B","OK"
1129,2,184,4,8,"B","C","OK"
1226,2,2473,4,7,"B","D","OK"
1127,5,177,2,8,"B","B","OK"
1126,29,140,10,7,"B","B","OK"
1125,5,234,3,14,"B","C","OK"
1124,32,194,7,5,"B","B","OK"
1227,5,145,3,3,"B","B","OK"
1228,8,219,2,3,"B","B","OK"
1121,1,467,4,7,"B","C","OK"
1120,2,1690,8,5,"B","B","OK"
1119,4,190,16,5,"C","B","OK"
1118,3,142,3,2,"B","B","OK"
1117,2,1395,6,3,"B","B","OK"
1116,26,213,5,6,"A","B","OK"
1115,31,171,4,7,"B","B","OK"
1114,5,285,2,10,"B","C","OK"
1229,2,210,6,2,"A","C","OK"
1112,1,467,4,7,"B","C","OK"
1111,7,0,1,4,"B","B","OK"
1110,2,215,12,16,"B","C","OK"
1109,3,0,10,6,"C","B","OK"
1108,3,114,5,0,"B","A","OK"
1107,3,119,8,5,"C","A","OK"
1230,5,0,2,0,"A","B","OK"
1105,1,339,4,9,"B","C","OK"
1104,26,130,1,7,"B","B","OK"
1103,31,166,8,6,"B","B","OK"
1102,2,290,6,5,"B","C","OK"
1231,2,347,8,10,"B","D","OK"
1100,2,598,5,3,"B","A","OK"
1232,4,179,4,5,"B","B","OK"
1098,23,644,9,0,"B","A","OK"
1097,6,0,3,7,"B","C","OK"
1096,2,154,1,6,"B","B","OK"
1095,3,461,5,6,"A","B","OK"
1233,25,0,3,1,"C","B","OK"
1093,7,202,10,10,"B","B","OK"
1092,4,0,8,4,"B","B","OK"
1091,6,595,17,5,"B","B","OK"
1234,2,118,1,0,"C","A","OK"
1089,5,0,3,6,"C","B","OK"
1450,1,339,4,9,"B","C","OK"
1087,1,194,4,5,"B","B","OK"
1236,7,222,1,6,"B","C","OK"
1085,3,0,0,13,"B","C","OK"
1084,6,1341,1,12,"B","B","OK"
1083,23,168,10,0,"B","B","OK"
1082,2,154,1,6,"B","B","OK"
1081,24,130,1,4,"B","B","OK"
1080,3,165,3,6,"C","B","OK"
1079,3,165,3,6,"C","B","OK"
1078,2,176,24,2,"C","B","OK"
1077,6,348,4,0,"A","B","OK"
1076,6,228,6,11,"B","C","OK"
1075,2,152,4,6,"B","B","OK"
1237,22,463,4,2,"A","B","OK"
1073,5,177,2,8,"B","B","OK"
1239,5,0,5,2,"B","B","OK"
1071,1,1118,7,5,"B","B","OK"
1070,33,0,2,4,"C","B","OK"
1069,4,168,10,1,"B","B","OK"
1240,6,365,7,6,"B","D","OK"
1067,1,189,7,7,"B","B","OK"
1066,3,163,5,0,"B","B","OK"
1065,4,210,0,11,"B","C","OK"
1064,26,213,5,6,"A","B","OK"
1063,6,595,17,5,"B","B","OK"
1062,35,228,6,10,"B","C","OK"
1061,2,1921,5,5,"B","C","OK"
1060,6,207,6,13,"B","B","OK"
1059,5,446,3,8,"C","B","OK"
1241,7,0,1,13,"B","B","OK"
1057,31,280,5,10,"B","C","OK"
1056,1,170,1,2,"C","A","OK"
1055,1,257,9,2,"B","B","OK"
1054,3,299,1,1,"C","B","OK"
1053,1,1084,6,4,"B","B","OK"
1052,3,285,4,6,"B","B","OK"
1051,9,236,7,0,"B","B","OK"
1050,35,156,4,4,"C","B","OK"
1049,2,826,4,5,"B","C","OK"
1048,2,0,11,3,"B","B","OK"
1047,8,0,11,9,"B","B","OK"
1046,2,279,2,7,"A","C","OK"
1045,4,0,3,10,"C","B","OK"
1242,2,798,2,0,"B","B","OK"
1043,34,460,11,10,"B","C","OK"
1042,7,222,1,6,"B","C","OK"
1041,5,176,19,0,"A","D","OK"
1040,5,177,2,8,"B","B","OK"
1039,4,179,3,11,"B","B","OK"
1038,2,798,2,0,"B","B","OK"
1037,2,277,4,5,"B","B","OK"
1036,3,141,4,0,"A","B","OK"
1243,27,0,3,7,"B","B","OK"
1034,2,0,11,3,"B","B","OK"
1033,5,0,5,2,"B","B","OK"
1032,3,995,1,7,"B","D","OK"
1031,7,242,2,6,"B","C","OK"
1030,2,1747,5,1,"A","B","OK"
1244,2,181,4,4,"B","B","OK"
1246,5,234,3,14,"B","C","OK"
1027,3,172,3,6,"B","B","OK"
1026,3,173,4,7,"C","B","OK"
1247,5,177,1,9,"B","B","OK"
1024,31,287,7,8,"C","C","OK"
1023,4,624,4,0,"C","B","OK"
1248,6,166,12,0,"B","B","OK"
1249,26,295,7,4,"A","B","OK"
1020,3,160,13,9,"B","B","OK"
1019,2,0,11,8,"B","B","OK"
1018,4,187,11,4,"B","B","OK"
1017,20,176,3,1,"A","B","OK"
1016,3,0,5,6,"B","C","OK"
1015,2,1395,6,3,"B","B","OK"
1014,2,798,2,0,"B","B","OK"
1250,6,1341,1,12,"B","B","OK"
1012,4,105,14,5,"B","B","OK"
1011,24,0,7,6,"C","A","OK"
1010,44,271,3,6,"B","C","OK"
1009,2,1921,5,5,"B","C","OK"
1008,1,205,16,4,"C","B","OK"
1007,1,1118,7,5,"B","B","OK"
1006,4,168,10,1,"B","B","OK"
1005,4,160,3,9,"C","C","OK"
1004,4,160,3,9,"C","C","OK"
1003,2,263,3,4,"A","C","OK"
1002,5,189,6,10,"B","C","OK"
1251,2,215,12,16,"B","C","OK"
1000,4,268,9,12,"B","B","OK"
999,1,1118,7,5,"B","B","OK"
998,1,1440,4,17,"B","C","OK"
1252,4,624,4,0,"C","B","OK"
996,26,130,1,7,"B","B","OK"
995,4,213,10,10,"B","B","OK"
1253,2,263,3,4,"A","C","OK"
993,35,155,2,3,"B","B","OK"
992,3,196,2,5,"B","B","OK"
1254,3,114,5,0,"B","A","OK"
990,2,189,12,3,"B","B","OK"
989,2,247,5,5,"B","C","OK"
988,7,162,5,5,"B","B","OK"
987,6,186,7,4,"B","B","OK"
986,1,175,9,0,"A","B","OK"
985,2,826,4,5,"B","C","OK"
1255,31,280,5,10,"B","C","OK"
1257,7,222,1,6,"B","C","OK"
1258,3,173,4,7,"C","B","OK"
1259,2,1205,17,5,"B","B","OK"
980,2,112,18,10,"C","B","OK"
1260,3,595,2,7,"C","A","OK"
978,1,146,7,2,"A","C","OK"
977,26,198,9,6,"A","B","OK"
976,2,150,2,5,"B","B","OK"
975,7,275,12,11,"B","C","OK"
974,3,0,10,7,"B","B","OK"
973,1,0,6,5,"B","C","OK"
972,28,0,10,4,"B","B","OK"
971,7,1085,13,9,"B","B","OK"
970,3,192,5,1,"C","B","OK"
969,41,336,10,10,"B","D","OK"
968,5,274,2,5,"B","C","OK"
967,3,0,6,0,"A","B","OK"
966,3,142,3,2,"B","B","OK"
965,7,242,2,6,"B","C","OK"
964,2,681,3,6,"A","A","OK"
963,2,127,4,9,"B","B","OK"
962,4,190,16,5,"C","B","OK"
961,1,254,3,7,"B","C","OK"
1262,2,188,7,11,"B","B","OK"
959,7,0,1,13,"B","B","OK"
958,1,1118,7,5,"B","B","OK"
957,2,98,1,2,"A","A","OK"
956,1,175,9,0,"A","B","OK"
955,1,108,3,1,"B","A","OK"
1263,7,371,10,7,"B","C","OK"
953,1,1335,2,6,"A","B","OK"
952,2,141,4,3,"C","B","OK"
951,1,184,3,4,"B","B","OK"
950,3,1487,12,3,"B","B","OK"
1264,20,144,3,2,"A","B","OK"
948,6,0,3,7,"B","C","OK"
1265,7,230,2,7,"B","B","OK"
946,7,0,1,4,"B","B","OK"
1266,2,2473,4,7,"B","D","OK"
944,3,0,1,16,"B","C","OK"
943,2,176,24,2,"C","B","OK"
942,7,282,11,4,"C","C","OK"
941,6,227,9,4,"B","B","OK"
940,7,371,10,7,"B","C","OK"
939,3,145,2,4,"B","B","OK"
938,3,155,1,0,"B","B","OK"
937,24,130,1,4,"B","B","OK"
936,3,141,4,0,"A","B","OK"
1268,7,0,26,10,"B","B","OK"
1269,1,1564,4,4,"B","C","OK"
933,30,0,4,9,"B","B","OK"
932,1,121,18,5,"A","B","OK"
931,9,236,7,0,"B","B","OK"
930,30,148,5,9,"B","B","OK"
929,24,240,2,2,"A","C","OK"
928,3,0,3,11,"B","B","OK"
927,5,0,16,13,"B","B","OK"
926,4,268,9,12,"B","B","OK"
925,3,0,1,16,"B","C","OK"
924,3,1120,5,12,"B","D","OK"
923,2,210,6,2,"A","C","OK"
1270,2,0,4,4,"B","B","OK"
1271,4,179,3,11,"B","B","OK"
920,5,596,13,1,"A","B","OK"
919,3,178,10,6,"B","B","OK"
918,7,173,15,1,"A","B","OK"
917,3,299,1,1,"C","B","OK"
916,1,163,6,7,"A","B","OK"
915,2,278,6,9,"B","C","OK"
914,30,0,4,9,"B","B","OK"
1272,3,649,4,4,"B","B","OK"
912,4,0,3,10,"C","B","OK"
1273,7,1085,13,9,"B","B","OK"
910,24,0,7,6,"C","A","OK"
909,1,0,6,5,"B","C","OK"
908,2,112,18,10,"C","B","OK"
907,33,0,2,4,"C","B","OK"
906,3,119,8,5,"C","A","OK"
905,1,1346,13,16,"A","B","OK"
904,8,262,22,7,"B","C","OK"
903,2,598,5,3,"B","A","OK"
902,6,348,4,0,"A","B","OK"
1274,2,188,7,11,"B","B","OK"
900,6,0,11,0,"C","B","OK"
1275,1,122,4,3,"B","B","OK"
898,2,240,14,13,"B","B","OK"
897,2,240,14,13,"B","B","OK"
896,26,213,5,6,"A","B","OK"
895,1,566,3,8,"B","C","OK"
894,2,210,6,2,"A","C","OK"
893,3,119,8,5,"C","A","OK"
892,6,0,5,1,"C","B","OK"
1276,1,194,4,5,"B","B","OK"
890,38,270,7,6,"C","C","OK"
889,1,1440,4,17,"B","C","OK"
888,3,149,2,2,"B","B","OK"
887,3,173,4,7,"C","B","OK"
886,1,170,1,2,"C","A","OK"
885,2,208,0,5,"B","B","OK"
884,7,0,1,13,"B","B","OK"
883,1,0,11,13,"C","A","OK"
882,3,182,1,5,"C","B","OK"
881,6,595,17,5,"B","B","OK"
880,3,285,4,6,"B","B","OK"
879,4,184,12,3,"A","B","OK"
878,2,112,3,0,"A","A","OK"
877,3,543,11,2,"B","A","OK"
876,27,203,8,4,"B","C","OK"
875,1,146,7,2,"A","C","OK"
874,1,1564,4,4,"B","C","OK"
873,3,0,1,16,"B","C","OK"
872,2,98,1,2,"A","A","OK"
871,5,0,16,13,"B","B","OK"
870,5,1227,15,1,"A","B","OK"
869,1,0,0,8,"B","C","OK"
868,30,0,4,9,"B","B","OK"
867,7,371,10,7,"B","C","OK"
866,2,925,3,7,"C","B","OK"
865,6,227,9,4,"B","B","OK"
864,6,187,7,5,"A","B","OK"
863,8,308,0,3,"B","B","OK"
862,2,826,4,5,"B","C","OK"
861,5,53,18,6,"B","B","OK"
1278,2,247,5,5,"B","C","OK"
859,3,163,5,0,"B","B","OK"
858,2,165,0,13,"B","C","OK"
857,1,485,11,4,"B","B","OK"
856,24,130,1,4,"B","B","OK"
1280,4,168,14,9,"B","B","OK"
854,3,114,5,0,"B","A","OK"
853,2,181,4,4,"B","B","OK"
852,1,1084,6,4,"B","B","OK"
851,2,347,8,10,"B","D","OK"
1282,4,203,10,7,"B","C","OK"
849,3,1121,7,4,"B","B","OK"
848,3,142,2,5,"B","B","OK"
847,30,0,4,9,"B","B","OK"
846,35,155,2,3,"B","B","OK"
845,4,0,12,10,"C","B","OK"
844,4,210,0,11,"B","C","OK"
843,2,450,14,0,"B","A","OK"
842,27,0,3,7,"B","B","OK"
1283,4,1285,5,4,"B","C","OK"
840,1,1118,7,5,"B","B","OK"
839,3,1044,2,0,"B","B","OK"
838,27,197,5,5,"B","C","OK"
837,5,186,5,0,"A","B","OK"
836,4,122,3,2,"B","B","OK"
835,6,187,7,5,"A","B","OK"
834,30,0,4,9,"B","B","OK"
833,5,596,13,1,"A","B","OK"
832,3,418,8,2,"A","C","OK"
831,5,170,7,3,"C","B","OK"
830,5,177,1,9,"B","B","OK"
829,1,246,4,6,"B","C","OK"
828,2,176,24,2,"C","B","OK"
827,3,701,10,2,"C","B","OK"
826,3,1120,5,12,"B","D","OK"
1284,4,197,5,7,"B","B","OK"
824,2,190,3,3,"B","B","OK"
1285,2,119,2,11,"B","A","OK"
822,1,163,6,7,"A","B","OK"
1287,3,0,8,3,"B","C","OK"
820,2,263,3,4,"A","C","OK"
819,2,279,2,7,"A","C","OK"
818,2,328,1,7,"B","C","OK"
817,1,122,4,3,"B","B","OK"
816,1,271,2,3,"B","A","OK"
815,26,295,7,4,"A","B","OK"
814,7,0,1,4,"B","B","OK"
813,1,0,11,13,"C","A","OK"
812,1,835,6,8,"C","B","OK"
811,1,146,7,2,"A","C","OK"
810,26,111,4,0,"B","A","OK"
809,31,167,10,6,"B","B","OK"
808,44,271,3,6,"B","C","OK"
807,2,247,5,5,"B","C","OK"
806,4,0,8,4,"B","B","OK"
805,3,102,5,3,"A","B","OK"
804,3,173,4,7,"C","B","OK"
803,35,0,12,8,"B","B","OK"
802,6,1341,1,12,"B","B","OK"
1290,4,197,5,7,"B","B","OK"
800,3,610,6,14,"B","B","OK"
799,2,118,1,0,"C","A","OK"
798,3,114,5,0,"B","A","OK"
797,1,380,1,11,"B","D","OK"
796,2,112,3,0,"A","A","OK"
795,7,202,10,10,"B","B","OK"
794,5,0,3,6,"C","B","OK"
793,8,134,9,3,"B","B","OK"
1292,7,371,10,7,"B","C","OK"
791,2,150,2,5,"B","B","OK"
1293,20,122,3,2,"A","A","OK"
789,1,271,2,3,"B","A","OK"
1294,3,995,1,7,"B","D","OK"
787,6,228,6,11,"B","C","OK"
1295,1,108,3,1,"B","A","OK"
1296,31,167,10,6,"B","B","OK"
784,5,431,3,6,"B","B","OK"
783,5,260,7,0,"B","C","OK"
782,4,179,4,5,"C","A","OK"
781,3,418,8,2,"A","C","OK"
1297,20,122,3,2,"A","A","OK"
1298,1,566,3,8,"B","C","OK"
778,6,0,11,0,"C","B","OK"
1299,5,176,19,0,"A","D","OK"
776,3,145,2,4,"B","B","OK"
775,3,192,5,1,"C","B","OK"
774,2,210,6,2,"A","C","OK"
773,5,234,3,14,"B","C","OK"
772,4,162,10,0,"A","B","OK"
771,28,0,10,4,"B","B","OK"
770,6,0,5,1,"C","B","OK"
769,2,776,3,6,"B","B","OK"
768,3,595,2,7,"C","A","OK"
767,4,703,1,0,"A","C","OK"
766,3,0,10,6,"C","B","OK"
765,1,614,2,8,"B","C","OK"
1300,2,165,0,13,"B","C","OK"
763,3,149,2,2,"B","B","OK"
762,2,208,0,5,"B","B","OK"
1301,2,189,12,3,"B","B","OK"
1303,29,493,8,3,"B","B","OK"
1304,1,184,3,4,"B","B","OK"
758,2,347,8,10,"B","D","OK"
757,4,328,10,11,"B","C","OK"
756,5,166,12,0,"C","B","OK"
755,1,1564,4,4,"B","C","OK"
1305,5,0,16,13,"B","B","OK"
753,5,596,13,1,"A","B","OK"
752,32,130,2,6,"C","B","OK"
751,6,166,12,0,"B","B","OK"
750,34,197,15,10,"B","B","OK"
749,2,0,11,3,"B","B","OK"
748,3,178,10,6,"B","B","OK"
747,3,1121,7,4,"B","B","OK"
746,8,219,2,3,"B","B","OK"
745,31,167,10,6,"B","B","OK"
744,5,0,2,0,"A","B","OK"
743,2,171,1,7,"B","B","OK"
742,4,0,8,4,"B","B","OK"
741,3,182,1,5,"C","B","OK"
740,3,0,0,2,"C","B","OK"
739,3,102,8,2,"A","A","OK"
738,1,178,9,6,"B","B","OK"
737,3,192,5,1,"C","B","OK"
1306,2,240,14,13,"B","B","OK"
735,3,0,10,7,"B","B","OK"
734,29,493,8,3,"B","B","OK"
733,7,165,7,4,"B","B","OK"
732,4,703,1,0,"A","C","OK"
731,7,275,12,11,"B","C","OK"
730,5,274,2,5,"B","C","OK"
1307,3,610,6,14,"B","B","OK"
728,2,153,7,9,"B","B","OK"
727,28,0,10,4,"B","B","OK"
726,3,0,10,7,"B","B","OK"
1088,6,166,12,0,"B","B","OK"
724,2,494,6,0,"C","A","OK"
723,6,0,11,0,"C","B","OK"
722,2,152,4,6,"B","B","OK"
721,3,320,10,17,"B","C","OK"
720,5,189,6,10,"B","C","OK"
1308,2,450,14,0,"B","A","OK"
718,41,336,10,10,"B","D","OK"
717,4,703,1,0,"A","C","OK"
716,37,329,10,11,"B","C","OK"
715,26,111,4,0,"B","A","OK"
714,1,0,0,8,"B","C","OK"
713,38,270,7,6,"C","C","OK"
712,4,0,12,10,"C","B","OK"
711,29,493,8,3,"B","B","OK"
710,2,450,14,0,"B","A","OK"
709,5,0,5,2,"B","B","OK"
708,29,142,6,4,"C","B","OK"
707,2,181,4,4,"B","B","OK"
706,3,0,8,3,"B","C","OK"
705,5,194,7,0,"C","B","OK"
704,5,234,3,14,"B","C","OK"
1309,4,1285,5,4,"B","C","OK"
702,3,178,10,6,"B","B","OK"
701,7,282,11,4,"C","C","OK"
700,4,122,3,2,"B","B","OK"
699,6,186,7,4,"B","B","OK"
698,1,268,6,5,"B","C","OK"
697,7,275,12,11,"B","C","OK"
696,38,0,5,6,"A","C","OK"
695,3,995,1,7,"B","D","OK"
694,7,173,15,1,"A","B","OK"
693,3,141,4,0,"A","B","OK"
692,5,176,19,0,"A","D","OK"
691,32,170,8,7,"B","B","OK"
690,20,176,3,1,"A","B","OK"
689,2,147,5,5,"B","B","OK"
688,23,168,10,0,"B","B","OK"
687,4,184,3,9,"B","B","OK"
686,1,614,2,8,"B","C","OK"
685,5,170,7,3,"C","B","OK"
684,4,179,4,5,"B","B","OK"
683,3,0,0,13,"B","C","OK"
682,3,0,0,13,"B","C","OK"
681,2,118,1,0,"C","A","OK"
680,1,0,0,8,"B","C","OK"
679,7,173,15,1,"A","B","OK"
678,3,168,12,9,"B","B","OK"
677,25,0,3,1,"C","B","OK"
676,43,162,4,10,"A","B","OK"
675,3,277,5,5,"B","B","OK"
674,35,0,12,8,"B","B","OK"
673,5,0,3,6,"C","B","OK"
672,2,188,7,11,"B","B","OK"
671,2,290,6,5,"B","C","OK"
670,2,1205,17,5,"B","B","OK"
669,3,165,4,11,"B","B","OK"
668,7,282,11,4,"C","C","OK"
667,2,155,6,7,"A","B","OK"
666,3,0,1,16,"B","C","OK"
665,2,150,2,5,"B","B","OK"
664,3,1044,2,0,"B","B","OK"
1311,6,143,15,3,"B","B","OK"
662,24,240,2,2,"A","C","OK"
661,6,595,17,5,"B","B","OK"
660,3,701,10,2,"C","B","OK"
659,2,159,2,4,"B","B","OK"
658,5,369,7,9,"B","D","OK"
657,3,285,4,6,"B","B","OK"
656,1,1346,13,16,"A","B","OK"
1312,2,1747,5,1,"A","B","OK"
1313,5,260,7,0,"B","C","OK"
653,1,108,3,1,"B","A","OK"
652,6,228,6,11,"B","C","OK"
651,5,431,3,6,"B","B","OK"
650,26,111,4,0,"B","A","OK"
649,6,186,7,4,"B","B","OK"
648,5,166,12,0,"C","B","OK"
647,3,163,5,0,"B","B","OK"
1314,1,337,9,6,"B","C","OK"
1316,2,165,0,13,"B","C","OK"
644,29,140,10,7,"B","B","OK"
643,30,148,5,9,"B","B","OK"
1317,4,187,11,4,"B","B","OK"
641,5,285,2,10,"B","C","OK"
640,3,0,6,0,"A","B","OK"
639,8,219,2,3,"B","B","OK"
1318,2,1690,8,5,"B","B","OK"
637,5,1227,15,1,"A","B","OK"
636,32,194,7,5,"B","B","OK"
635,4,184,3,9,"B","B","OK"
634,4,179,3,11,"B","B","OK"
633,6,143,15,3,"B","B","OK"
632,5,186,5,0,"A","B","OK"
631,6,365,7,6,"B","D","OK"
1319,5,247,4,8,"B","C","OK"
629,4,217,6,2,"A","B","OK"
628,1,194,4,5,"B","B","OK"
627,4,122,3,2,"B","B","OK"
626,27,203,8,4,"B","C","OK"
625,2,165,0,13,"B","C","OK"
624,5,285,2,10,"B","C","OK"
623,4,187,11,4,"B","B","OK"
622,7,0,6,4,"C","B","OK"
621,2,155,6,7,"A","B","OK"
620,2,776,3,6,"B","B","OK"
619,6,187,7,5,"A","B","OK"
618,1,205,16,4,"C","B","OK"
617,4,160,3,9,"C","C","OK"
1321,6,348,4,0,"A","B","OK"
615,4,160,3,9,"C","C","OK"
1322,3,1044,2,0,"B","B","OK"
613,4,168,10,1,"B","B","OK"
612,26,213,5,6,"A","B","OK"
611,5,170,7,3,"C","B","OK"
610,2,1409,5,1,"A","B","OK"
1323,1,1564,4,4,"B","C","OK"
1324,3,172,3,6,"B","B","OK"
607,2,328,1,7,"B","C","OK"
606,3,86,7,3,"C","A","OK"
605,44,271,3,6,"B","C","OK"
604,3,0,8,3,"B","C","OK"
603,5,234,3,14,"B","C","OK"
602,5,194,7,0,"C","B","OK"
601,31,287,7,8,"C","C","OK"
600,37,329,10,11,"B","C","OK"
599,3,701,10,2,"C","B","OK"
598,8,219,2,3,"B","B","OK"
597,2,153,7,9,"B","B","OK"
596,8,0,11,9,"B","B","OK"
595,6,166,12,0,"B","B","OK"
594,2,127,4,9,"B","B","OK"
1325,7,162,5,5,"B","B","OK"
592,3,127,5,2,"C","A","OK"
591,6,0,3,7,"B","C","OK"
590,3,1120,5,12,"B","D","OK"
589,4,168,14,9,"B","B","OK"
588,2,450,14,0,"B","A","OK"
587,4,328,10,11,"B","C","OK"
586,5,189,6,10,"B","C","OK"
1326,8,643,8,7,"B","B","OK"
1327,3,277,5,5,"B","B","OK"
583,5,145,3,3,"B","B","OK"
582,1,254,3,7,"B","C","OK"
581,29,142,6,4,"C","B","OK"
580,1,217,6,8,"B","B","OK"
579,1,380,1,11,"B","D","OK"
578,4,328,10,11,"B","C","OK"
577,3,160,13,9,"B","B","OK"
576,24,0,7,6,"C","A","OK"
575,1,178,9,6,"B","B","OK"
1328,2,0,11,3,"B","B","OK"
573,3,0,5,7,"A","B","OK"
572,7,371,10,7,"B","C","OK"
571,1,0,0,8,"B","C","OK"
570,3,610,6,14,"B","B","OK"
569,2,776,3,6,"B","B","OK"
568,32,194,7,5,"B","B","OK"
1330,2,154,1,6,"B","B","OK"
566,4,168,14,9,"B","B","OK"
565,1,254,3,7,"B","C","OK"
564,3,159,4,3,"B","B","OK"
563,2,0,5,6,"B","C","OK"
1331,3,0,0,13,"B","C","OK"
561,3,418,8,2,"A","C","OK"
1332,3,168,12,9,"B","B","OK"
1333,2,115,6,3,"A","B","OK"
558,3,102,8,2,"A","A","OK"
557,2,171,1,7,"B","B","OK"
556,5,194,7,0,"C","B","OK"
1335,2,141,4,3,"C","B","OK"
1336,5,1227,15,1,"A","B","OK"
553,8,308,0,3,"B","B","OK"
552,7,230,2,7,"B","B","OK"
551,5,0,9,8,"C","B","OK"
550,2,1747,5,1,"A","B","OK"
1337,2,215,12,16,"B","C","OK"
548,2,0,4,4,"B","B","OK"
547,8,0,11,9,"B","B","OK"
546,20,122,3,2,"A","A","OK"
545,2,176,24,2,"C","B","OK"
544,4,202,6,4,"B","C","OK"
543,4,179,4,5,"C","A","OK"
542,5,53,18,6,"B","B","OK"
541,1,184,3,4,"B","B","OK"
540,2,290,6,5,"B","C","OK"
539,1,271,2,3,"B","A","OK"
538,4,184,3,9,"B","B","OK"
537,28,112,5,5,"B","B","OK"
536,29,142,6,4,"C","B","OK"
535,1,217,6,8,"B","B","OK"
534,30,174,7,11,"B","B","OK"
533,4,268,9,12,"B","B","OK"
532,30,148,5,9,"B","B","OK"
531,1,0,11,13,"C","A","OK"
1338,3,180,0,0,"A","B","OK"
529,4,167,4,3,"B","B","OK"
1339,4,213,10,10,"B","B","OK"
1340,1,250,4,14,"B","B","OK"
526,4,179,4,5,"C","A","OK"
525,7,275,12,11,"B","C","OK"
1341,28,112,5,5,"B","B","OK"
523,5,0,3,6,"C","B","OK"
522,2,240,14,13,"B","B","OK"
521,31,171,4,7,"B","B","OK"
520,3,0,5,7,"A","B","OK"
519,4,168,14,9,"B","B","OK"
518,3,172,3,6,"B","B","OK"
