CaseNo,大規模,小規模,特注品,利便性,原価物,簡易性,完成品,特価品,新商品,安全性,価格帯,数量性,複合物,国内品,輸入品,郷土品,油分量,糖分量
138,0,0.000,8,1,3,4,6,7,3,1,3,0,-0.363,9.291,5.318,0.760,0.871,4.335
139,1,2.000,15,0,23,0,5,29,1,6,6,2,1.030,7.900,6.154,0.646,-0.028,5.354
140,3,0.000,13,1,13,0,2,13,0,3,8,0,1.050,3.449,5.189,-0.033,-0.026,4.331
141,6,1.752,21,4,9,8,16,37,1,2,10,2,2.000,8.000,10.000,4.000,5.000,8.077
142,12,1.920,30,2,63,3,13,65,1,18,13,7,1.000,18.000,14.000,0.000,0.000,9.490
143,1,2.000,8,2,12,2,16,19,3,0,0,1,1.000,14.000,4.000,2.000,0.000,1.000
144,3,1.000,24,1,18,1,10,20,1,3,10,1,1.892,13.396,9.570,3.191,2.223,8.516
145,16,3.000,76,6,84,7,38,104,6,20,31,7,0.000,43.000,37.000,2.000,1.000,18.000
146,5,3.697,41,2,27,3,34,42,5,4,11,2,0.000,27.000,17.000,4.000,3.000,8.860
147,4,1.695,33,4,50,8,42,61,8,9,18,6,3.000,26.000,11.000,8.000,5.000,7.784
148,6,5.000,28,5,55,9,37,65,2,12,14,4,4.000,32.000,8.000,4.000,6.000,2.000
149,5,1.000,25,4,42,6,14,46,0,11,7,8,1.000,16.000,3.000,4.000,1.000,3.000
150,4,0.878,23,1,25,1,13,30,6,5,9,1,0.000,19.000,8.000,0.000,1.000,8.155
151,3,1.971,25,7,54,7,15,51,1,13,19,6,2.000,26.000,6.000,0.000,0.000,10.000
152,1,2.000,14,2,6,1,12,10,1,2,3,1,0.000,11.000,4.000,5.000,1.000,3.000
153,1,1.493,16,0,16,4,14,28,0,9,4,2,0.000,11.000,7.000,3.000,1.000,2.000
154,7,1.000,36,8,59,17,27,69,8,19,16,9,2.000,38.000,8.000,4.000,4.000,16.000
155,3,5.000,18,2,29,4,9,28,1,11,5,2,0.000,12.000,10.000,0.000,0.000,7.000
156,6,6.000,17,0,25,6,4,23,2,6,9,1,1.000,17.000,8.000,0.000,1.000,2.000
157,1,1.142,28,1,17,2,14,21,5,5,3,3,0.000,12.000,7.000,0.000,0.000,0.000
158,2,2.000,30,0,13,5,25,37,0,5,11,3,2.781,21.760,11.149,3.631,3.723,4.621
159,7,4.464,39,6,27,19,58,64,7,4,4,5,3.000,48.000,10.000,10.000,12.000,7.000
160,1,1.119,33,2,10,6,8,26,0,1,17,1,1.000,9.000,8.000,2.000,2.000,5.000
161,1,0.000,6,0,2,0,1,9,1,1,1,0,0.000,3.000,1.000,0.000,0.000,1.000
162,4,1.410,44,3,25,4,25,44,2,6,10,4,0.000,23.000,9.000,9.000,1.000,12.000
163,3,3.911,31,6,20,10,40,61,10,9,16,4,3.000,30.000,10.000,13.000,2.000,13.000
164,0,0.000,18,1,29,4,7,23,0,14,10,2,0.000,13.000,1.000,1.000,0.000,0.000
165,4,0.000,16,3,20,5,15,22,0,3,7,0,0.137,9.715,5.857,1.850,1.063,2.432
166,3,2.052,8,0,11,6,18,27,0,9,8,1,0.000,18.000,8.000,1.000,0.000,4.000
167,5,2.817,37,5,25,11,22,49,2,2,13,7,0.000,32.000,5.000,4.000,0.000,4.000
168,6,0.000,15,2,16,5,12,32,1,5,4,3,2.000,7.000,9.000,1.000,1.000,0.000
169,4,2.006,18,3,37,11,15,43,1,13,9,2,1.000,20.000,3.000,3.000,5.000,1.849
170,3,2.695,25,1,17,7,17,27,2,2,8,3,0.000,17.000,17.000,6.000,1.000,8.136
171,4,0.000,10,1,3,3,4,15,2,0,1,0,0.519,6.376,4.849,0.959,0.752,3.554
172,2,1.000,15,0,10,1,6,20,0,1,6,1,0.000,7.000,3.000,0.000,0.000,0.000
173,0,0.000,11,1,2,0,7,11,2,0,3,1,0.000,4.000,4.000,1.000,0.000,3.000
174,4,0.151,18,0,8,4,8,18,2,4,7,1,1.000,7.000,4.000,6.000,0.000,3.000
175,0,2.000,27,0,6,7,12,37,0,2,8,1,1.351,15.513,10.092,2.154,2.268,5.254
176,2,1.625,11,1,3,1,16,31,0,1,3,3,0.000,15.000,5.000,3.000,1.000,5.451
177,3,2.000,22,7,33,5,29,39,6,13,11,2,1.000,26.000,8.000,4.000,2.000,7.000
178,0,0.790,3,0,4,0,0,2,0,0,1,1,0.000,2.000,0.000,0.000,0.000,2.156
179,4,0.695,14,1,60,4,4,43,0,19,3,4,0.000,9.000,4.000,0.000,0.000,4.308
180,1,1.773,24,1,13,5,14,29,1,7,12,1,0.000,15.000,11.000,4.000,0.000,3.530
181,0,0.000,14,0,8,2,3,13,0,2,5,1,0.000,8.000,1.000,0.000,0.000,0.000
182,6,0.000,16,3,24,5,10,28,0,7,9,3,1.698,10.238,4.844,1.430,1.713,5.332
183,1,1.331,9,0,15,4,6,17,0,5,3,1,0.000,8.000,4.000,4.000,1.000,2.000
184,7,0.000,26,4,24,4,11,24,3,2,7,2,0.000,20.000,6.000,4.000,0.000,3.000
185,0,0.000,7,0,6,4,7,15,1,4,5,2,0.000,12.000,4.000,4.000,0.000,9.000
186,4,1.000,28,4,24,4,26,52,2,9,11,2,1.079,20.497,11.326,3.171,2.355,5.611
187,9,1.374,17,5,25,4,13,37,0,8,8,6,0.000,13.000,6.000,1.000,1.000,2.000
188,10,6.000,55,6,31,5,34,49,6,11,24,1,1.000,34.000,14.000,6.000,0.000,23.000
189,0,1.000,7,2,2,2,2,10,0,0,5,0,0.000,4.000,0.000,1.000,0.000,1.000
190,11,4.000,34,9,29,8,61,69,2,6,14,5,1.000,37.000,30.000,5.000,0.000,2.000
191,5,0.892,26,2,13,2,15,20,0,4,7,0,0.000,10.000,6.000,2.000,0.000,2.000
192,1,0.685,9,1,7,0,5,6,0,2,5,2,0.000,13.000,3.000,0.000,0.000,7.000
193,3,1.000,13,2,30,3,6,27,3,3,11,5,0.000,11.000,4.000,0.000,1.000,19.000
194,2,0.119,13,2,7,0,5,20,1,2,1,2,0.000,2.000,9.000,0.000,0.000,2.960
195,5,1.720,17,1,36,7,13,42,0,6,10,5,1.000,18.000,7.000,6.000,1.000,3.477
196,2,1.420,14,1,6,3,19,26,2,1,6,1,2.000,10.000,5.000,4.000,4.000,5.356
197,4,0.000,32,3,42,10,28,37,4,6,12,5,0.000,39.000,10.000,3.000,3.000,5.000
198,2,0.372,9,0,33,1,9,27,1,10,4,3,0.000,10.000,1.000,2.000,0.000,0.371
199,3,2.000,9,1,23,5,12,20,2,10,9,2,0.000,15.000,7.000,0.000,0.000,0.000
200,1,0.000,5,3,4,11,9,19,3,0,6,3,0.000,10.000,3.000,3.000,8.000,9.000
201,4,7.000,27,3,19,1,26,42,4,5,10,2,2.000,13.000,12.000,3.000,1.000,9.000
202,3,6.000,33,1,30,4,24,45,5,10,11,4,0.000,33.000,17.000,3.000,0.000,20.000
203,5,6.280,62,14,45,12,92,67,11,12,18,6,0.000,84.000,20.000,8.000,6.000,11.165
204,0,0.815,13,1,2,1,15,14,2,1,5,0,1.000,12.000,9.000,0.000,1.000,4.098
205,1,3.000,35,0,26,4,12,33,0,9,9,0,0.000,13.000,13.000,0.000,0.000,2.000
206,0,2.000,15,1,21,4,18,29,1,0,6,1,0.000,22.000,4.000,2.000,0.000,3.000
207,7,3.172,42,1,18,15,35,54,2,6,18,3,5.000,29.000,13.000,10.000,4.000,7.000
208,2,0.592,14,0,29,9,9,34,0,8,5,3,0.000,11.000,0.000,2.000,4.000,0.000
209,2,0.000,17,0,13,0,8,27,0,9,16,1,0.000,11.000,7.000,1.000,0.000,11.000
210,1,1.591,22,1,14,0,11,27,1,2,10,1,0.000,7.000,4.000,0.000,2.000,2.000
211,9,3.000,20,4,47,3,17,39,2,11,11,7,0.000,18.000,4.000,0.000,1.000,0.000
212,2,1.000,22,0,7,2,8,17,3,2,13,1,2.495,12.627,10.281,1.839,2.399,3.702
213,3,1.000,54,5,38,11,29,63,5,14,25,4,3.000,33.000,18.000,5.000,2.000,24.000
214,1,0.744,12,1,21,3,11,19,0,8,7,2,0.000,10.000,1.000,4.000,0.000,1.701
215,3,0.000,6,1,5,2,1,11,1,1,0,0,0.112,4.305,1.077,0.310,1.047,-0.664
216,1,3.335,26,2,19,10,31,42,6,4,13,1,1.000,22.000,12.000,5.000,2.000,3.000
217,9,0.000,36,8,35,8,7,45,2,3,15,5,0.063,10.420,8.243,1.682,1.082,6.406
218,0,1.048,7,0,6,8,13,22,0,5,0,1,0.000,12.000,3.000,3.000,2.000,1.444
219,0,3.547,37,10,27,8,38,53,2,5,8,4,1.000,35.000,11.000,8.000,2.000,4.000
220,2,1.673,37,6,29,6,21,47,0,6,11,1,0.000,21.000,12.000,4.000,0.000,6.000
221,5,2.000,38,1,29,8,20,30,0,3,18,0,4.000,17.000,11.000,1.000,5.000,0.000
222,7,2.852,24,2,21,5,12,33,0,6,9,1,0.000,21.000,11.000,2.000,0.000,5.776
223,1,0.000,23,1,18,3,16,26,0,7,19,1,2.000,19.000,10.000,0.000,0.000,0.000
224,0,2.000,19,0,19,4,11,12,4,4,2,0,1.000,13.000,4.000,3.000,1.000,2.000
225,5,1.890,22,3,17,1,5,17,1,4,3,1,0.000,3.000,9.000,2.000,0.000,1.000
226,2,2.000,16,1,8,2,13,15,1,5,5,1,0.616,11.078,5.172,1.545,0.841,1.440
227,0,2.348,38,0,28,4,23,46,1,10,24,2,3.000,24.000,9.000,0.000,2.000,7.000
228,2,0.000,11,2,44,3,13,33,7,14,3,4,-0.176,10.988,1.225,0.906,1.043,3.553
229,8,2.000,46,6,56,3,22,51,1,16,11,6,0.000,20.000,7.000,5.000,0.000,4.000
230,3,2.489,20,2,15,9,17,30,1,2,4,1,1.000,19.000,9.000,2.000,0.000,7.783
231,4,1.129,12,2,17,3,6,22,1,6,3,1,0.000,10.000,1.000,2.000,1.000,4.000
232,16,0.000,42,11,38,11,32,87,2,3,5,7,1.000,32.000,12.000,4.000,4.000,11.000
233,3,2.428,30,0,29,3,15,45,3,17,5,4,0.000,23.000,5.000,2.000,0.000,5.000
234,1,0.000,9,1,10,3,5,20,2,1,4,2,0.000,9.000,4.000,2.000,0.000,4.000
235,1,0.000,8,0,3,4,5,8,2,0,2,0,1.120,8.514,2.889,1.359,1.881,1.724
236,3,1.884,18,3,32,1,19,32,2,13,9,5,0.000,14.000,10.000,3.000,3.000,4.983
237,2,2.192,9,0,9,1,11,24,3,1,1,2,0.000,13.000,4.000,1.000,1.000,3.149
238,1,0.000,12,1,7,1,8,16,0,0,5,1,1.000,13.000,5.000,3.000,0.000,1.000
239,9,2.026,20,7,25,9,13,44,0,3,7,1,0.000,11.000,7.000,4.000,2.000,4.363
240,2,2.705,24,4,15,3,22,35,2,2,7,1,0.000,23.000,2.000,3.000,0.000,12.000
241,4,1.000,33,4,42,2,27,77,1,5,18,6,3.696,23.008,12.582,4.159,3.746,8.862
242,3,0.000,12,2,15,8,9,18,0,2,7,2,0.173,13.985,3.421,1.973,2.188,5.802
243,4,1.207,5,0,2,5,5,9,0,1,3,0,0.000,4.000,5.000,0.000,4.000,2.000
244,4,4.000,28,3,48,7,22,56,2,14,12,6,0.000,29.000,16.000,5.000,2.000,8.000
245,3,1.362,30,4,19,2,8,31,1,8,10,1,0.000,14.000,8.000,3.000,0.000,5.999
246,3,3.000,25,1,28,4,22,38,3,6,8,3,2.035,22.178,6.608,3.688,3.183,5.397
247,5,2.965,43,1,41,3,34,56,3,14,16,3,3.000,26.000,11.000,1.000,1.000,3.000
248,1,1.760,16,2,8,6,14,23,0,1,5,5,0.000,15.000,3.000,5.000,1.000,6.000
249,1,1.000,3,1,4,1,8,12,0,1,1,0,-1.238,3.760,2.323,0.800,-0.961,1.470
250,4,1.000,15,1,21,3,5,24,1,4,7,3,0.000,6.000,5.000,1.000,1.000,0.000
251,1,1.000,15,4,13,8,14,34,2,3,2,2,0.000,11.000,12.000,5.000,0.000,2.000
252,0,2.000,12,2,42,1,6,25,2,7,7,3,-0.491,10.303,3.724,-0.055,0.447,2.406
253,6,1.000,41,2,40,3,11,39,1,6,14,4,1.000,12.000,12.000,1.000,0.000,1.000
254,0,2.512,22,1,29,9,17,42,2,15,6,1,0.000,18.000,3.000,3.000,3.000,1.000
255,1,3.513,25,2,37,5,18,39,2,6,11,4,1.000,20.000,19.000,0.000,0.000,9.698
256,1,1.000,19,1,17,1,14,29,0,1,3,1,0.000,17.000,8.000,1.000,1.000,5.000
257,3,2.000,42,10,56,7,23,57,3,8,14,6,0.000,31.000,6.000,1.000,2.000,4.000
258,4,0.000,31,2,31,3,12,38,0,9,11,2,1.000,19.000,6.000,1.000,0.000,4.000
259,2,1.854,24,2,12,3,12,24,0,2,7,2,2.000,12.000,7.000,4.000,2.000,4.145
260,6,2.122,27,2,37,2,16,40,0,24,8,2,0.000,12.000,9.000,4.000,0.000,6.949
261,7,1.389,24,1,22,3,13,30,1,7,5,3,1.000,15.000,0.000,0.000,2.000,5.271
262,0,1.032,23,4,5,1,12,16,2,1,9,0,0.000,21.000,4.000,1.000,0.000,13.000
263,4,2.922,30,0,19,4,33,50,3,5,9,0,0.000,25.000,10.000,7.000,2.000,1.000
264,3,1.151,9,0,6,5,15,24,2,0,4,1,0.000,20.000,0.000,0.000,1.000,11.000
265,4,0.838,9,4,13,5,4,27,0,5,3,1,0.000,7.000,2.000,1.000,2.000,2.132
