期間,年齢,収入,教育,雇用,設備,コールカード,ワイヤレス,長距離月,通話料月,設備月,カード月,ワイヤレス月,長距離計,通話料計,カード計,ボイス,ポケベル,インターネット,キャッチ,スリーホン,電子請求,log長距離,log無料通話,ln収入,顧客,解約
41,38,37.000,2,9,0,1,0,8.550,0.000,0.000,41.750,0.000,308.700,0.000,1650.000,0,0,0,0,0,0,2.146,3.240,3.611,1,0
57,54,115.000,4,23,1,0,1,15.600,46.250,46.700,0.000,61.050,825.350,2624.250,0.000,1,1,1,1,1,1,2.747,3.834,4.745,4,1
9,46,25.000,1,8,0,0,0,4.400,0.000,0.000,0.000,0.000,36.800,0.000,0.000,0,0,0,0,0,0,1.482,3.240,3.219,1,0
29,38,75.000,5,1,1,1,0,5.100,0.000,30.250,11.250,0.000,146.250,0.000,295.000,0,0,1,0,0,0,1.629,3.240,4.317,2,0
60,57,162.000,2,30,1,1,0,16.150,29.750,31.300,30.000,0.000,946.900,1767.600,1795.000,0,0,0,1,1,0,2.782,3.393,5.088,3,0
34,48,49.000,2,6,0,0,0,6.650,18.500,0.000,0.000,0.000,230.800,614.300,0.000,0,0,0,1,1,0,1.895,2.918,3.892,3,0
1,24,20.000,1,3,0,0,0,1.050,0.000,0.000,0.000,0.000,1.050,0.000,0.000,0,0,0,0,0,0,0.049,3.240,2.996,1,0
26,29,77.000,4,2,1,1,1,6.700,0.000,48.100,24.250,38.300,140.950,0.000,610.000,1,0,1,1,1,1,1.902,3.240,4.344,4,1
6,30,16.000,3,1,1,0,1,3.750,0.000,33.800,0.000,18.700,25.650,0.000,0.000,0,1,1,1,0,0,1.322,3.240,2.773,2,1
68,52,120.000,1,24,0,1,0,20.700,0.000,0.000,22.000,0.000,1391.050,0.000,1505.000,0,0,0,0,0,0,3.030,3.240,4.787,1,0
53,33,101.000,5,4,1,1,1,5.300,0.000,49.600,26.750,51.400,253.350,0.000,1340.000,1,0,1,1,1,1,1.668,3.240,4.615,4,0
55,48,67.000,1,25,0,1,0,15.050,0.000,0.000,27.250,0.000,810.450,0.000,1390.000,0,0,0,0,0,0,2.711,3.240,4.205,1,0
14,43,36.000,1,5,0,1,0,12.500,19.750,0.000,18.000,0.000,153.750,273.750,215.000,0,0,0,1,1,0,2.526,2.983,3.584,3,0
1,21,33.000,2,0,0,1,0,2.200,20.750,0.000,40.500,0.000,2.200,20.750,40.500,0,0,0,1,1,0,0.788,3.033,3.497,3,0
42,40,37.000,2,8,1,1,1,8.250,23.500,36.900,28.000,37.400,399.150,950.650,1190.000,1,0,1,1,1,1,2.110,3.157,3.611,4,0
25,33,31.000,1,5,0,0,0,9.100,0.000,0.000,0.000,0.000,234.950,0.000,0.000,0,0,0,0,0,0,2.208,3.240,3.434,3,0
9,21,17.000,2,2,0,0,0,2.900,0.000,0.000,0.000,0.000,25.250,0.000,0.000,0,0,0,0,0,0,1.065,3.240,2.833,1,0
13,33,19.000,4,0,1,0,0,5.550,0.000,27.350,0.000,0.000,75.250,0.000,0.000,0,0,1,0,1,1,1.714,3.240,2.944,2,0
56,37,36.000,1,13,1,1,0,10.600,0.000,31.100,18.250,0.000,582.600,0.000,1005.000,0,0,1,0,0,1,2.361,3.240,3.584,2,0
71,53,155.000,5,12,0,1,1,21.000,56.000,0.000,34.000,49.950,1519.200,4064.300,2345.000,1,0,1,0,1,1,3.045,4.025,5.043,4,0
35,50,140.000,2,21,0,1,0,6.500,27.500,0.000,35.000,0.000,247.550,1068.250,1215.000,0,0,0,1,1,0,1.872,3.314,4.942,3,0
11,27,55.000,5,0,1,0,0,4.800,0.000,19.550,0.000,0.000,54.100,0.000,0.000,0,0,1,0,0,0,1.569,3.240,4.007,2,0
60,46,163.000,3,24,1,1,1,33.900,38.250,44.650,13.750,55.250,1947.950,2326.350,840.000,1,1,1,1,1,1,3.523,3.644,5.094,4,0
20,35,52.000,4,0,1,0,0,4.250,0.000,30.550,0.000,0.000,82.700,0.000,0.000,0,0,1,0,0,1,1.447,3.240,3.951,2,1
54,60,211.000,4,25,1,1,1,21.150,39.250,46.350,54.250,54.850,1228.700,2102.250,2785.000,1,1,1,0,1,1,3.052,3.670,5.352,4,0
44,57,186.000,2,17,0,1,1,9.800,33.500,0.000,36.000,41.650,428.250,1379.550,1535.000,1,0,0,1,1,0,2.282,3.512,5.226,3,0
11,41,39.000,1,1,0,1,0,6.550,29.250,0.000,19.750,0.000,67.800,303.650,200.000,1,0,0,1,1,0,1.879,3.376,3.664,3,1
72,57,22.000,2,35,0,1,0,41.750,49.000,0.000,18.750,0.000,3043.050,3581.000,1360.000,0,0,0,1,1,0,3.732,3.892,3.091,3,0
10,41,30.000,1,7,0,1,0,2.500,19.250,0.000,53.750,0.000,31.250,178.200,490.000,0,0,0,1,1,0,0.916,2.958,3.401,3,0
15,28,29.000,2,4,0,1,0,4.250,30.000,0.000,17.750,0.000,78.000,426.050,255.000,0,0,0,1,1,0,1.447,3.401,3.367,3,0
27,28,23.000,2,8,0,0,0,6.200,0.000,0.000,0.000,0.000,180.150,0.000,0.000,0,0,0,0,0,0,1.825,3.240,3.135,1,0
9,36,62.000,4,10,1,0,1,5.650,0.000,46.750,0.000,48.500,43.300,0.000,0.000,1,1,1,0,1,1,1.732,3.240,4.127,4,1
64,43,76.000,4,20,0,1,0,14.700,18.750,0.000,11.000,0.000,897.050,1279.250,680.000,0,0,0,1,1,0,2.688,2.931,4.331,3,0
65,41,74.000,4,16,1,1,0,14.500,0.000,37.000,17.000,0.000,963.300,0.000,1065.000,1,0,1,0,0,1,2.674,3.240,4.304,2,0
49,51,63.000,4,19,0,1,0,12.850,25.750,0.000,14.250,0.000,585.600,1278.450,635.000,0,0,1,1,0,1,2.553,3.248,4.143,2,0
47,41,36.000,4,8,1,1,1,7.750,0.000,37.450,18.500,38.800,361.000,0.000,845.000,0,1,1,1,1,1,2.048,3.240,3.584,4,1
9,34,33.000,2,8,1,0,0,2.950,0.000,22.950,0.000,0.000,18.900,0.000,0.000,0,0,0,0,0,0,1.082,3.240,3.497,1,1
5,36,29.000,2,9,0,1,1,3.250,31.500,0.000,15.500,26.750,16.800,154.650,60.000,0,0,1,1,1,1,1.179,3.450,3.367,3,1
30,34,27.000,2,1,1,0,0,6.300,0.000,22.500,0.000,0.000,150.900,0.000,0.000,0,0,1,0,0,0,1.841,3.240,3.296,1,1
56,52,49.000,2,12,0,1,0,24.750,0.000,0.000,22.250,0.000,1349.050,0.000,1215.000,0,0,0,0,0,0,3.209,3.240,3.892,2,0
10,22,24.000,4,0,1,1,1,7.800,23.750,37.250,22.500,30.050,63.000,222.550,185.000,1,1,1,1,1,1,2.054,3.168,3.178,4,0
7,26,26.000,2,2,0,0,0,4.850,15.500,0.000,0.000,0.000,33.700,136.550,0.000,0,0,0,1,0,0,1.579,2.741,3.258,1,0
52,27,47.000,3,5,0,1,0,6.250,18.500,0.000,14.250,0.000,330.400,942.650,725.000,0,0,0,0,0,1,1.833,2.918,3.850,1,0
36,45,94.000,2,18,1,0,0,7.200,15.750,28.350,0.000,0.000,258.750,553.800,0.000,0,1,1,0,1,0,1.974,2.757,4.543,1,1
27,34,21.000,3,4,0,0,0,7.650,0.000,0.000,0.000,0.000,213.450,0.000,0.000,0,0,0,0,0,0,2.035,3.240,3.045,2,0
58,62,27.000,1,0,0,1,0,15.500,0.000,0.000,34.500,0.000,967.100,0.000,1910.000,0,0,0,0,0,0,2.741,3.240,3.296,1,0
41,52,30.000,2,2,0,1,1,10.400,28.000,0.000,19.000,27.500,447.850,1152.000,800.000,0,0,0,1,1,0,2.342,3.332,3.401,3,0
47,40,127.000,4,12,1,1,0,19.700,0.000,28.150,14.750,0.000,909.900,0.000,680.000,0,0,1,0,0,1,2.981,3.240,4.844,2,0
55,39,137.000,2,20,0,1,0,12.700,27.500,0.000,11.500,0.000,676.900,1505.200,620.000,1,0,0,1,1,0,2.542,3.314,4.920,3,1
56,50,80.000,2,24,0,1,1,28.800,55.500,0.000,21.250,61.100,1558.100,3119.450,1065.000,1,1,0,1,1,0,3.360,4.016,4.382,4,0
35,55,30.000,2,2,0,1,0,10.250,0.000,0.000,15.750,0.000,395.850,0.000,550.000,0,0,0,0,0,0,2.327,3.240,3.401,1,0
69,51,438.000,4,23,1,1,0,29.000,0.000,47.050,24.750,0.000,1815.400,0.000,1655.000,0,1,1,0,1,0,3.367,3.240,6.082,4,0
44,39,79.000,2,16,1,1,1,15.250,24.500,37.450,27.250,30.050,653.700,1037.450,1110.000,0,1,1,1,1,1,2.725,3.199,4.369,4,1
36,47,63.000,1,23,0,1,0,9.050,0.000,0.000,6.750,0.000,373.650,0.000,220.000,0,0,0,0,0,0,2.203,3.240,4.143,1,0
28,51,40.000,3,10,0,0,0,8.950,21.250,0.000,0.000,0.000,253.550,586.950,0.000,0,0,0,1,1,0,2.192,3.056,3.689,3,0
72,67,51.000,1,34,0,1,0,57.050,51.500,0.000,19.250,0.000,4168.250,3657.900,1345.000,0,0,0,1,1,0,4.044,3.942,3.932,3,0
16,27,37.000,3,5,0,0,0,6.000,0.000,0.000,0.000,0.000,80.700,0.000,0.000,0,0,0,0,0,0,1.792,3.240,3.611,1,0
3,43,61.000,4,11,1,1,1,3.150,0.000,27.250,16.250,17.950,7.900,0.000,20.000,0,0,1,0,1,1,1.147,3.240,4.111,1,1
40,57,22.000,2,9,0,1,0,8.550,0.000,0.000,19.750,0.000,381.500,0.000,710.000,0,0,0,0,0,0,2.146,3.240,3.091,1,0
16,39,44.000,4,3,1,0,0,6.600,0.000,23.300,0.000,0.000,96.300,0.000,0.000,0,0,1,0,0,1,1.887,3.240,3.784,2,0
20,42,17.000,3,5,0,0,0,7.800,0.000,0.000,0.000,0.000,175.850,0.000,0.000,0,0,0,0,0,0,2.054,3.240,2.833,1,0
48,43,110.000,5,15,1,0,1,7.250,0.000,33.500,0.000,20.650,359.350,0.000,0.000,1,0,1,0,0,1,1.981,3.240,4.700,2,0
64,48,91.000,2,24,0,1,1,24.500,24.750,0.000,12.500,29.650,1531.900,1569.250,780.000,0,0,0,1,1,0,3.199,3.209,4.511,3,0
8,46,46.000,2,8,1,0,0,3.150,0.000,25.050,0.000,0.000,16.650,0.000,0.000,0,1,1,0,0,1,1.147,3.240,3.829,1,0
40,38,85.000,3,12,0,0,0,10.600,0.000,0.000,0.000,0.000,384.800,0.000,0.000,0,0,0,1,1,0,2.361,3.240,4.443,3,1
38,71,10.000,2,12,0,0,0,11.200,0.000,0.000,0.000,0.000,429.850,0.000,0.000,0,0,0,0,1,0,2.416,3.240,2.303,1,0
67,68,244.000,1,47,0,1,0,30.250,30.250,0.000,30.750,0.000,2186.200,2036.150,2105.000,1,0,0,1,1,0,3.409,3.409,5.497,3,0
26,42,80.000,4,15,1,1,1,7.850,44.000,49.600,10.500,43.750,196.650,1123.250,250.000,1,1,1,1,1,1,2.061,3.784,4.382,4,0
41,34,83.000,5,1,0,1,0,8.900,33.750,0.000,5.750,0.000,379.550,1404.450,220.000,1,1,1,1,1,0,2.186,3.519,4.419,4,0
2,31,21.000,1,6,1,0,0,1.650,0.000,21.600,0.000,0.000,3.200,0.000,0.000,0,0,0,0,1,0,0.501,3.240,3.045,1,1
20,48,24.000,2,3,0,1,0,11.850,22.500,0.000,35.000,0.000,230.700,452.750,675.000,1,1,0,1,1,0,2.472,3.114,3.178,4,1
31,53,351.000,3,31,0,1,0,5.500,31.500,0.000,19.250,0.000,185.300,1009.900,585.000,0,1,0,1,1,0,1.705,3.450,5.861,3,0
45,52,169.000,4,29,1,1,0,14.650,0.000,40.450,14.250,0.000,618.150,0.000,690.000,0,0,1,0,0,0,2.684,3.240,5.130,2,0
33,27,46.000,2,7,1,0,0,7.250,0.000,29.150,0.000,0.000,243.350,0.000,0.000,0,0,0,0,0,1,1.981,3.240,3.829,1,0
10,26,34.000,3,3,1,0,0,4.850,0.000,27.700,0.000,0.000,41.850,0.000,0.000,0,0,0,0,0,0,1.579,3.240,3.526,2,0
62,54,50.000,4,3,1,1,1,17.250,0.000,48.000,87.500,33.250,1067.800,0.000,5455.000,1,1,1,0,0,1,2.848,3.240,3.912,4,1
4,35,161.000,5,6,1,0,1,3.400,23.750,49.800,0.000,35.750,10.350,103.100,0.000,1,1,1,1,1,1,1.224,3.168,5.081,4,1
42,47,212.000,4,17,0,1,0,7.450,26.750,0.000,24.750,0.000,320.900,1163.550,1035.000,0,0,0,1,0,0,2.008,3.287,5.357,3,0
27,51,80.000,5,11,1,0,0,7.100,0.000,39.400,0.000,0.000,176.200,0.000,0.000,0,1,1,0,0,1,1.960,3.240,4.382,2,0
38,42,30.000,4,7,0,0,0,13.200,27.500,0.000,0.000,0.000,495.850,1087.900,0.000,0,0,0,1,0,0,2.580,3.314,3.401,1,0
52,61,53.000,5,1,1,1,1,12.250,0.000,38.400,8.750,35.950,631.700,0.000,465.000,1,0,1,0,1,1,2.506,3.240,3.970,2,0
35,33,73.000,5,4,0,1,1,5.850,38.250,0.000,22.250,40.350,216.600,1337.600,700.000,1,1,1,1,1,1,1.766,3.644,4.290,4,0
3,20,17.000,2,0,0,0,0,3.750,0.000,0.000,0.000,0.000,12.300,0.000,0.000,0,0,0,0,0,1,1.322,3.240,2.833,1,1
17,33,23.000,5,3,1,1,1,10.200,0.000,36.400,14.500,30.900,196.300,0.000,220.000,1,0,1,1,0,1,2.322,3.240,3.135,4,1
55,53,34.000,1,8,0,0,0,5.700,0.000,0.000,0.000,0.000,304.400,0.000,0.000,0,0,0,1,1,0,1.740,3.240,3.526,3,0
43,36,107.000,1,19,0,1,0,11.550,12.750,0.000,21.500,0.000,491.550,583.750,910.000,0,0,0,0,0,0,2.447,2.546,4.673,2,1
47,25,21.000,1,1,0,1,0,8.650,30.500,0.000,9.000,0.000,426.600,1465.450,405.000,0,0,0,1,1,0,2.158,3.418,3.045,3,1
65,58,83.000,2,16,0,1,0,19.300,0.000,0.000,22.750,0.000,1323.200,0.000,1370.000,0,0,0,1,0,0,2.960,3.240,4.419,2,0
13,20,17.000,3,0,1,1,0,3.050,0.000,31.300,14.000,0.000,40.300,0.000,155.000,0,0,1,1,1,1,1.115,3.240,2.833,4,0
64,25,76.000,3,2,1,1,0,24.050,0.000,35.400,21.250,0.000,1536.550,0.000,1400.000,0,0,0,0,1,1,3.180,3.240,4.331,3,0
12,24,19.000,1,0,0,1,0,4.000,24.750,0.000,27.250,0.000,46.000,299.000,295.000,0,0,0,1,1,0,1.386,3.209,2.944,3,1
29,32,49.000,4,3,1,0,0,6.700,0.000,33.000,0.000,0.000,187.000,0.000,0.000,0,1,1,0,0,1,1.902,3.240,3.892,2,1
23,47,173.000,3,22,0,0,0,7.600,0.000,0.000,0.000,0.000,145.900,0.000,0.000,0,0,0,0,1,1,2.028,3.240,5.153,2,0
14,35,47.000,3,10,0,0,1,5.000,21.750,0.000,0.000,24.150,76.200,318.200,0.000,0,0,0,0,1,1,1.609,3.080,3.850,2,1
35,61,41.000,2,11,0,1,0,9.600,0.000,0.000,9.500,0.000,353.550,0.000,295.000,0,0,0,0,0,0,2.262,3.240,3.714,1,0
26,39,105.000,3,13,0,1,1,6.600,39.750,0.000,37.250,38.250,159.700,1022.450,1005.000,1,1,0,1,1,1,1.887,3.683,4.654,4,0
13,54,31.000,4,2,0,0,0,5.850,0.000,0.000,0.000,0.000,97.000,0.000,0.000,1,0,1,0,0,1,1.766,3.240,3.434,1,0
69,40,41.000,2,17,0,1,0,25.250,0.000,0.000,33.000,0.000,1725.100,0.000,2320.000,0,0,0,0,0,0,3.229,3.240,3.714,2,0
61,50,102.000,4,9,0,1,0,12.600,0.000,0.000,12.500,0.000,760.300,0.000,745.000,0,0,1,0,0,1,2.534,3.240,4.625,2,0
45,22,36.000,4,0,1,0,0,9.950,14.750,26.150,0.000,0.000,412.100,663.100,0.000,0,0,0,0,0,0,2.298,2.691,3.584,2,1
3,37,24.000,1,3,0,0,0,2.000,0.000,0.000,0.000,0.000,3.050,0.000,0.000,1,0,0,0,1,1,0.693,3.240,3.178,1,0
53,22,25.000,4,0,1,1,0,12.050,0.000,27.150,6.500,0.000,666.000,0.000,335.000,0,0,1,0,0,1,2.489,3.240,3.219,2,0
59,42,68.000,2,21,0,1,0,17.300,21.250,0.000,19.250,0.000,997.850,1183.550,1160.000,0,0,0,1,1,0,2.851,3.056,4.220,3,0
13,34,20.000,3,0,0,0,0,4.800,0.000,0.000,0.000,0.000,71.050,0.000,0.000,0,0,1,0,0,0,1.569,3.240,2.996,1,0
31,31,48.000,1,15,0,0,0,3.800,0.000,0.000,0.000,0.000,127.700,0.000,0.000,0,0,0,1,1,0,1.335,3.240,3.871,3,0
40,29,40.000,2,8,0,0,0,13.000,0.000,0.000,0.000,0.000,502.950,0.000,0.000,0,0,0,1,1,0,2.565,3.240,3.689,3,0
48,55,79.000,1,25,0,1,0,13.800,0.000,0.000,25.500,0.000,668.650,0.000,1140.000,0,0,0,1,1,0,2.625,3.240,4.369,3,0
3,31,28.000,1,0,1,1,0,3.450,15.500,23.300,23.500,0.000,13.300,48.750,45.000,0,0,1,0,0,0,1.238,2.741,3.332,1,1
51,48,64.000,2,22,0,1,0,14.800,0.000,0.000,17.000,0.000,708.450,0.000,820.000,0,0,0,0,0,0,2.695,3.240,4.159,1,0
33,41,37.000,2,11,0,0,0,12.200,0.000,0.000,0.000,0.000,415.050,0.000,0.000,0,0,0,0,0,0,2.501,3.240,3.611,1,0
14,47,48.000,1,13,0,0,0,4.250,11.000,0.000,0.000,0.000,55.500,126.450,0.000,0,0,0,0,1,0,1.447,2.398,3.871,1,0
17,42,131.000,5,6,1,0,1,5.800,0.000,35.350,0.000,21.650,103.100,0.000,0.000,0,0,1,0,0,1,1.758,3.240,4.875,2,1
19,29,18.000,2,2,0,0,0,5.400,0.000,0.000,0.000,0.000,108.500,0.000,0.000,0,0,1,0,0,1,1.686,3.240,2.890,1,1
58,36,38.000,2,14,0,1,0,10.150,0.000,0.000,17.750,0.000,538.650,0.000,1030.000,0,0,0,0,0,0,2.317,3.240,3.638,2,0
22,23,37.000,2,4,1,1,1,5.350,0.000,28.100,9.000,24.700,144.050,0.000,200.000,1,0,1,0,1,1,1.677,3.240,3.611,4,0
29,31,60.000,4,6,1,0,0,9.600,0.000,26.750,0.000,0.000,243.900,0.000,0.000,0,0,1,0,0,1,2.262,3.240,4.094,2,1
14,22,13.000,3,0,1,0,0,9.450,0.000,26.850,0.000,0.000,117.550,0.000,0.000,0,0,1,0,0,0,2.246,3.240,2.565,2,1
70,64,98.000,1,31,0,1,1,26.150,84.000,0.000,11.250,45.450,1805.100,5850.250,720.000,1,1,0,1,1,0,3.264,4.431,4.585,4,0
62,52,195.000,1,23,0,1,1,23.150,36.750,0.000,36.000,34.300,1420.950,2308.250,2205.000,0,0,0,0,1,0,3.142,3.604,5.273,3,1
7,35,47.000,1,14,0,0,0,5.200,0.000,0.000,0.000,0.000,46.900,0.000,0.000,0,0,0,0,0,0,1.649,3.240,3.850,1,1
56,47,65.000,2,22,0,1,1,12.400,48.750,0.000,36.500,58.400,744.450,2695.950,2070.000,1,1,0,1,1,0,2.518,3.887,4.174,4,0
50,50,150.000,5,5,1,1,0,19.300,0.000,33.400,50.750,0.000,930.800,0.000,2585.000,1,0,1,0,0,1,2.960,3.240,5.011,2,1
57,39,106.000,5,8,1,1,1,9.050,24.250,41.850,12.250,39.600,568.150,1486.350,740.000,0,1,0,1,1,0,2.203,3.188,4.663,3,0
2,40,51.000,4,14,0,0,0,4.250,0.000,0.000,0.000,0.000,6.800,0.000,0.000,1,0,1,0,0,1,1.447,3.240,3.932,1,0
40,38,96.000,4,0,0,0,0,9.300,0.000,0.000,0.000,0.000,316.050,0.000,0.000,0,0,0,0,0,0,2.230,3.240,4.564,1,0
6,43,33.000,5,7,0,1,1,4.250,0.000,0.000,16.250,26.750,30.000,0.000,85.000,0,1,0,1,1,0,1.447,3.240,3.497,3,0
23,25,38.000,2,1,1,1,0,13.900,23.250,28.500,3.750,0.000,255.000,574.850,65.000,0,1,0,1,0,0,2.632,3.146,3.638,3,0
11,32,125.000,4,5,1,1,1,3.800,19.250,61.450,19.000,58.250,31.750,233.400,200.000,1,1,1,1,1,1,1.335,2.958,4.828,4,1
29,37,145.000,5,0,1,1,1,8.600,24.000,41.150,17.750,28.000,241.450,713.450,495.000,1,1,1,1,1,0,2.152,3.178,4.977,4,0
42,44,99.000,2,21,0,1,0,22.050,34.750,0.000,9.750,0.000,841.550,1501.550,395.000,0,0,0,1,1,0,3.093,3.548,4.595,3,0
20,34,22.000,4,0,1,1,1,4.850,18.250,35.050,34.750,31.650,75.450,338.550,635.000,0,1,1,1,1,1,1.579,2.904,3.091,4,0
72,60,31.000,1,38,0,1,0,32.250,0.000,0.000,33.500,0.000,2349.250,0.000,2385.000,0,0,0,0,0,0,3.474,3.240,3.434,2,0
2,36,25.000,1,6,1,1,1,1.900,15.750,28.700,5.000,24.150,3.600,23.050,5.000,0,1,0,1,1,0,0.642,2.757,3.219,3,0
46,25,57.000,5,0,1,1,1,20.250,21.250,39.400,9.750,28.350,923.950,968.950,445.000,0,0,1,0,1,1,3.008,3.056,4.043,1,0
39,51,41.000,5,20,1,1,1,12.100,20.500,54.300,9.750,35.350,492.800,910.250,330.000,1,1,1,1,1,1,2.493,3.020,3.714,4,0
24,25,20.000,3,1,1,0,0,8.150,0.000,27.950,0.000,0.000,209.350,0.000,0.000,0,0,1,0,0,0,2.098,3.240,2.996,2,1
59,43,101.000,2,22,0,1,0,13.650,0.000,0.000,20.750,0.000,817.650,0.000,1195.000,0,0,0,0,1,0,2.614,3.240,4.615,2,0
65,37,56.000,2,15,0,1,0,10.250,0.000,0.000,10.750,0.000,681.950,0.000,655.000,0,0,0,0,0,0,2.327,3.240,4.025,2,0
50,27,22.000,2,5,0,1,0,17.200,0.000,0.000,13.250,0.000,893.300,0.000,750.000,0,0,0,0,0,0,2.845,3.240,3.091,1,0
57,37,108.000,4,9,1,1,0,21.800,27.250,42.000,8.000,0.000,1292.000,1492.100,425.000,0,0,1,1,1,0,3.082,3.305,4.682,3,0
61,48,115.000,4,20,1,1,1,12.800,16.000,39.200,17.250,31.000,785.700,953.950,1015.000,1,1,1,0,1,1,2.549,2.773,4.745,4,0
34,54,53.000,4,22,1,1,1,8.100,18.000,45.600,56.500,66.900,225.400,588.400,1880.000,1,1,1,0,0,1,2.092,2.890,3.970,4,0
38,53,242.000,4,12,1,1,1,8.950,37.750,54.100,28.500,50.750,396.350,1556.400,1020.000,1,1,0,1,1,1,2.192,3.631,5.489,4,0
3,24,20.000,2,3,0,1,0,3.350,22.500,0.000,9.250,0.000,7.550,49.550,15.000,1,0,1,1,1,0,1.209,3.114,2.996,3,0
4,47,123.000,4,11,1,1,0,2.500,0.000,25.300,13.750,0.000,9.250,0.000,40.000,0,0,1,0,0,1,0.916,3.240,4.812,1,0
15,35,34.000,1,12,0,0,0,3.950,0.000,0.000,0.000,0.000,47.950,0.000,0.000,0,0,0,0,0,0,1.374,3.240,3.526,1,0
25,29,31.000,4,3,1,0,0,12.950,0.000,33.050,0.000,0.000,348.900,0.000,0.000,0,0,1,0,0,1,2.561,3.240,3.434,2,1
21,44,47.000,1,12,0,1,0,7.050,0.000,0.000,14.500,0.000,182.300,0.000,285.000,0,0,0,1,1,0,1.953,3.240,3.850,3,0
50,37,48.000,3,8,0,1,0,12.900,27.750,0.000,8.750,0.000,669.750,1445.150,445.000,0,0,0,1,1,0,2.557,3.323,3.871,3,0
65,64,13.000,2,5,0,1,0,14.600,33.000,0.000,15.750,0.000,921.700,1990.200,930.000,0,0,0,1,1,0,2.681,3.497,2.565,3,0
59,52,78.000,1,25,0,0,0,18.600,0.000,0.000,0.000,0.000,1179.050,0.000,0.000,0,0,0,0,0,0,2.923,3.240,4.357,1,0
29,26,34.000,1,7,0,1,0,6.500,0.000,0.000,16.000,0.000,198.700,0.000,490.000,0,0,0,1,0,0,1.872,3.240,3.526,3,0
60,46,81.000,5,9,1,1,0,17.450,0.000,39.250,10.250,0.000,1067.000,0.000,610.000,0,0,1,0,0,1,2.859,3.240,4.394,2,0
71,45,86.000,2,25,1,1,0,45.050,0.000,33.000,35.000,0.000,3235.900,0.000,2495.000,0,0,1,0,0,0,3.808,3.240,4.454,2,0
38,27,26.000,4,2,1,1,1,12.200,0.000,38.750,9.250,28.050,477.500,0.000,365.000,1,1,1,1,0,1,2.501,3.240,3.258,4,1
16,34,51.000,2,8,0,1,0,4.700,0.000,0.000,16.500,0.000,61.500,0.000,260.000,0,0,0,0,0,0,1.548,3.240,3.932,1,0
7,31,59.000,3,10,1,0,0,2.450,0.000,29.800,0.000,0.000,16.350,0.000,0.000,1,0,0,1,0,1,0.896,3.240,4.078,1,0
59,53,112.000,4,16,1,0,1,21.100,0.000,38.550,0.000,25.300,1236.300,0.000,0.000,0,0,1,0,0,1,3.049,3.240,4.718,2,1
22,56,57.000,4,28,1,1,1,6.200,18.250,36.650,10.500,28.800,135.200,417.550,250.000,1,1,1,1,1,0,1.825,2.904,4.043,4,0
18,48,41.000,1,2,0,1,0,4.350,13.000,0.000,8.000,0.000,59.150,220.950,135.000,0,0,0,1,0,0,1.470,2.565,3.714,1,0
64,46,168.000,2,26,1,1,1,14.200,71.000,73.800,38.750,62.450,928.800,4667.750,2460.000,1,1,1,1,1,1,2.653,4.263,5.124,4,0
7,33,29.000,4,4,1,0,0,4.650,0.000,28.350,0.000,0.000,35.450,0.000,0.000,0,0,1,0,0,1,1.537,3.240,3.367,1,1
