ID,温度,圧力,電流,電圧,外気温,速度,砂条件,鋳型条件,スイッチ1,スイッチ2,スイッチ3,スイッチ4,判定
96,420,25,1,175,9,0,"A","B","ON","OFF","OFF","ON","OK"
97,807,41,41,336,10,10,"B","D","ON","ON","OFF","OFF","OK"
98,644,45,4,268,9,12,"B","B","ON","ON","OFF","ON","OK"
99,749,55,1,0,0,8,"B","C","ON","ON","OFF","ON","OK"
100,387,19,3,299,1,1,"C","B","OFF","ON","OFF","ON","OK"
101,375,19,0,0,14,0,"A","B","ON","OFF","ON","ON","NG"
102,423,33,0,176,7,8,"B","B","ON","ON","ON","OFF","NG"
103,489,40,4,203,10,7,"B","C","ON","ON","OFF","ON","OK"
104,587,42,1,1440,4,17,"B","C","ON","ON","OFF","ON","OK"
105,393,20,5,0,2,0,"A","B","ON","OFF","OFF","ON","OK"
106,313,32,32,130,2,6,"C","B","OFF","ON","OFF","ON","OK"
107,591,34,1,246,4,6,"B","C","ON","ON","OFF","ON","OK"
108,443,36,2,184,4,8,"B","C","ON","ON","OFF","ON","OK"
109,523,18,4,217,6,2,"A","B","ON","OFF","OFF","ON","OK"
110,307,18,3,127,5,2,"C","A","OFF","ON","OFF","ON","OK"
111,506,41,4,210,0,11,"B","C","ON","ON","OFF","ON","OK"
112,810,32,1,337,9,6,"B","C","ON","ON","OFF","ON","OK"
113,220,24,1,91,7,1,"A","A","ON","OFF","OFF","ON","NG"
114,906,45,2,377,10,8,"B","D","ON","ON","ON","ON","OK"
115,451,36,4,187,11,4,"B","B","ON","ON","OFF","ON","OK"
116,411,20,3,0,0,2,"C","B","OFF","ON","OFF","ON","OK"
117,455,35,1,614,2,8,"B","C","ON","ON","OFF","ON","OK"
118,553,35,0,230,2,6,"B","B","ON","ON","ON","OFF","NG"
119,147,23,1,70,7,4,"C","A","OFF","ON","OFF","ON","NG"
120,349,27,5,145,3,3,"B","B","ON","ON","OFF","OFF","OK"
121,679,37,8,262,22,7,"B","C","ON","ON","OFF","OFF","OK"
122,684,53,5,285,2,10,"B","C","ON","ON","OFF","OFF","OK"
123,329,23,8,308,0,3,"B","B","ON","ON","OFF","ON","OK"
124,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
125,549,35,35,228,6,10,"B","C","ON","ON","OFF","OFF","OK"
126,429,33,3,178,10,6,"B","B","ON","ON","OFF","ON","OK"
127,521,32,1,217,6,8,"B","B","ON","ON","OFF","ON","OK"
128,269,28,28,112,5,5,"B","B","ON","ON","OFF","OFF","OK"
129,650,38,38,0,5,6,"A","C","ON","OFF","OFF","ON","OK"
130,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
131,388,29,29,493,8,3,"B","B","ON","ON","OFF","ON","OK"
132,147,23,1,70,7,4,"C","A","OFF","ON","OFF","ON","NG"
133,264,19,2,494,6,0,"C","A","OFF","ON","OFF","ON","OK"
134,355,24,4,0,8,4,"B","B","ON","ON","OFF","ON","OK"
135,447,42,6,186,7,4,"B","B","ON","ON","OFF","OFF","OK"
136,409,23,23,170,6,3,"B","B","ON","ON","OFF","ON","OK"
137,541,26,1,1335,2,6,"A","B","ON","OFF","OFF","ON","OK"
138,550,23,7,0,6,4,"C","B","OFF","ON","OFF","ON","OK"
139,510,42,0,212,1,5,"B","B","ON","ON","ON","ON","NG"
140,834,44,2,347,8,10,"B","D","ON","ON","ON","ON","OK"
141,459,30,7,0,26,10,"B","B","ON","ON","OFF","OFF","OK"
142,644,45,4,268,9,12,"B","B","ON","ON","OFF","ON","OK"
143,422,27,0,175,9,9,"A","B","ON","OFF","ON","ON","NG"
144,454,29,2,189,12,3,"B","B","ON","ON","OFF","ON","OK"
145,292,29,1,121,18,5,"A","B","ON","OFF","OFF","ON","OK"
146,268,26,26,111,4,0,"B","A","ON","ON","OFF","OFF","OK"
147,420,25,1,175,9,0,"A","B","ON","OFF","OFF","ON","OK"
148,429,43,6,178,12,9,"B","B","ON","ON","OFF","ON","NG"
149,479,41,4,197,6,11,"B","B","ON","ON","OFF","OFF","OK"
150,399,27,27,0,3,7,"B","B","ON","ON","OFF","OFF","OK"
151,195,18,1,81,7,2,"A","A","ON","OFF","ON","ON","NG"
152,405,31,4,168,10,1,"B","B","ON","ON","OFF","ON","OK"
153,442,35,1,184,3,4,"B","B","ON","ON","OFF","ON","OK"
154,451,36,4,187,11,4,"B","B","ON","ON","OFF","ON","OK"
155,644,42,1,268,6,5,"B","C","ON","ON","OFF","ON","OK"
156,380,33,5,0,9,8,"C","B","OFF","ON","OFF","ON","OK"
157,180,23,3,684,12,1,"B","A","ON","ON","OFF","ON","NG"
158,473,47,27,197,5,5,"B","C","ON","ON","OFF","ON","OK"
159,602,63,1,250,4,14,"B","B","ON","ON","OFF","ON","OK"
160,264,19,2,494,6,0,"C","A","OFF","ON","OFF","ON","OK"
161,370,26,2,154,1,6,"B","B","ON","ON","OFF","ON","OK"
162,444,43,43,162,4,10,"A","B","ON","OFF","ON","OFF","OK"
163,521,47,2,217,6,8,"B","C","ON","ON","OFF","ON","OK"
164,674,45,1,467,4,7,"B","C","ON","ON","OFF","ON","OK"
165,287,27,3,119,8,5,"C","A","OFF","ON","OFF","OFF","OK"
166,665,42,3,277,5,5,"B","B","ON","ON","OFF","OFF","OK"
167,158,28,1,65,12,5,"B","A","ON","ON","OFF","ON","NG"
168,400,27,5,431,3,6,"B","B","ON","ON","OFF","OFF","OK"
169,643,50,2,0,5,6,"B","C","ON","ON","OFF","ON","OK"
170,329,23,8,308,0,3,"B","B","ON","ON","OFF","ON","OK"
171,668,50,2,278,6,9,"B","C","ON","ON","OFF","ON","OK"
172,269,24,2,112,3,0,"A","A","ON","OFF","OFF","ON","OK"
173,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
174,467,41,1,194,4,5,"B","B","ON","ON","OFF","ON","OK"
175,388,29,29,493,8,3,"B","B","ON","ON","OFF","ON","OK"
176,588,35,1,0,6,5,"B","C","ON","ON","OFF","ON","OK"
177,462,30,3,1487,12,3,"B","B","ON","ON","OFF","ON","OK"
178,397,19,4,624,4,0,"C","B","OFF","ON","OFF","ON","OK"
179,462,30,3,1487,12,3,"B","B","ON","ON","OFF","ON","OK"
180,256,25,22,106,14,4,"B","A","ON","ON","OFF","ON","NG"
181,383,24,3,159,4,3,"B","B","ON","ON","OFF","ON","OK"
182,447,33,4,0,3,10,"C","B","OFF","ON","OFF","OFF","OK"
183,276,32,2,277,4,5,"B","B","ON","ON","OFF","ON","OK"
184,498,38,6,207,6,13,"B","B","ON","ON","OFF","ON","OK"
185,367,33,33,152,2,4,"B","B","ON","ON","OFF","OFF","OK"
186,644,36,36,268,13,5,"B","C","ON","ON","OFF","ON","OK"
187,554,29,2,0,4,4,"B","B","ON","ON","OFF","ON","OK"
188,473,32,4,179,4,5,"B","B","ON","ON","OFF","OFF","OK"
189,425,25,3,0,10,6,"C","B","OFF","ON","OFF","ON","OK"
190,473,32,4,179,4,5,"B","B","ON","ON","OFF","OFF","OK"
191,546,33,6,227,9,4,"B","B","ON","ON","OFF","OFF","OK"
192,237,22,2,98,1,2,"A","A","ON","OFF","OFF","ON","OK"
193,443,36,2,184,4,8,"B","C","ON","ON","OFF","ON","OK"
194,355,24,4,0,8,4,"B","B","ON","ON","OFF","ON","OK"
195,321,26,26,295,7,4,"A","B","ON","OFF","OFF","OFF","OK"
196,375,19,0,0,14,0,"A","B","ON","OFF","ON","ON","NG"
197,327,20,3,0,6,0,"A","B","ON","OFF","OFF","ON","OK"
198,423,27,27,380,6,4,"C","B","OFF","ON","OFF","OFF","OK"
199,383,25,2,159,2,4,"B","B","ON","ON","OFF","ON","OK"
200,429,43,6,178,12,9,"B","B","ON","ON","OFF","ON","NG"
201,401,36,3,167,3,4,"B","B","ON","ON","OFF","ON","OK"
202,408,29,1,170,1,2,"C","A","OFF","ON","OFF","ON","OK"
203,442,24,5,0,5,2,"B","B","ON","ON","OFF","OFF","OK"
204,601,54,34,460,11,10,"B","C","ON","ON","OFF","ON","OK"
205,554,29,2,0,4,4,"B","B","ON","ON","OFF","ON","OK"
206,367,33,33,152,2,4,"B","B","ON","ON","OFF","OFF","OK"
207,697,45,3,0,0,13,"B","C","ON","ON","OFF","OFF","OK"
208,923,55,3,995,1,7,"B","D","ON","ON","OFF","ON","OK"
209,147,23,1,70,7,4,"C","A","OFF","ON","OFF","ON","NG"
210,313,32,32,130,2,6,"C","B","OFF","ON","OFF","ON","OK"
211,485,39,4,202,6,4,"B","C","ON","ON","OFF","ON","OK"
212,271,30,2,112,18,10,"C","B","OFF","ON","OFF","ON","OK"
213,506,18,2,210,6,2,"A","C","ON","OFF","OFF","ON","OK"
214,912,65,1,380,1,11,"B","D","ON","ON","OFF","ON","OK"
215,670,44,2,279,2,7,"A","C","ON","OFF","OFF","ON","OK"
216,475,24,0,0,1,1,"B","B","ON","ON","ON","OFF","NG"
217,448,40,1,646,1,5,"B","C","ON","ON","OFF","ON","OK"
218,481,32,3,285,4,6,"B","B","ON","ON","OFF","OFF","OK"
219,211,34,1,509,13,7,"B","B","ON","ON","OFF","ON","NG"
220,323,22,8,134,9,3,"B","B","ON","ON","OFF","OFF","OK"
221,405,47,3,168,12,9,"B","B","ON","ON","OFF","ON","OK"
222,665,42,3,277,5,5,"B","B","ON","ON","OFF","OFF","OK"
223,412,30,0,171,0,3,"B","B","ON","ON","ON","ON","NG"
224,399,27,27,0,3,7,"B","B","ON","ON","OFF","OFF","OK"
225,498,38,6,207,6,13,"B","B","ON","ON","OFF","ON","OK"
226,220,24,1,91,7,1,"A","A","ON","OFF","OFF","ON","NG"
227,425,23,1,1564,4,4,"B","C","ON","ON","OFF","ON","OK"
228,479,47,5,446,3,8,"C","B","OFF","ON","OFF","OFF","OK"
229,383,25,2,159,2,4,"B","B","ON","ON","OFF","ON","OK"
230,476,34,0,366,4,7,"B","B","ON","ON","ON","OFF","NG"
231,923,55,3,995,1,7,"B","D","ON","ON","OFF","ON","OK"
232,368,25,7,153,4,5,"B","B","ON","ON","OFF","ON","OK"
233,365,30,2,152,4,6,"B","B","ON","ON","ON","ON","OK"
234,271,25,22,0,16,5,"A","A","ON","OFF","OFF","ON","NG"
235,375,35,35,156,4,4,"C","B","OFF","ON","OFF","OFF","OK"
236,466,20,5,194,7,0,"C","B","OFF","ON","OFF","ON","OK"
237,208,23,3,86,7,3,"C","A","OFF","ON","OFF","ON","OK"
238,425,31,5,177,1,9,"B","B","ON","ON","OFF","ON","OK"
239,343,29,29,142,6,4,"C","B","OFF","ON","OFF","OFF","OK"
240,582,45,7,242,2,6,"B","C","ON","ON","OFF","ON","OK"
241,158,28,1,65,12,5,"B","A","ON","ON","OFF","ON","NG"
242,569,27,1,835,6,8,"C","B","OFF","ON","OFF","ON","OK"
243,789,45,2,328,1,7,"B","C","ON","ON","OFF","ON","OK"
244,769,63,3,320,10,17,"B","C","ON","ON","OFF","OFF","OK"
245,391,23,7,162,5,5,"B","B","ON","ON","OFF","OFF","OK"
246,269,21,3,112,12,0,"A","A","ON","OFF","OFF","ON","NG"
247,397,36,3,610,6,14,"B","B","ON","ON","OFF","ON","OK"
248,452,25,2,188,3,4,"B","B","ON","ON","OFF","ON","OK"
249,164,28,25,68,6,4,"C","A","OFF","ON","OFF","ON","NG"
250,490,36,2,0,11,8,"B","B","ON","ON","OFF","OFF","OK"
251,349,27,3,145,2,4,"B","B","ON","ON","OFF","OFF","OK"
252,447,20,5,186,5,0,"A","B","ON","OFF","OFF","ON","OK"
253,292,29,1,121,18,5,"A","B","ON","OFF","OFF","ON","OK"
254,391,23,7,162,5,5,"B","B","ON","ON","OFF","OFF","OK"
255,194,24,1,80,14,2,"B","A","ON","ON","ON","ON","NG"
256,277,27,2,681,3,6,"A","A","ON","OFF","OFF","ON","OK"
257,402,31,31,167,10,6,"B","B","ON","ON","OFF","OFF","OK"
258,384,53,3,160,13,9,"B","B","ON","ON","OFF","ON","OK"
259,368,25,7,153,4,5,"B","B","ON","ON","OFF","ON","OK"
260,378,29,2,587,4,4,"B","B","ON","ON","OFF","ON","OK"
261,178,22,19,74,9,0,"A","A","ON","OFF","OFF","OFF","NG"
262,375,37,37,329,10,11,"B","C","ON","ON","OFF","ON","OK"
263,194,24,1,80,14,2,"B","A","ON","ON","ON","ON","NG"
264,471,40,1,1346,13,16,"A","B","ON","OFF","OFF","ON","OK"
265,674,45,1,467,4,7,"B","C","ON","ON","OFF","ON","OK"
266,418,50,30,174,7,11,"B","B","ON","ON","OFF","ON","OK"
267,184,19,5,76,4,0,"A","A","ON","OFF","ON","ON","NG"
268,390,21,4,162,10,0,"A","B","ON","OFF","OFF","ON","OK"
269,147,23,1,70,7,4,"C","A","OFF","ON","OFF","ON","NG"
270,353,25,4,147,4,3,"A","B","ON","OFF","OFF","ON","OK"
271,276,32,2,277,4,5,"B","B","ON","ON","OFF","ON","OK"
272,660,34,0,0,7,9,"B","B","ON","ON","ON","ON","NG"
273,409,32,5,170,7,3,"C","B","OFF","ON","OFF","ON","OK"
274,372,18,3,155,1,0,"B","B","ON","ON","OFF","OFF","OK"
275,358,23,2,0,11,3,"B","B","ON","ON","OFF","ON","OK"
276,451,36,4,187,11,4,"B","B","ON","ON","OFF","ON","OK"
277,601,54,34,460,11,10,"B","C","ON","ON","OFF","ON","OK"
278,401,36,3,167,3,4,"B","B","ON","ON","OFF","ON","OK"
279,296,28,3,461,5,6,"A","B","ON","OFF","OFF","ON","OK"
280,264,20,0,110,3,1,"A","B","ON","OFF","ON","ON","NG"
281,436,46,2,181,4,4,"B","B","ON","ON","OFF","ON","OK"
282,814,55,1,339,4,9,"B","C","ON","ON","OFF","ON","OK"
283,459,30,7,0,26,10,"B","B","ON","ON","OFF","OFF","OK"
284,633,36,3,0,8,3,"B","C","ON","ON","OFF","ON","OK"
285,390,21,4,162,10,0,"A","B","ON","OFF","OFF","ON","OK"
286,691,51,31,287,7,8,"C","C","OFF","ON","OFF","ON","OK"
287,392,30,1,163,6,7,"A","B","ON","OFF","OFF","ON","OK"
288,814,55,1,339,4,9,"B","C","ON","ON","OFF","ON","OK"
289,211,34,1,509,13,7,"B","B","ON","ON","OFF","ON","NG"
290,426,26,0,177,6,2,"B","B","ON","ON","ON","OFF","NG"
291,426,26,0,177,6,2,"B","B","ON","ON","ON","OFF","NG"
292,375,35,35,156,4,4,"C","B","OFF","ON","OFF","OFF","OK"
293,279,23,23,644,9,0,"B","A","ON","ON","OFF","ON","OK"
294,679,37,8,262,22,7,"B","C","ON","ON","OFF","OFF","OK"
295,423,33,0,176,7,8,"B","B","ON","ON","ON","OFF","NG"
296,337,33,3,0,3,11,"B","B","ON","ON","OFF","ON","OK"
297,452,25,2,188,3,4,"B","B","ON","ON","OFF","ON","OK"
298,372,18,3,155,1,0,"B","B","ON","ON","OFF","OFF","OK"
299,413,28,3,172,3,6,"B","B","ON","ON","OFF","ON","OK"
300,492,28,0,205,10,4,"A","B","ON","OFF","ON","OFF","NG"
301,408,29,1,170,1,2,"C","A","OFF","ON","OFF","ON","OK"
302,425,25,3,0,10,6,"C","B","OFF","ON","OFF","ON","OK"
303,549,35,35,228,6,10,"B","C","ON","ON","OFF","OFF","OK"
304,405,47,3,168,12,9,"B","B","ON","ON","OFF","ON","OK"
305,276,32,2,277,4,5,"B","B","ON","ON","OFF","ON","OK"
306,488,27,27,203,8,4,"B","C","ON","ON","OFF","OFF","OK"
307,417,31,3,173,4,7,"C","B","OFF","ON","OFF","ON","OK"
308,489,37,4,1285,5,4,"B","C","ON","ON","OFF","ON","OK"
309,397,34,3,165,4,11,"B","B","ON","ON","OFF","ON","OK"
310,665,42,3,277,5,5,"B","B","ON","ON","OFF","OFF","OK"
311,488,27,27,203,8,4,"B","C","ON","ON","OFF","OFF","OK"
312,610,41,1,254,3,7,"B","C","ON","ON","OFF","ON","OK"
313,626,26,5,260,7,0,"B","C","ON","ON","OFF","OFF","OK"
314,351,22,22,463,4,2,"A","B","ON","OFF","OFF","OFF","OK"
315,454,29,2,189,12,3,"B","B","ON","ON","OFF","ON","OK"
316,518,43,2,776,3,6,"B","B","ON","ON","OFF","OFF","OK"
317,317,45,3,0,5,7,"A","B","ON","OFF","OFF","ON","OK"
318,264,20,0,110,3,1,"A","B","ON","OFF","ON","ON","NG"
319,887,58,5,369,7,9,"B","D","ON","ON","OFF","OFF","OK"
320,337,24,2,450,14,0,"B","A","ON","ON","OFF","ON","OK"
321,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
322,466,31,5,53,18,6,"B","B","ON","ON","OFF","ON","OK"
323,371,36,36,262,9,4,"C","B","OFF","ON","OFF","ON","OK"
324,296,28,3,461,5,6,"A","B","ON","OFF","OFF","ON","OK"
325,491,50,0,356,8,9,"B","B","ON","ON","ON","OFF","NG"
326,372,35,35,155,2,3,"B","B","ON","ON","OFF","ON","OK"
327,430,38,4,179,4,5,"C","A","OFF","ON","OFF","ON","OK"
328,437,34,3,182,1,5,"C","B","OFF","ON","OFF","OFF","OK"
329,323,22,8,134,9,3,"B","B","ON","ON","OFF","OFF","OK"
330,456,35,2,190,3,3,"B","B","ON","ON","OFF","ON","OK"
331,423,27,27,380,6,4,"C","B","OFF","ON","OFF","OFF","OK"
332,321,26,26,295,7,4,"A","B","ON","OFF","OFF","OFF","OK"
333,643,50,2,0,5,6,"B","C","ON","ON","OFF","ON","OK"
334,343,28,3,142,2,5,"B","B","ON","ON","OFF","ON","OK"
335,651,49,4,0,12,10,"C","B","OFF","ON","OFF","ON","OK"
336,426,30,5,177,2,8,"B","B","ON","ON","OFF","OFF","OK"
337,650,38,38,270,7,6,"C","C","OFF","ON","OFF","OFF","OK"
338,409,32,5,170,7,3,"C","B","OFF","ON","OFF","ON","OK"
339,447,42,6,186,7,4,"B","B","ON","ON","OFF","OFF","OK"
340,437,39,2,1205,17,5,"B","B","ON","ON","OFF","ON","OK"
341,553,35,0,230,2,6,"B","B","ON","ON","ON","OFF","NG"
342,618,37,5,0,3,6,"C","B","OFF","ON","OFF","OFF","OK"
343,643,55,35,0,15,6,"B","C","ON","ON","OFF","ON","OK"
344,400,31,31,166,8,6,"B","B","ON","ON","OFF","ON","OK"
345,367,33,33,152,2,4,"B","B","ON","ON","OFF","OFF","OK"
346,437,39,2,1205,17,5,"B","B","ON","ON","OFF","ON","OK"
347,414,20,5,596,13,1,"A","B","ON","OFF","OFF","OFF","OK"
348,336,29,29,140,10,7,"B","B","ON","ON","OFF","ON","OK"
349,405,33,3,1121,7,4,"B","B","ON","ON","OFF","ON","OK"
350,651,44,44,271,3,6,"B","C","ON","ON","OFF","OFF","OK"
351,435,27,3,1044,2,0,"B","B","ON","ON","OFF","ON","OK"
352,409,18,6,0,11,0,"C","B","OFF","ON","OFF","OFF","OK"
353,644,36,36,268,13,5,"B","C","ON","ON","OFF","ON","OK"
354,789,45,2,328,1,7,"B","C","ON","ON","OFF","ON","OK"
355,409,23,23,170,6,3,"B","B","ON","ON","OFF","ON","OK"
356,367,27,27,152,8,4,"B","B","ON","ON","OFF","ON","OK"
357,660,55,3,275,4,7,"B","C","ON","ON","OFF","ON","OK"
358,451,22,3,102,5,3,"A","B","ON","OFF","OFF","ON","OK"
359,349,27,5,145,3,3,"B","B","ON","ON","OFF","OFF","OK"
360,441,37,1,566,3,8,"B","C","ON","ON","OFF","OFF","OK"
361,343,28,3,142,2,5,"B","B","ON","ON","OFF","ON","OK"
362,599,46,3,0,1,16,"B","C","ON","ON","OFF","ON","OK"
363,426,30,5,177,2,8,"B","B","ON","ON","OFF","OFF","OK"
364,459,30,7,0,26,10,"B","B","ON","ON","OFF","OFF","OK"
365,407,21,0,118,1,0,"A","B","ON","OFF","ON","ON","NG"
366,294,20,20,122,3,2,"A","A","ON","OFF","OFF","OFF","OK"
367,194,29,1,151,9,6,"B","A","ON","ON","OFF","ON","NG"
368,523,44,2,1921,5,5,"B","C","ON","ON","OFF","ON","OK"
369,456,44,3,0,5,6,"B","C","ON","ON","OFF","ON","OK"
370,660,55,3,275,4,7,"B","C","ON","ON","OFF","ON","OK"
371,807,41,41,336,10,10,"B","D","ON","ON","OFF","OFF","OK"
372,271,25,22,0,16,5,"A","A","ON","OFF","OFF","ON","NG"
373,887,58,5,369,7,9,"B","D","ON","ON","OFF","OFF","OK"
374,452,25,2,188,3,4,"B","B","ON","ON","OFF","ON","OK"
375,427,42,6,1341,1,12,"B","B","ON","ON","OFF","ON","OK"
376,378,29,2,587,4,4,"B","B","ON","ON","OFF","ON","OK"
377,679,28,7,282,11,4,"C","C","OFF","ON","OFF","ON","OK"
378,402,35,35,0,12,8,"B","B","ON","ON","OFF","ON","OK"
379,178,22,19,74,9,0,"A","A","ON","OFF","OFF","OFF","NG"
