CUSTID,小計_Sum,アクセサリ_小計_Sum,インナーウエア_小計_Sum,バッグ_小計_Sum,化粧品_小計_Sum,婦人服_小計_Sum,靴_小計_Sum,食品_小計_Sum
100067,289303,0,80408,12965,5000,32210,87485,71235
100070,56407,0,0,0,0,8657,19750,28000
100071,100770,0,25560,0,0,7960,0,67250
100074,390177,13534,93712,18595,115327,138106,5957,4946
100075,65391,0,19300,0,23052,16759,3280,3000
100076,116362,15610,3210,54932,9159,3880,4880,24691
100077,103939,18268,4375,0,23520,37516,2682,17578
100078,114465,9220,8970,0,62040,17660,16575,0
100081,83916,0,7078,0,11740,61993,3105,0
100082,100620,0,42620,25260,13400,14940,4400,0
100094,24842,1715,5835,7702,3889,1067,4634,0
100095,305261,1355,13653,7850,45495,180008,53960,2940
100098,64174,10200,0,0,27944,6460,5940,13630
100100,103040,0,0,0,41055,3980,46885,11120
100101,393833,65932,11558,20976,35850,144216,58420,56881
100102,62841,14490,0,6332,23958,0,7132,10929
100103,42410,0,15735,1035,8334,6250,6556,4500
100106,130349,13756,30579,8475,27016,11675,37573,1275
100107,28003,0,0,0,19368,8635,0,0
100111,217294,0,53646,93518,22101,46049,1980,0
100112,43392,0,2205,0,12625,28562,0,0
100113,244024,0,39441,21105,38899,24461,49993,70125
100116,113120,0,113120,0,0,0,0,0
100117,41709,13175,1666,0,9956,12492,4420,0
100118,105720,0,70143,7667,15500,3920,8490,0
100120,46832,0,0,0,20424,0,16348,10060
100122,278017,6980,68221,7193,132306,41357,7200,14760
100126,123558,13031,0,0,46103,42232,7796,14396
100127,290637,18690,76479,52276,74843,19037,12546,36766
100130,196778,0,28698,33384,56822,69708,1800,6366
100135,78007,0,3231,31502,25986,4897,9310,3081
100137,62196,13536,7014,1650,11150,12922,10145,5779
100138,110772,0,0,38602,30360,10430,10380,21000
100144,34500,0,0,0,0,27420,0,7080
100145,94149,0,32486,0,1121,32802,16400,11340
100146,70150,2850,29364,0,16383,3186,9975,8392
100147,24395,0,13403,0,10992,0,0,0
100149,32460,0,0,0,0,32460,0,0
100150,123430,0,0,83412,40018,0,0,0
100151,31924,0,3500,6912,21512,0,0,0
100152,147161,2980,4649,0,29873,47555,10724,51380
100154,128338,0,70800,3500,24538,5200,11775,12525
100160,30926,0,7900,1100,18121,0,2610,1195
100161,70059,0,9106,0,4680,29408,10890,15975
100162,70009,2972,19418,11960,0,31297,0,4362
100163,202771,2585,136685,1395,18814,12640,11612,19040
100165,434944,27258,60548,63622,90839,76043,26098,90536
100167,53880,0,7990,0,27875,0,14175,3840
100168,195640,0,31941,9328,81906,55992,12508,3965
100169,44047,1900,3850,0,18699,5418,3130,11050
100170,162392,0,62435,41010,9726,17242,22740,9239
100171,249613,0,13199,9471,27934,185781,2964,10264
100176,109100,0,17204,19404,11622,30870,15600,14400
100177,339374,174300,0,10840,87160,42740,5934,18400
100181,533515,129960,79613,0,256475,25557,12540,29370
100182,11057,0,1359,1564,6253,1881,0,0
100184,601002,24136,82995,77077,172304,78844,70744,94902
100185,24830,0,0,0,24830,0,0,0
100186,260244,5230,29193,6800,80222,95192,37308,6299
100188,23140,0,4000,0,1280,9500,8360,0
100190,30421,5880,15000,9541,0,0,0,0
100192,208118,5000,70994,0,10960,10636,0,110528
100193,115987,24800,55882,0,13200,15505,6600,0
100194,29196,0,0,0,19091,3780,5130,1195
100196,124679,0,25430,8380,8000,20894,1700,60275
100197,24302,0,0,7350,15012,0,1940,0
100198,170346,0,11670,107156,0,41940,3780,5800
100199,123126,0,9831,0,11190,102105,0,0
100200,106910,12920,4874,4550,39266,1080,32540,11680
100201,172584,1490,4101,20693,52990,1500,78660,13150
100204,183778,105162,64866,0,0,13750,0,0
100206,83618,23044,19140,7354,0,31740,2340,0
100208,42825,1490,0,0,2700,6415,13420,18800
100209,47609,1486,16200,2150,0,18532,5941,3300
100211,38154,0,2930,6362,16062,0,12800,0
100212,66272,0,17656,0,43796,0,3240,1580
100213,28836,0,0,4080,17248,3138,1980,2390
100217,210146,1538,39279,17895,26063,82430,12695,30246
100218,219366,0,20958,0,92509,88009,15599,2291
100220,85454,0,0,11460,55584,0,18410,0
100221,65862,0,3800,0,58185,0,0,3877
100223,43523,8509,5900,1700,4710,22704,0,0
100224,91549,0,0,18280,2580,45129,7740,17820
100226,174349,11875,33393,15321,42908,45397,10673,14782
100227,102162,0,6340,1725,13800,0,78317,1980
100228,94264,0,14368,0,21022,34369,18305,6200
100230,88205,5880,16405,20572,37728,6280,0,1340
100231,131542,0,41809,9255,49498,5030,25950,0
100233,60300,0,6940,0,3960,49400,0,0
100234,453930,1320,41224,141161,13772,78584,30899,146970
100238,126964,0,35684,1520,12501,64399,12860,0
100239,276933,0,27852,67308,110969,44198,8214,18392
100240,353202,0,43076,2686,0,307440,0,0
100241,58364,0,2214,0,0,38732,13818,3600
100242,62570,0,0,0,43590,13280,5700,0
100243,329388,1960,93116,58375,55845,83607,32985,3500
100244,36447,0,0,36447,0,0,0,0
100248,30154,0,18777,0,2406,7613,0,1358
100249,197672,0,0,0,10182,62000,24410,101080
100251,42360,0,11870,0,21840,1200,6000,1450
100252,55279,0,0,40530,10769,3980,0,0
100253,239015,0,81350,0,6000,145415,6250,0
100255,16030,0,0,0,14440,1590,0,0
100258,41880,0,3342,9120,4020,10688,0,14710
100261,152821,0,2100,2980,6999,105614,24630,10498
100263,70708,0,24938,0,25110,18000,2660,0
100265,128769,0,22067,20813,62892,8475,0,14522
100266,117769,12986,3110,0,15417,14306,5570,66380
100268,229604,4073,71351,20080,53030,35360,37240,8470
100270,32009,3875,15652,1440,6102,3760,1180,0
100272,37350,0,0,8730,16080,12540,0,0
100273,171745,0,129530,0,0,1590,36825,3800
100278,66478,0,6857,31790,0,7296,0,20535
100280,224946,0,43682,8910,62476,74820,21600,13458
100281,106282,3402,8374,6276,35972,20795,15020,16443
100282,95942,0,0,8980,40022,32860,4370,9710
100285,47533,0,2400,0,15712,9756,17705,1960
100287,93008,0,3508,3034,26450,44516,14380,1120
100290,151674,0,0,0,136350,10134,5190,0
100293,798606,0,20500,9310,142746,590200,35850,0
100296,30738,0,18960,0,3200,3880,0,4698
100297,154098,0,6390,1200,65765,34935,9249,36559
100299,69695,0,51540,0,5765,0,8630,3760
100301,67525,0,0,18804,23241,12920,12560,0
100302,164365,6917,0,0,40522,69294,13052,34580
100303,264345,42737,39274,49060,80145,9697,32908,10524
100304,107603,5996,18850,20083,19131,4190,32001,7352
100308,53572,0,0,26950,0,26622,0,0
100309,42140,0,0,0,13520,28620,0,0
100310,99730,0,52142,0,13928,27660,6000,0
100311,113334,19672,0,56310,14020,23332,0,0
100312,135065,0,0,4950,30275,57825,17770,24245
100313,68378,31274,4490,4450,2560,2920,3184,19500
100314,25943,0,23593,0,0,2350,0,0
100318,32500,0,0,0,0,0,0,32500
100321,89145,13810,2880,2880,12675,15470,41430,0
100322,219678,24480,0,14110,44100,24580,112408,0
100323,71108,3402,4232,6474,24256,9170,11624,11950
100326,52742,4158,3681,0,10560,22201,12142,0
100327,25547,0,0,0,18122,0,5980,1445
100328,85268,37500,18338,4650,0,24780,0,0
100329,42487,0,0,4829,13321,3154,14885,6298
100331,208954,14342,38351,25703,48023,68411,1169,12955
100332,72320,0,0,0,0,63160,9160,0
100334,43345,0,10191,5852,0,11042,1200,15060
100335,146114,44640,5340,0,0,0,7080,89054
100337,324755,0,176474,7200,38360,101021,0,1700
100340,54685,0,1045,7262,19901,0,14365,12112
100342,1085980,0,128811,109500,229583,587807,19975,10304
100344,47463,0,0,0,35768,2952,8743,0
100345,114797,4028,10361,12096,51789,25501,8702,2320
100346,136075,4256,7363,4703,18900,100853,0,0
100349,41292,0,1723,0,15890,12368,6616,4695
100353,226618,28460,21865,16396,18365,87776,39820,13936
100355,122852,0,1600,13800,43968,25928,35140,2416
100357,27800,12611,0,3163,0,7806,4220,0
100358,137562,0,0,30200,57196,3980,10546,35640
100360,183928,18439,33867,11340,33629,43402,17059,26192
100361,462591,0,336177,0,89884,20869,4130,11531
100362,86186,0,8055,30100,0,42841,3300,1890
100366,124500,0,0,0,9900,110100,4500,0
100367,40552,0,0,15702,21910,0,2940,0
100368,25280,4322,0,0,1558,19400,0,0
100369,116544,18650,4490,0,49134,8900,9320,26050
100370,221569,14342,3470,45849,82053,41475,34380,0
100371,124023,1076,19731,1160,14364,17412,35508,34772
100372,62233,0,10193,0,35910,16130,0,0
100373,92287,1805,17288,0,18717,37772,3729,12976
100377,58365,0,18775,0,15900,12150,11540,0
100378,50080,0,4800,6300,18000,0,0,20980
100380,180479,45864,27112,9294,21739,51007,9715,15748
100381,64246,0,0,0,1580,39026,5940,17700
100382,156942,18520,3266,35161,31700,9265,31232,27798
100384,50977,0,5846,7296,5328,30207,2300,0
100389,916739,179920,171945,14670,210761,271820,47732,19891
100390,91545,0,0,0,54135,12950,0,24460
100393,74595,19740,22485,0,6000,2680,1190,22500
100395,81425,0,9782,54742,13781,0,3120,0
100396,91959,2180,22812,0,0,66967,0,0
100397,110070,0,10673,1571,40987,19900,19119,17820
100399,151010,2980,36244,64732,20362,9581,12472,4639
100400,259025,38424,73622,29012,74501,15842,16348,11276
100402,57566,0,0,1100,30876,18590,4180,2820
100403,211159,0,0,3640,142140,12320,23289,29770
100405,209726,0,0,0,89426,12780,5040,102480
100406,256740,39020,46270,12050,73819,70186,12040,3355
100408,80836,0,0,0,22918,16472,0,41446
100409,238444,54645,51096,24758,29600,29059,19167,30119
100410,54985,0,12452,3800,14593,1920,22220,0
100415,445158,3680,122905,16745,19771,201591,16497,63969
100416,385430,5160,37802,30121,91043,190491,14638,16175
100417,132905,0,10144,18315,89850,11346,0,3250
100418,198894,3420,12830,5790,0,74410,3544,98900
100419,60958,0,8500,22262,1376,25660,3160,0
100421,31522,0,6750,6642,14680,0,3450,0
100422,102905,9300,5140,17784,4920,30257,20000,15504
100426,195186,6864,64224,11631,24000,68097,15050,5320
100446,39000,0,0,0,8000,31000,0,0
100447,61911,0,0,0,1593,57768,2550,0
100448,68850,6970,2300,1800,22910,19760,15110,0
100449,68850,0,0,10120,22480,1280,6680,28290
100450,37386,0,3890,0,13620,1780,18096,0
100452,148322,28000,4902,0,91970,22450,1000,0
100454,1032557,166128,411584,12494,34142,333791,53353,21065
100456,38762,3402,0,0,0,15700,1080,18580
100459,1036417,152532,134508,21178,61952,174356,486761,5130
100461,262669,20454,40618,39200,79305,39875,26550,16667
100463,52920,6966,0,8800,0,15090,10114,11950
100464,307319,5985,72375,33300,82265,61930,0,51464
100467,30726,0,8500,0,18776,0,3450,0
100468,50681,0,0,35159,0,15522,0,0
100469,50764,0,1260,0,8440,15230,4482,21352
100474,187868,0,1400,3400,136302,9000,35786,1980
100475,548539,47099,76070,5393,201027,69006,14328,135616
100480,53149,0,0,8610,0,44539,0,0
100482,112506,0,11736,0,22950,38212,37784,1824
100484,70422,0,0,8724,12230,0,23710,25758
100486,70900,40326,0,4650,5220,1286,14750,4668
100487,394957,25269,100410,26574,47508,49612,74108,71476
100488,57228,0,0,0,57228,0,0,0
100489,152387,0,50100,0,80587,0,13200,8500
100490,35924,0,0,5390,11442,19092,0,0
100491,25764,0,0,0,25764,0,0,0
100493,71214,0,0,14040,49284,6300,0,1590
100494,172500,3920,19048,30003,39185,48626,5288,26430
100497,223561,3725,106420,4272,75557,10725,15963,6899
100498,51270,0,0,42975,0,8295,0,0
100499,43828,6650,5524,2660,5986,3214,11370,8424
100500,25026,0,0,2016,1020,17820,4170,0
100501,585067,13074,97072,85383,188944,91859,46671,62064
100507,168510,0,7000,29914,94730,29216,2750,4900
100508,107995,0,5750,13065,14647,43600,15097,15836
100510,188129,9202,14126,18562,43980,52800,34820,14639
100511,248550,49675,34290,12461,57479,63510,1540,29595
100513,82619,31461,10268,0,3000,8285,20900,8705
100514,218549,9576,54968,25990,55366,8396,38833,25420
100515,44540,0,3380,0,0,41160,0,0
100522,67660,0,0,0,10250,22440,34970,0
100525,30708,0,3268,0,3495,1550,13120,9275
100526,43800,0,6150,0,0,19050,12600,6000
100527,100227,0,20441,3790,16619,3323,22054,34000
100528,53640,33250,0,0,0,20390,0,0
100529,75249,38342,4831,10100,11176,10800,0,0
100531,140610,0,0,0,11000,115160,7450,7000
100532,151894,2690,8020,11081,31770,47586,23567,27180
100533,237826,0,61565,16255,70813,39379,27637,22177
100534,110085,0,0,6145,3730,61404,11996,26810
100536,66900,0,23400,0,43500,0,0,0
100537,134284,0,0,0,7820,115299,5940,5225
100538,139552,0,12858,2266,6040,104918,13470,0
100542,344510,43174,21318,31274,14829,82681,122734,28500
100544,167478,22020,2900,2880,32012,17260,63838,26568
100545,49736,4480,35075,0,4770,2457,2954,0
100547,422163,0,119240,12805,186205,71733,6800,25380
100548,45954,0,14055,0,7860,24039,0,0
100549,102058,0,0,0,52782,49276,0,0
100550,240026,0,0,58740,79600,33600,10066,58020
100551,61287,4954,5172,9471,15950,1690,24050,0
100554,70200,0,0,38610,19800,7410,4380,0
100555,82595,12380,39699,0,6006,15300,7250,1960
100556,29141,0,0,9150,0,3876,13120,2995
100557,165445,0,0,0,5400,157810,2235,0
100559,58293,0,5581,12670,24947,7970,5425,1700
100561,66200,0,14110,0,18855,17800,15435,0
100564,215086,0,19360,33092,65580,75829,19780,1445
100567,81066,0,6154,3500,45860,8062,10350,7140
100568,60742,0,0,0,44087,2140,9387,5128
100570,214406,0,3040,25092,18118,12571,8760,146825
100571,50543,0,1382,24840,14421,0,9900,0
100572,49310,12308,0,1440,27816,5106,2640,0
100575,270014,23019,143875,39574,19452,20868,4856,18370
100578,31602,1144,2700,4140,10828,9190,3600,0
100579,91080,0,13090,40590,37400,0,0,0
100582,177843,0,80254,24970,15030,44685,1990,10914
100585,572904,10698,25367,19612,371230,73934,37229,34834
100587,1055482,59640,215666,57282,72825,456926,69849,123294
100589,210511,4065,8938,4690,152709,34994,4100,1015
100590,59156,0,0,0,0,30726,28430,0
100592,39706,3000,4279,6800,16019,7828,1780,0
100596,47736,0,2596,0,0,45140,0,0
100600,88709,7360,12150,10213,22330,29506,5650,1500
100601,71688,0,3310,0,37756,8450,16448,5724
100602,32599,0,16517,0,7782,3600,4700,0
100603,42679,0,33085,2622,1610,2082,3280,0
100604,20240,0,1305,3835,5250,3880,0,5970
100607,91968,4470,36197,5386,1000,0,38925,5990
100608,162334,61838,19954,2432,58012,19042,0,1056
100609,44057,10914,0,0,13836,16107,3200,0
100610,241229,0,16156,10170,80756,97099,18388,18660
100614,101438,6138,2759,10440,39804,10238,29000,3059
100615,112695,13030,8250,0,76135,7360,7920,0
100616,39531,6170,2675,0,19376,8310,3000,0
100618,50140,0,0,14000,20590,10100,5450,0
100619,34953,0,0,0,27993,0,0,6960
100622,44575,0,5640,0,11113,9091,18731,0
100623,49738,0,0,11910,16968,0,20860,0
100624,125557,0,2777,4400,13409,65230,39741,0
100626,71479,0,0,11115,20965,31359,8040,0
100627,50263,3875,15931,10760,7635,9108,2954,0
100629,44349,0,8675,0,31714,1980,1980,0
100631,37453,0,3452,1600,14590,15206,2605,0
100632,63060,0,20400,0,19800,0,22860,0
100633,30921,0,0,1480,1235,15426,5100,7680
100637,80750,0,4867,0,18645,50568,6670,0
100638,202955,0,1240,23997,69926,1590,103306,2896
100639,73390,0,0,1466,6964,41225,23735,0
100640,299717,0,61091,48435,14189,160038,9190,6774
100642,197376,33117,27938,11400,27102,85940,3574,8305
100643,41553,7568,3875,7180,0,0,14280,8650
100644,56061,0,2860,2150,47261,0,3790,0
100645,152979,0,10451,138901,0,1377,2250,0
100646,64953,35190,7483,0,14380,0,7900,0
100648,535821,0,25082,180463,189391,94690,28215,17980
100650,77646,0,8680,0,57226,11740,0,0
100653,76582,0,18290,5380,18344,7920,17628,9020
100655,38847,0,0,0,32349,0,2190,4308
100656,29925,10565,8680,1440,0,0,3240,6000
100658,36628,0,2540,1370,26160,0,6558,0
100664,50917,0,11357,16170,1786,5450,1140,15014
100665,41680,0,0,0,0,41680,0,0
100666,36490,0,6220,1885,1188,4000,19940,3257
100667,151943,4312,14256,66045,44820,7130,8130,7250
100670,123943,3850,7750,65840,41003,0,0,5500
100672,244580,4480,52753,0,56248,117360,3564,10175
100677,224985,114560,39800,9621,14500,15416,3478,27610
100682,88583,0,15220,14493,7820,20850,17300,12900
100683,254905,61954,44899,24194,86974,16279,15772,4833
100685,416637,14600,100921,3260,97126,107022,27584,66124
100686,127835,0,0,16860,82935,28040,0,0
100689,282000,0,0,0,44940,237060,0,0
100692,131940,0,45700,0,11700,3828,11257,59455
100694,189109,29449,0,5440,16900,14560,22790,99970
100695,129644,12500,15492,2025,96777,1750,1100,0
100697,92107,15000,3875,0,50764,17058,0,5410
100698,44422,0,13496,0,15750,15176,0,0
100702,24359,0,2878,0,0,18242,0,3239
100703,109089,26910,26919,0,13100,12770,19660,9730
100704,69181,0,11411,0,31790,18420,1200,6360
100705,42623,0,2980,3610,22314,4466,1368,7885
100706,131768,0,0,0,11560,111758,5250,3200
100708,55763,0,5380,6160,24970,7231,12022,0
100709,139193,25145,17117,26580,42486,10342,7260,10263
100711,209634,0,15500,0,13206,89836,49432,41660
100713,566811,0,6277,1480,210682,90770,18864,238738
100715,119648,7676,0,31035,17414,33350,27323,2850
100716,192085,0,22800,0,113665,17260,34000,4360
100719,497797,65620,29562,16460,254876,27690,82989,20600
100720,77445,2649,1900,3232,14571,35184,1200,18709
100722,186450,2500,18232,6000,67551,36200,48617,7350
100725,231427,16894,50560,1885,129253,22472,0,10363
100726,145356,0,20480,22306,33420,7850,44700,16600
100727,34865,0,0,0,11570,5340,12747,5208
100728,23392,0,0,1400,6820,0,4980,10192
100730,18920,0,8560,0,0,7540,0,2820
100731,26767,0,6552,4950,5385,0,1240,8640
100732,32030,0,6200,0,6200,11000,4380,4250
100733,112365,3860,18883,6975,19922,22272,27202,13251
100734,68440,0,16008,2250,13263,14675,1615,20629
100735,239484,0,16800,27360,15728,63410,0,116186
100736,46742,0,2450,28000,8166,0,6080,2046
100737,45360,0,0,0,35160,10200,0,0
100739,27439,0,0,0,12105,9960,3550,1824
100740,255140,0,38435,6100,25280,10980,104000,70345
100741,134384,0,10920,22809,33000,54135,13520,0
100742,57976,0,0,13188,18006,15160,6834,4788
100747,243970,6970,16460,12700,3100,202100,2640,0
100750,285738,72593,52230,44405,0,109322,5858,1330
100751,63510,0,0,0,0,63510,0,0
100752,119249,0,25104,9300,29265,54210,0,1370
100753,199495,0,136480,4756,23520,20299,0,14440
100754,66796,31714,9125,8739,3240,8588,5390,0
100757,216149,33898,79280,0,24855,58928,17388,1800
100758,31695,0,4240,18380,0,9075,0,0
100759,202323,0,1600,6500,23963,162440,5680,2140
100761,53597,0,1689,14850,6116,28312,1350,1280
100762,38340,0,0,0,22180,8100,8060,0
100766,414337,0,0,6900,168470,144567,0,94400
100767,52628,1248,17130,1395,15940,12915,0,4000
100768,228177,2650,47666,1314,150413,14682,7974,3478
100769,99074,0,0,17574,19600,61900,0,0
100774,215796,2980,34245,36117,0,103820,17874,20760
100776,262207,29900,0,0,94824,15483,122000,0
100779,43649,0,0,9300,0,6385,3060,24904
100780,335048,81202,55078,27926,78450,79735,10977,1680
100782,139524,0,3200,0,64360,71964,0,0
100783,163590,0,15064,82409,51369,6250,4288,4210
100784,676974,154770,117593,9840,171249,93318,46881,83323
100785,73711,0,20170,13600,3971,30640,4074,1256
100788,73592,0,21764,15480,6868,29480,0,0
100793,90050,0,1064,5271,24642,23259,16590,19224
100798,37520,0,1925,0,16052,8938,1650,8955
100800,132147,5100,121037,2780,0,1250,1980,0
100802,50594,15080,0,0,12374,11020,0,12120
100804,41503,0,3238,0,6215,3980,0,28070
100806,72464,0,0,0,23230,18242,28500,2492
100809,1090710,0,1051830,0,0,16080,0,22800
100811,186057,0,48391,20160,96986,4650,10630,5240
100812,40081,1430,12346,0,10911,2884,8310,4200
100813,78310,0,15482,4400,17108,26904,7936,6480
100814,112146,11536,2100,2880,84880,3980,6770,0
100816,25709,4308,0,0,14114,6007,1280,0
100817,300525,23127,79127,13500,119227,52870,1000,11674
100819,60556,0,34197,2432,9880,9723,0,4324
100824,148821,3659,10539,60622,36785,11780,11520,13916
100825,95537,4980,22156,11710,15113,11074,26894,3610
100826,252241,6246,76810,56327,46740,10802,47764,7552
100829,62961,19006,13753,2880,10690,6682,8930,1020
100830,160624,0,0,112895,18860,0,19780,9089
100831,122622,11495,33748,0,22168,11550,16157,27504
100836,156425,25086,29568,4203,24160,54654,6979,11775
100839,14744,0,2839,1455,1950,0,0,8500
100840,136134,3154,15315,1350,46585,56220,6880,6630
100841,78025,0,3875,0,21196,32560,20394,0
100843,141484,0,0,9600,16444,5190,107950,2300
100845,419772,18830,26322,280712,57474,1960,28690,5784
100848,202374,0,37064,0,46350,118960,0,0
100849,334034,5464,15428,8265,102736,15908,183135,3098
100850,87810,27955,0,0,8350,23268,8226,20011
100852,79440,0,4000,0,46770,0,0,28670
100853,139418,30980,20980,8748,12020,40134,13136,13420
100855,56570,0,0,0,0,56570,0,0
100856,78007,12756,4620,1533,28026,1980,10759,18333
100858,460450,0,121192,18946,224460,79592,8300,7960
100859,465525,9385,268092,33161,25646,65750,21022,42469
100864,63917,0,5085,0,4764,1980,0,52088
100865,30461,2645,1200,1196,7580,15310,1060,1470
100867,69897,0,0,4950,0,30380,5790,28777
100869,36123,13995,0,1548,4000,1080,0,15500
100874,58589,0,3588,0,0,55001,0,0
100876,334859,0,39520,0,32049,41890,0,221400
100878,212220,0,8266,38466,113930,20442,12370,18746
100881,115518,62560,0,0,45933,1085,5940,0
100883,190762,0,4500,40321,10204,44199,33679,57859
100886,26253,0,4610,8212,8700,4731,0,0
100887,65394,0,7754,20436,19964,8770,3090,5380
100888,271300,0,10375,8880,34393,67410,88002,62240
100891,573905,216312,39214,61947,142144,57028,20130,37130
100892,591184,13840,39818,69718,87448,49180,295729,35451
100895,26628,12085,9043,0,0,0,0,5500
100897,35702,3400,1900,3800,10540,0,16062,0
100898,35593,0,0,1140,18468,1368,6651,7966
100904,229334,0,9070,8900,31500,109257,62460,8147
100906,612639,11608,140644,8156,59655,88096,283820,20660
100908,205840,0,16000,0,0,189840,0,0
100910,105146,2030,12670,0,2560,87886,0,0
100914,93388,0,17157,6264,8682,48305,10000,2980
100918,127010,17010,22970,0,5030,82000,0,0
100919,47247,0,12484,12550,10961,8852,2400,0
100920,100763,0,53037,0,4464,0,16732,26530
100921,107404,0,0,107404,0,0,0,0
100923,598602,14120,4028,0,0,555944,0,24510
100925,42561,3990,12674,7941,2040,14044,1872,0
100927,126746,0,15291,7215,33201,35613,34200,1226
100928,22485,0,0,0,5695,0,0,16790
100929,1327353,185432,133292,358285,110662,349814,136057,53811
100930,14763,0,3588,0,2748,8427,0,0
100931,71708,10641,25652,9435,10400,11038,2052,2490
100933,114213,18631,8085,18317,17640,9108,42432,0
100936,169340,4820,2759,0,129510,15421,0,16830
100937,78750,0,0,6300,45268,20522,6660,0
100938,52322,0,22730,0,8876,12217,4194,4305
100939,455663,21657,109124,20875,85425,106317,67660,44605
100941,34418,7840,24578,0,0,0,2000,0
100944,167517,14011,6726,32760,47757,50331,1080,14852
100946,48378,0,0,0,45068,0,3310,0
100947,60824,0,0,0,11670,0,44117,5037
100948,44352,36140,5060,0,0,0,1280,1872
100949,176490,0,25757,71438,47866,26520,3409,1500
100953,25965,0,2065,0,5000,18900,0,0
100956,64134,0,15150,36190,2682,10112,0,0
100957,233073,1990,13587,31176,26477,5270,2356,152217
100959,208645,9950,42855,18846,46910,43632,32275,14177
100962,37506,3831,7051,0,14443,5947,2954,3280
100963,30273,0,14138,0,0,16135,0,0
100964,156045,0,7720,1895,11700,40405,82510,11815
100965,47237,0,0,2043,0,2820,7490,34884
100966,57712,0,1640,4327,16176,9300,23175,3094
100968,110250,0,37660,0,57300,1980,13310,0
100972,119094,9750,0,9320,26456,11200,45868,16500
100973,283283,4480,12562,7903,70542,127996,7280,52520
100977,160615,2820,45409,1194,33200,35520,22320,20152
100978,189279,0,2524,0,66200,54669,47346,18540
100979,15315,0,0,0,15315,0,0,0
100981,232146,27456,0,56616,6066,106250,2430,33328
100982,64709,19950,1788,0,0,30309,3158,9504
100985,1260231,27303,136382,46304,63917,894807,13268,78250
100988,197777,1176,27666,0,81244,70243,0,17448
100989,32720,0,6331,0,0,15840,3300,7249
100996,167362,4590,47616,1840,60765,11620,21481,19450
100998,42664,0,0,3648,20362,5285,8924,4445
101002,28713,0,17008,0,0,7550,0,4155
101004,90250,11672,12300,0,22800,3560,38740,1178
101005,87566,0,20489,6770,31259,10386,1052,17610
101008,168450,0,23200,19301,16342,3980,31357,74270
101009,245728,8130,103737,2880,36825,64272,28414,1470
101013,64512,0,5480,1900,17969,1104,25075,12984
101017,328814,0,130846,42280,41416,60348,47740,6184
101022,24884,2926,0,0,0,0,11400,10558
101023,74971,16720,12815,8611,2992,29198,4635,0
101025,63728,22368,4180,0,10880,8900,17400,0
101026,228143,3875,21141,15205,93058,25218,30655,38991
101027,159335,0,33432,8000,90343,27560,0,0
101028,318700,45376,6412,97568,50222,75662,32680,10780
101029,62036,0,6916,46400,4740,3980,0,0
101030,50593,5000,22465,13975,4853,0,4300,0
101032,417546,4240,65026,81800,25120,50094,191266,0
101033,241275,19492,101137,20071,33243,59142,4440,3750
101036,82000,4240,29510,0,30068,9806,3726,4650
101037,405154,0,43196,7743,67613,72364,8430,205808
101042,146727,0,91370,4928,21006,2915,19668,6840
101043,69887,0,0,10364,29102,3880,13080,13461
101046,43413,0,0,9609,12604,1920,19280,0
101050,343212,0,283580,7632,24800,0,14840,12360
101051,88907,0,0,5980,11570,42036,25841,3480
101055,97388,0,0,8100,53200,15238,20850,0
