C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39
-3.344,-2.903,-3.001,-3.328,-4.080,-5.328,-4.845,-4.750,-3.823,-4.910,-1.580,-1.658,-3.705,-2.804,-5.894,-0.233,-0.360,2.947,-3.568,-4.252,2.612,-1.684,-1.398,0.713,-3.710,-1.454,-2.049,-1.750,-2.877,-0.701,-0.287,-3.961,-3.096,-1.614,-1.534,-1.840,-2.265,-5.546,-2.762
1.008,-0.095,-3.815,-5.131,-0.326,3.666,2.501,-2.991,-3.382,-2.187,-5.811,-4.869,-0.235,4.466,-0.330,-3.269,1.095,-4.112,-3.972,0.931,-0.134,-6.696,-3.309,-6.482,-6.150,0.946,-1.261,-3.830,-8.073,-3.534,4.369,5.934,-2.003,-2.150,-0.400,0.657,-0.194,1.083,-0.454
-0.706,2.736,0.723,1.173,-1.314,-2.399,-1.363,-4.571,3.027,2.735,0.812,3.267,-1.000,-0.760,-0.906,4.161,2.281,-2.064,2.470,4.634,3.483,1.250,3.236,0.944,1.241,4.181,5.094,2.407,2.303,5.588,1.632,-1.735,3.888,-1.296,4.448,1.803,-3.642,-1.943,5.962
1.099,-0.450,-6.095,-4.068,0.157,-1.738,0.119,-1.796,-2.670,-3.543,-0.472,-3.278,-0.815,-0.433,1.251,0.628,-3.101,0.021,-3.969,-3.283,-2.571,-1.152,0.646,1.311,-3.782,-5.219,-1.089,-1.144,-3.800,-3.048,-1.193,-1.611,-3.132,0.675,-3.144,-1.224,-2.671,1.808,-3.951
-6.495,2.138,-1.702,0.293,-5.169,-5.809,-1.745,-5.555,1.357,-0.293,0.332,-5.121,-6.076,2.419,-6.370,-5.924,1.052,-0.649,-0.210,1.483,-4.589,1.018,2.113,-1.669,2.735,2.766,2.584,-0.915,-1.232,-1.905,1.873,-0.057,2.881,-5.232,2.675,2.610,-6.224,-2.879,-1.611
4.697,-1.135,-2.970,0.477,3.526,1.096,0.429,6.817,1.582,-1.169,1.737,2.726,5.578,-4.692,4.130,2.914,-1.896,1.949,0.112,-2.722,3.914,2.571,-1.076,0.169,-0.875,-1.652,-1.652,1.790,-1.185,0.180,-6.237,-5.408,-2.275,7.524,-2.380,-1.730,7.527,3.105,1.024
1.547,0.574,-2.602,1.813,2.295,-1.152,0.883,3.517,-0.931,-0.162,1.163,-4.988,3.276,-2.633,1.400,-4.195,-1.634,-0.333,0.728,0.741,-4.847,1.729,3.282,-2.011,0.706,-1.198,0.290,-0.359,-1.757,-4.883,-5.023,-3.608,0.815,1.658,-0.400,-0.278,3.411,6.383,-2.062
2.515,1.847,0.773,2.185,1.441,2.568,2.243,0.183,-0.968,-0.902,-2.444,0.863,0.942,1.049,-0.147,-0.092,-0.008,-0.348,-0.153,-1.198,2.661,-0.831,1.309,-2.411,1.380,-1.188,-0.100,0.591,-0.745,0.311,1.392,2.969,-0.243,1.992,-1.544,-0.593,-0.219,3.480,0.668
3.251,1.533,0.906,1.511,7.304,9.797,6.642,6.315,-2.168,-0.806,-1.881,1.530,7.065,0.369,6.724,4.813,2.567,1.336,1.985,1.914,5.416,-0.124,0.253,1.374,1.749,3.419,1.022,-2.142,0.798,5.254,5.667,3.454,0.990,6.416,2.620,0.283,7.559,9.931,3.498
-1.352,0.629,-0.706,-1.027,-0.687,-0.437,-2.991,-2.942,-1.393,-1.635,-1.216,-1.096,-1.451,-0.236,-2.394,-0.859,2.711,-2.636,-1.881,2.159,-0.428,-2.553,-1.130,-2.090,-3.439,1.086,-2.330,-2.733,-3.336,0.607,1.986,-0.626,0.906,-3.283,-0.191,1.270,-1.830,-4.266,-0.393
-1.943,3.520,1.854,1.681,-3.288,-2.006,-2.458,-3.033,-0.288,1.698,-2.679,0.631,-5.680,0.006,-3.568,1.739,5.323,-0.917,-1.057,3.410,2.688,0.143,2.378,-1.660,1.169,3.701,3.783,1.086,-0.805,5.731,0.289,0.448,3.627,-3.248,4.213,4.374,-0.456,-0.896,3.657
5.232,2.328,1.550,0.977,-1.771,2.569,0.371,3.955,-0.237,3.735,2.047,-2.312,5.032,-1.961,3.323,-0.102,4.848,3.179,0.951,1.519,0.767,3.095,1.561,0.783,0.436,3.047,2.387,4.821,2.795,2.689,-0.332,-2.987,3.447,2.492,4.224,1.683,2.879,3.907,1.637
-1.091,0.272,-4.225,-3.888,0.816,1.564,1.933,-1.116,-2.929,-4.189,0.708,-6.346,-2.257,2.136,-1.179,-2.823,-0.682,-0.694,-4.696,-0.231,-2.482,-5.604,-4.157,-3.029,-4.961,0.267,2.127,-5.383,-3.337,-3.108,3.192,3.953,0.388,0.735,3.661,0.524,-2.081,1.880,-1.089
-1.559,-2.274,4.700,2.752,-0.361,-0.785,-1.053,-2.512,2.935,3.810,0.812,-6.213,0.398,0.659,-0.390,-3.185,-2.071,-0.768,3.055,-1.547,-0.913,1.794,5.042,1.125,6.332,-3.523,-3.315,2.817,5.617,-4.434,-0.478,-0.742,-2.952,-2.448,-3.961,-2.350,0.064,-0.406,-5.285
0.984,-1.209,-7.585,-6.129,1.618,-0.739,2.257,-0.595,-8.382,-7.422,2.200,-0.511,-1.731,4.237,-0.215,1.569,-1.290,4.667,-5.499,-3.367,3.665,-2.734,-5.414,4.924,-5.847,-1.796,0.022,-5.395,-2.883,-0.177,0.094,-0.593,-3.294,-2.419,-5.703,-2.421,0.186,0.912,-1.721
6.409,3.438,2.141,3.031,6.194,2.932,4.650,4.307,3.861,3.434,-4.698,-0.445,4.824,-0.925,5.287,0.266,0.570,-2.326,2.263,0.786,0.506,-0.399,5.997,-0.525,2.225,2.320,0.022,2.581,2.353,0.801,-1.581,1.822,1.749,2.694,-0.971,0.952,2.620,3.914,1.279
2.787,-1.213,-1.773,-1.713,1.990,5.052,4.781,1.924,-2.480,-0.558,-0.157,-0.845,1.495,3.157,3.056,2.780,0.512,2.668,-3.460,-2.247,1.810,-2.505,-1.896,1.067,-5.504,-2.881,0.552,-2.692,-0.152,-0.025,4.803,4.094,0.827,3.203,-1.131,-2.013,3.090,1.111,0.161
2.655,2.513,2.222,1.848,2.385,0.296,-0.141,2.675,0.298,0.749,2.063,-1.436,2.644,-2.223,2.178,-4.830,2.690,-0.983,1.456,3.439,-5.744,2.691,2.824,1.741,0.573,3.250,4.031,4.397,1.797,-1.106,-2.500,-2.648,2.684,0.503,4.012,0.684,2.340,1.483,0.443
0.865,-2.461,0.862,2.777,3.087,3.375,3.129,1.366,3.186,0.867,0.885,1.599,3.844,1.031,2.496,2.054,-1.921,-0.566,1.175,-3.673,1.092,1.713,1.784,2.623,-0.498,-3.407,-3.758,1.333,2.202,-1.854,3.191,1.492,-4.080,1.906,-4.100,-4.605,2.700,1.033,-1.983
8.762,-0.276,0.014,-0.278,7.438,6.433,6.240,8.241,2.834,-0.725,0.835,6.659,8.490,-0.370,8.581,4.392,-0.148,2.363,-0.869,-1.336,3.175,1.981,2.486,4.094,1.941,0.538,-1.112,0.832,2.865,2.897,-1.141,0.171,-1.661,6.991,0.766,-1.004,5.537,7.062,2.999
-2.893,-0.983,-1.127,-0.336,-4.593,-7.234,-7.709,-6.379,-1.091,-2.414,6.497,-5.414,-1.918,-4.809,-4.877,-5.317,-3.411,5.920,-0.506,-0.435,-5.931,2.757,0.644,4.454,-1.689,-0.286,-0.874,-2.069,3.453,-4.665,-5.065,-6.498,-0.661,-4.960,1.316,-1.431,-2.174,-4.790,-4.789
0.266,3.060,-2.078,-0.402,0.535,0.136,0.292,0.885,0.169,-1.370,-3.235,-2.328,-2.044,1.290,-0.236,-5.218,2.438,-5.215,0.234,1.700,-2.322,-2.693,-1.114,-3.212,-2.287,3.048,3.029,-0.935,-4.590,0.361,1.526,-0.319,3.072,-2.675,1.944,0.634,-0.608,0.402,-0.969
-3.741,-3.130,-4.142,-2.452,-2.124,-1.239,-2.385,-3.350,-5.154,-4.457,-1.337,-2.733,-4.509,1.350,-2.610,0.100,-6.163,-1.370,-3.963,-4.330,-3.948,-4.401,-6.365,1.634,-4.183,-6.525,-3.830,-4.328,-3.751,-5.289,1.152,1.776,-3.534,-2.017,-4.647,-5.406,-3.343,-4.313,-6.043
-4.851,-1.470,0.103,0.094,-1.693,-2.144,0.458,-2.227,1.296,0.758,-8.399,-1.768,-2.379,1.948,-3.647,-4.826,-1.468,-6.178,-1.864,-1.598,-5.438,-4.179,-0.841,-6.077,1.049,-0.377,-1.762,0.068,-5.563,-4.433,3.947,3.342,-0.488,-5.854,-0.980,0.068,-2.493,-4.941,-3.082
-0.094,-5.425,5.879,1.620,0.760,0.822,1.897,1.664,4.659,1.932,-1.116,-5.071,0.601,2.277,-1.584,-1.906,-3.605,-0.795,3.366,-2.499,-3.168,1.545,1.567,-0.316,3.526,-3.820,-4.470,1.231,2.573,-6.145,0.775,0.296,-6.398,-0.713,-2.093,-4.589,1.110,3.363,-5.878
3.739,-5.788,1.290,2.612,3.749,2.825,1.606,4.799,0.142,1.254,2.877,-1.754,2.655,-1.766,4.382,-2.657,-5.432,3.253,3.645,-7.140,-1.352,3.368,0.900,4.116,0.832,-2.267,-3.460,0.120,3.887,-5.470,-2.674,0.053,-3.680,1.056,-5.185,-5.880,5.470,4.102,-5.756
-1.783,-4.621,-3.911,-2.685,-2.043,-1.763,-1.623,-1.814,-2.959,-4.201,-1.960,-3.478,-0.224,-1.698,-0.830,-2.315,-3.575,-3.635,-2.287,-2.665,-3.264,-5.133,-3.258,-3.001,0.577,-3.978,-4.909,-3.423,-3.804,-5.718,-0.854,-1.175,-1.486,-0.058,-5.360,-1.626,-1.373,0.843,-4.769
2.348,1.013,2.821,1.765,2.308,-2.066,-0.803,1.498,2.011,2.110,1.385,-1.027,1.250,-4.017,-0.049,-2.632,-1.567,0.825,3.455,-1.387,-1.985,4.664,5.146,4.607,4.015,-0.630,0.488,4.919,4.315,-0.758,-4.268,-5.082,-0.382,1.872,-2.386,3.486,3.657,3.316,-2.239
3.877,-1.181,-7.166,-5.482,3.933,6.353,5.404,5.097,-6.650,-7.296,0.651,-3.167,3.359,3.601,4.017,-1.981,3.694,-1.736,-4.605,-1.054,-0.833,-7.047,-6.271,-1.962,-6.211,-2.090,0.063,-7.254,-5.509,-0.997,4.687,2.431,2.358,3.610,0.300,0.562,3.258,3.289,-1.280
-0.331,1.917,4.585,1.708,0.511,0.280,0.558,2.510,1.564,1.747,-4.113,-5.491,-1.595,-0.301,1.856,-2.068,2.316,-2.187,-0.543,0.760,-5.486,-0.805,1.188,-3.547,-2.193,3.136,0.013,1.105,-1.911,-3.158,-0.209,-1.876,-0.284,1.157,0.634,0.966,1.693,3.311,-1.029
1.465,4.272,-0.244,1.196,-1.419,2.565,3.972,0.701,-0.348,-0.289,-3.259,-0.497,3.816,5.911,0.176,2.563,1.067,-2.141,1.193,1.924,1.767,-1.321,-0.028,-1.999,-0.444,0.596,3.127,-1.541,-2.329,0.787,2.913,5.478,1.784,-1.160,2.533,3.718,-3.928,-1.073,5.196
1.720,-2.399,2.917,-3.104,0.220,0.144,-1.094,-1.325,-3.507,-3.635,-4.167,-3.133,-1.608,-0.141,0.715,-3.876,0.257,-3.026,-3.293,-0.734,-2.139,-3.484,-2.003,-1.553,0.716,-3.100,-2.321,0.018,-3.291,-4.097,-2.182,-1.774,-2.481,1.858,-1.020,-1.182,2.003,1.026,-3.109
-1.886,-0.043,2.753,3.531,-0.894,-2.139,-0.506,-2.821,5.184,4.263,1.746,-1.799,-3.844,0.315,-2.893,-2.690,-1.554,1.665,3.529,1.385,-1.586,4.012,4.466,1.457,2.316,-2.655,0.498,1.930,4.416,-0.783,0.031,0.193,1.549,-0.936,-0.329,0.296,1.060,-1.099,-2.311
3.424,-1.912,2.594,1.498,1.432,4.278,5.389,0.860,2.658,2.975,0.072,4.786,0.802,6.720,3.871,5.742,-2.182,0.473,2.834,-1.626,6.104,4.292,0.848,1.791,3.154,-1.744,-3.150,2.446,0.961,2.678,2.512,3.618,-1.572,2.613,-3.523,-5.041,0.620,2.521,0.765
3.226,-2.494,1.760,1.136,2.661,1.972,-0.880,3.438,0.245,1.194,-6.529,-1.566,1.964,-2.025,1.466,-0.125,-1.588,-6.693,2.864,-5.667,-1.156,-3.229,-0.716,-5.824,0.283,-4.093,-4.927,2.210,-3.925,-4.217,-2.273,-2.878,-4.638,2.803,-3.919,-3.456,3.676,1.556,-3.858
-4.559,3.262,0.929,-1.813,-3.278,-0.405,-3.601,-2.190,-1.112,2.833,-2.479,0.149,-3.042,1.014,-1.395,2.134,2.618,0.850,2.930,2.047,1.518,-0.063,1.773,0.034,0.588,2.841,0.115,0.442,0.727,2.078,-0.428,1.434,0.095,-3.411,2.966,1.219,-2.633,-2.291,3.050
-4.931,1.553,-6.132,-4.886,-5.331,-5.305,-9.878,-3.969,-7.008,-7.262,4.580,0.098,-2.843,-5.213,-3.903,1.586,0.899,-0.382,-5.723,-0.461,1.212,-4.966,-6.709,-0.259,-7.320,0.971,0.117,-4.611,-3.974,-0.004,-2.542,-6.968,-1.048,-6.462,-0.189,-1.599,-4.441,-5.476,1.437
3.113,-0.175,2.472,1.182,4.561,1.574,3.928,2.367,1.500,1.623,-1.170,0.766,2.565,0.052,5.256,0.490,-0.833,-0.617,3.977,0.044,-2.083,-0.554,4.060,-1.443,1.298,-0.107,-2.216,0.645,2.654,-1.240,-1.320,-2.789,-0.588,6.015,-0.525,1.848,4.453,5.830,0.294
4.529,-1.907,3.359,0.735,2.277,4.696,3.577,2.192,4.680,4.123,-1.933,0.271,4.379,-0.697,8.817,3.278,-2.575,-5.018,1.078,-2.493,2.028,-0.090,4.235,-2.802,4.241,-0.302,-0.051,4.466,1.287,-1.638,-0.758,1.834,-1.558,5.145,0.446,-2.420,4.593,5.245,1.940
-1.129,-1.338,-2.522,-1.178,-1.907,-1.356,-0.975,-3.150,-4.918,-3.252,-0.813,-8.105,-3.539,0.046,0.508,-7.944,-0.304,-1.528,-3.494,-2.740,-8.542,-4.399,-3.518,-1.848,-3.503,0.052,-1.629,-2.335,-3.000,-6.017,-0.036,-0.249,-1.468,-0.180,-0.632,-2.636,-0.478,-0.282,-8.083
-0.473,0.954,-0.155,0.337,-1.603,-0.492,0.725,-2.232,0.840,1.821,-0.941,2.211,-2.515,2.794,-4.417,0.161,2.691,-3.328,-1.312,2.160,3.267,-1.602,2.597,-0.278,-0.937,0.658,3.250,0.353,0.196,2.863,3.576,2.013,0.879,-1.871,1.161,4.805,-2.691,-1.561,3.446
-1.970,-0.470,-0.536,-1.213,-2.300,0.195,0.654,1.101,-2.301,-0.002,1.739,-1.141,1.586,0.922,-1.890,-0.140,-0.940,1.766,2.595,0.180,-4.582,1.916,-1.847,2.977,-0.284,0.733,0.295,1.305,0.685,-1.689,1.590,0.739,-0.537,0.084,0.105,0.728,-1.621,1.751,-1.097
0.593,-4.684,-1.370,0.579,-0.491,-0.562,-2.814,1.151,1.539,-0.359,-3.301,0.753,0.475,-2.620,-0.688,-0.577,-5.291,-4.131,-0.607,-2.721,2.540,-2.362,-0.248,-2.285,-0.782,-4.566,-3.486,-0.441,-2.652,-2.951,-0.378,-5.764,-2.907,1.532,-3.800,-2.783,-1.762,2.971,-2.333
-0.810,-2.193,1.887,-2.306,0.671,-1.458,-1.522,-2.250,-2.416,-0.777,4.221,0.218,-2.127,-2.287,-3.189,1.008,-1.686,4.895,1.193,0.669,1.645,3.015,0.069,4.384,-2.498,-0.115,0.683,-0.802,2.210,-0.295,-0.250,0.157,2.071,0.769,-0.594,-0.568,-0.466,-1.049,1.298
3.440,3.108,-0.760,-1.413,1.981,-1.894,0.539,-0.596,-2.381,-0.115,-2.773,-1.857,2.456,-3.282,3.078,-1.921,3.859,-2.501,0.943,3.372,0.438,-4.151,0.142,-0.262,-0.231,5.008,5.283,-0.104,0.642,3.189,-2.690,-3.101,3.473,1.477,3.323,3.703,0.863,0.960,1.993
1.093,4.298,2.561,1.119,0.283,-2.242,-0.285,1.026,2.438,1.698,2.828,2.222,0.146,-1.154,-2.120,2.400,2.355,0.813,0.018,0.910,-0.268,2.527,1.401,2.007,-1.020,0.244,2.872,1.904,2.386,3.488,-1.240,-2.634,2.096,1.392,4.564,0.534,-0.410,-1.947,2.494
