顧客番号,DATE,Page,大分類,滞在秒数
727546,2021-05-28,"/sv/bookkeeper/","カテゴリD",86.481
727546,2021-06-17,"/sv/bookkeeper?","カテゴリE",186.360
727546,2021-08-28,"/sv/browser","カテゴリD",7.036
727546,2021-12-22,"/sv/bookkeeper?","カテゴリE",28.573
734582,2021-08-19,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",91.121
734582,2021-10-06,"/sv/help/en-us/tutorial/tutctrl.htm","カテゴリG",127.300
734582,2021-10-16,"/sv/help/en-us/tutorial/smugtut.htm","カテゴリG",1.694
734582,2021-10-16,"/sv/help/en-us/adminhlp/adcat.htm","カテゴリC",125.669
734582,2021-11-30,"/sv/browser","カテゴリD",63.036
734582,2021-11-30,"/sv/client?","カテゴリF",22.442
734582,2021-12-11,"/sv/help/en-us/tutorial/smugtut.htm","カテゴリG",41.738
763145,2021-07-04,"/sv/logout?","カテゴリD",19.751
763145,2021-05-24,"/sv/help/en-us/surfhlp/viewdocuments.htm","カテゴリF",33.114
763145,2021-05-24,"/sv/browser","カテゴリD",28.041
763145,2021-05-24,"/sv/browser","カテゴリD",62.784
763145,2021-06-07,"/sv/viewer?","カテゴリB",12.130
763145,2021-06-07,"/sv/browser","カテゴリD",27.024
763145,2021-07-04,"/sv/viewer?","カテゴリB",0.186
763145,2021-07-04,"/sv/customhtml?","カテゴリA",31.978
763145,2021-07-04,"/","カテゴリE",55.050
763145,2021-07-11,"/sv/browser","カテゴリD",19.421
763145,2021-08-02,"/sv/browser","カテゴリD",25.230
763145,2021-08-02,"/sv/browser","カテゴリD",63.292
852042,2021-02-04,"/sv/help/en-us/adminhlp/adsecure.htm","カテゴリB",79.130
852042,2021-02-21,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",19.175
852042,2021-03-04,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",131.695
965435,2021-02-02,"/sv/bookkeeper?","カテゴリE",180.022
965435,2021-02-02,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",110.904
965435,2021-05-22,"/sv/browser?","カテゴリG",1.879
965435,2021-05-22,"/sv/browser","カテゴリD",149.194
811675,2021-02-01,"/sv/browser","カテゴリD",58.295
811675,2021-01-04,"/sv/browser","カテゴリD",197.514
811675,2021-01-18,"/sv/browser","カテゴリD",84.047
811675,2021-01-18,"/sv/bookkeeper?","カテゴリE",190.607
811675,2021-01-26,"/sv/viewer?","カテゴリB",148.537
864152,2021-10-09,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",107.083
864152,2021-02-02,"/sv/bookkeeper","カテゴリF",24.370
864152,2021-02-12,"/sv/bookkeeper","カテゴリF",114.095
864152,2021-03-04,"/sv/","カテゴリB",40.725
864152,2021-08-10,"/sv/bookkeeper/","カテゴリD",65.727
921453,2021-05-18,"/sv/client?","カテゴリF",44.838
921453,2021-01-13,"/sv/client?","カテゴリF",30.647
921453,2021-02-26,"/sv/client?","カテゴリF",1.054
921453,2021-03-05,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",15.397
921453,2021-03-05,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",3.473
921453,2021-03-24,"/sv/client?","カテゴリF",0.851
921453,2021-03-24,"/sv/client?","カテゴリF",38.493
921453,2021-05-03,"/sv/browser","カテゴリD",4.089
921453,2021-05-18,"/sv/client?","カテゴリF",27.159
645847,2021-01-20,"/sv/browser?","カテゴリG",2.107
645847,2021-03-17,"/sv/browser?","カテゴリG",218.013
645847,2021-01-20,"/sv/logout?","カテゴリD",102.019
645847,2021-01-20,"/sv/publisher?","カテゴリD",87.468
645847,2021-01-20,"/sv/viewer?","カテゴリB",212.623
645847,2021-01-20,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",45.400
645847,2021-03-05,"/sv/bookkeeper?","カテゴリE",14.815
645847,2021-03-13,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",5.792
645847,2021-03-13,"/sv/browser?","カテゴリG",119.644
645847,2021-03-13,"/sv/","カテゴリB",30.118
103653,2021-01-25,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",25.690
103653,2021-01-25,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",40.047
103653,2021-02-08,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",41.579
103653,2021-02-13,"/sv/client?","カテゴリF",33.400
103653,2021-06-13,"/sv/bookkeeper","カテゴリF",79.284
110127,2021-02-27,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",56.809
110127,2021-04-07,"/sv/browser?","カテゴリG",32.031
110127,2021-04-07,"/sv/bookkeeper/","カテゴリD",2.871
110127,2021-06-01,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",3.088
110127,2021-06-01,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",15.042
110127,2021-06-09,"/sv/browser?","カテゴリG",62.945
110127,2021-06-23,"/sv/bookkeeper","カテゴリF",8.127
110127,2021-06-23,"/sv/client?","カテゴリF",95.906
110127,2021-07-13,"/sv/publisher?","カテゴリD",32.410
110127,2021-09-01,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",87.772
125827,2021-04-22,"/sv/bookkeeper?","カテゴリE",242.943
125827,2021-02-16,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",117.988
125827,2021-04-22,"/sv/bookkeeper?","カテゴリE",82.069
128421,2021-12-23,"/sv/bookkeeper","カテゴリF",68.015
128421,2021-01-14,"/sv/publisher","カテゴリA",38.538
128421,2021-01-14,"/sv/bookkeeper","カテゴリF",52.023
128421,2021-03-18,"/sv/publisher","カテゴリA",14.109
128421,2021-06-04,"/sv/publisher","カテゴリA",60.133
128421,2021-06-17,"/sv/bookkeeper","カテゴリF",6.807
128421,2021-08-12,"/sv/publisher","カテゴリA",28.526
128421,2021-10-21,"/sv/bookkeeper","カテゴリF",89.524
128421,2021-10-21,"/sv/publisher","カテゴリA",51.325
130343,2021-01-28,"/sv/browser?","カテゴリG",1.657
130343,2021-02-16,"/sv/viewer?","カテゴリB",8.388
130343,2021-02-18,"/sv/bookkeeper?","カテゴリE",20.699
130343,2021-02-23,"/sv/browser?","カテゴリG",33.060
130343,2021-02-26,"/sv/bookkeeper?","カテゴリE",51.973
130343,2021-03-17,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",5.274
130343,2021-03-27,"/sv/bookkeeper","カテゴリF",16.573
130343,2021-03-27,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",9.201
130343,2021-04-15,"/sv/bookkeeper","カテゴリF",28.604
130343,2021-04-15,"/sv/bookkeeper","カテゴリF",35.570
136008,2021-03-24,"/sv/viewer?","カテゴリB",62.083
136008,2021-02-05,"/sv/publisher?","カテゴリD",22.568
136008,2021-03-14,"/sv/bookkeeper?","カテゴリE",81.746
136008,2021-03-14,"/sv/bookkeeper?","カテゴリE",35.427
136008,2021-03-16,"/sv/bookkeeper","カテゴリF",40.153
136008,2021-03-16,"/sv/help/en-us/adminhlp/adminhlp.htm","カテゴリB",7.013
136008,2021-03-24,"/sv/bookkeeper?","カテゴリE",10.848
136008,2021-03-24,"/sv/viewer?","カテゴリB",80.469
136008,2021-03-24,"/sv/viewer?","カテゴリB",17.817
136008,2021-04-29,"/sv/customhtml?","カテゴリA",123.768
136008,2021-04-29,"/sv/browser?","カテゴリG",46.107
142704,2021-02-12,"/sv/bookkeeper?","カテゴリE",51.176
142704,2021-02-12,"/sv/bookkeeper","カテゴリF",52.972
142704,2021-04-29,"/sv/publisher","カテゴリA",0.257
142704,2021-06-30,"/sv/bookkeeper","カテゴリF",14.714
142704,2021-10-21,"/sv/publisher","カテゴリA",102.089
142704,2021-12-16,"/sv/publisher","カテゴリA",49.792
145330,2021-01-02,"/sv/viewer?","カテゴリB",53.386
145330,2021-01-02,"/sv/viewer?","カテゴリB",235.999
145330,2021-01-22,"/sv/bookkeeper?","カテゴリE",181.614
150834,2021-03-21,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",6.985
150834,2021-01-12,"/sv/viewer?","カテゴリB",147.996
150834,2021-02-15,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",156.876
150834,2021-02-15,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",16.486
150834,2021-03-18,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",42.657
159509,2021-03-04,"/sv/viewer?","カテゴリB",41.266
159509,2021-01-14,"/sv/bookkeeper?","カテゴリE",49.311
159509,2021-01-14,"/sv/bookkeeper?","カテゴリE",48.378
159509,2021-01-22,"/sv/bookkeeper?","カテゴリE",25.343
159509,2021-12-08,"/sv/browser","カテゴリD",9.338
159509,2021-12-08,"/sv/browser","カテゴリD",113.365
159907,2021-01-05,"/sv/publisher?","カテゴリD",24.282
159907,2021-01-05,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",80.778
159907,2021-01-05,"/sv/help/en-us/surfhlp/customdoc.htm","カテゴリC",33.045
159907,2021-02-25,"/sv/viewer?","カテゴリB",6.579
159907,2021-02-25,"/sv/bookkeeper?","カテゴリE",67.733
159907,2021-02-25,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",7.844
159907,2021-02-25,"/sv/client?","カテゴリF",156.246
159907,2021-02-25,"/sv/help/en-us/surfhlp/customdoc.htm","カテゴリC",47.492
185804,2021-01-28,"/sv/publisher","カテゴリA",46.803
185804,2021-04-29,"/sv/bookkeeper?","カテゴリE",22.819
185804,2021-01-28,"/sv/viewer?","カテゴリB",58.623
185804,2021-02-10,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",33.900
185804,2021-02-26,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",67.126
185804,2021-03-23,"/sv/publisher","カテゴリA",26.349
185804,2021-03-31,"/sv/customhtml?","カテゴリA",44.303
185804,2021-04-29,"/sv/browser?","カテゴリG",56.980
185804,2021-04-29,"/sv/client?","カテゴリF",42.096
189275,2021-01-06,"/sv/help/en-us/adminhlp/adsecurehowto.htm","カテゴリE",25.304
189275,2021-01-06,"/sv/publisher","カテゴリA",6.351
189275,2021-01-06,"/sv/viewer?","カテゴリB",13.870
189275,2021-01-06,"/sv/browser","カテゴリD",22.658
189275,2021-01-06,"/sv/","カテゴリB",4.588
189275,2021-02-28,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",38.373
189275,2021-05-10,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",24.804
189275,2021-06-21,"/sv/client?","カテゴリF",3.976
189275,2021-06-21,"/sv/bookkeeper?","カテゴリE",11.700
189275,2021-06-29,"/sv/help/en-us/adminhlp/adsecurehowto.htm","カテゴリE",6.433
189275,2021-08-27,"/sv/client?","カテゴリF",2.943
194563,2021-05-08,"/sv/browser","カテゴリD",46.297
194563,2021-03-14,"/sv/","カテゴリB",44.149
194563,2021-03-14,"/sv/help/en-us/surfhlp/publishoptions.htm","カテゴリG",21.574
194563,2021-03-14,"/sv/bookkeeper","カテゴリF",132.932
194563,2021-03-14,"/sv/bookkeeper","カテゴリF",35.113
194563,2021-03-18,"/sv/publisher","カテゴリA",81.780
194563,2021-03-18,"/sv/browser?","カテゴリG",6.983
194563,2021-05-08,"/sv/browser?","カテゴリG",32.172
201317,2021-03-10,"/sv/publisher","カテゴリA",150.864
201317,2021-01-06,"/sv/logout?","カテゴリD",62.267
201317,2021-01-06,"/sv/","カテゴリB",89.080
201317,2021-01-06,"/sv/","カテゴリB",161.789
202340,2021-01-06,"/sv/viewer?","カテゴリB",107.407
202340,2021-01-08,"/sv/bookkeeper?","カテゴリE",68.072
202340,2021-01-09,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",90.711
202340,2021-01-09,"/sv/bookkeeper?","カテゴリE",14.332
202340,2021-01-15,"/sv/publisher","カテゴリA",80.128
202340,2021-01-26,"/sv/publisher","カテゴリA",56.633
202340,2021-02-05,"/sv/browser?","カテゴリG",3.716
210178,2021-01-20,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",14.289
210178,2021-01-20,"/sv/publisher","カテゴリA",101.807
210178,2021-01-27,"/","カテゴリE",24.467
210178,2021-01-28,"/sv/help/en-us/adminhlp/adsecurecategory.htm","カテゴリB",124.031
210178,2021-02-19,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",76.156
210178,2021-02-19,"/sv/viewer?","カテゴリB",92.277
210178,2021-02-24,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",7.433
210178,2021-02-24,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",25.538
210178,2021-03-01,"/sv/viewer?","カテゴリB",60.197
210178,2021-01-27,"/sv/customhtml?","カテゴリA",27.636
210178,2021-04-12,"/sv/viewer?","カテゴリB",70.251
210178,2021-04-12,"/sv/viewer?","カテゴリB",45.037
210178,2021-06-06,"/sv/viewer?","カテゴリB",128.713
210178,2021-07-11,"/sv/viewer?","カテゴリB",73.043
210178,2021-09-12,"/sv/viewer?","カテゴリB",55.294
210178,2021-11-21,"/sv/viewer?","カテゴリB",31.636
210178,2021-11-21,"/sv/viewer?","カテゴリB",21.194
214649,2021-02-25,"/sv/viewer?","カテゴリB",11.659
214649,2021-01-05,"/sv/viewer?","カテゴリB",2.441
214649,2021-01-13,"/sv/customhtml?","カテゴリA",42.529
214649,2021-01-13,"/sv/bookkeeper?","カテゴリE",20.266
214649,2021-01-19,"/sv/viewer?","カテゴリB",24.368
214649,2021-01-19,"/sv/bookkeeper?","カテゴリE",13.796
214649,2021-02-12,"/sv/help/en-us/adminhlp/adsecure.htm","カテゴリB",5.425
214649,2021-02-12,"/sv/viewer?","カテゴリB",46.999
214649,2021-02-14,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",4.490
214649,2021-02-20,"/sv/customhtml?","カテゴリA",37.027
214649,2021-02-20,"/sv/help/en-us/adminhlp/adsecure.htm","カテゴリB",6.002
238189,2021-01-29,"/sv/logout?","カテゴリD",18.297
238189,2021-01-19,"/sv/viewer?","カテゴリB",85.898
238189,2021-01-19,"/sv/bookkeeper?","カテゴリE",8.314
238189,2021-01-21,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",28.144
238189,2021-01-21,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",21.602
238189,2021-01-21,"/sv/bookkeeper","カテゴリF",0.159
238189,2021-01-29,"/sv/logout?","カテゴリD",35.585
242806,2021-01-02,"/sv/logout?","カテゴリD",257.205
242806,2021-01-29,"/sv/logout?","カテゴリD",30.532
242806,2021-01-29,"/sv/help/en-us/surfhlp/browse.htm","カテゴリD",70.337
242806,2021-01-29,"/sv/logout?","カテゴリD",33.953
242806,2021-01-29,"/sv/help/en-us/surfhlp/browse.htm","カテゴリD",122.488
242806,2021-01-29,"/sv/help/en-us/surfhlp/browse.htm","カテゴリD",10.918
242806,2021-01-29,"/sv/bookkeeper?","カテゴリE",50.254
242806,2021-02-17,"/sv/bookkeeper?","カテゴリE",50.314
245593,2021-04-30,"/sv/client?","カテゴリF",0.062
245593,2021-04-30,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",22.869
245593,2021-05-07,"/sv/browser?","カテゴリG",8.553
245593,2021-05-07,"/sv/","カテゴリB",38.258
245593,2021-05-07,"/sv/","カテゴリB",143.960
245593,2021-05-10,"/sv/bookkeeper?","カテゴリE",14.905
245593,2021-05-10,"/sv/help/en-us/adminhlp/adminhlp.htm","カテゴリB",4.442
245593,2021-05-27,"/sv/browser?","カテゴリG",15.082
245593,2021-05-31,"/sv/help/en-us/surfhlp/publish.htm","カテゴリC",75.920
245593,2021-06-12,"/sv/browser?","カテゴリG",84.948
255039,2021-03-13,"/sv/browser?","カテゴリG",275.861
255039,2021-01-04,"/sv/browser?","カテゴリG",32.251
255039,2021-06-12,"/sv/bookkeeper?","カテゴリE",139.889
265034,2021-02-10,"/sv/viewer?","カテゴリB",129.872
265034,2021-02-10,"/sv/browser?","カテゴリG",79.163
265034,2021-02-10,"/sv/bookkeeper?","カテゴリE",60.080
265034,2021-03-25,"/sv/viewer?","カテゴリB",120.885
267578,2021-01-15,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",27.115
267578,2021-02-01,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",45.580
267578,2021-02-01,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",81.968
267578,2021-02-01,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",62.278
267578,2021-02-01,"/sv/help/en-us/adminhlp/adsecuredocument.htm","カテゴリE",38.098
267578,2021-02-01,"/sv/bookkeeper?","カテゴリE",84.722
267578,2021-02-07,"/sv/bookkeeper/","カテゴリD",4.238
268047,2021-08-24,"/sv/viewer","カテゴリD",14.510
268047,2021-01-22,"/","カテゴリE",51.179
268047,2021-01-22,"/sv/bookkeeper?","カテゴリE",16.042
268047,2021-01-30,"/sv/viewer?","カテゴリB",6.388
268047,2021-03-20,"/sv/bookkeeper","カテゴリF",91.213
268047,2021-04-07,"/sv/browser","カテゴリD",32.666
268047,2021-04-07,"/sv/browser","カテゴリD",22.266
268047,2021-08-13,"/sv/help/en-us/surfhlp/browse.htm","カテゴリD",39.736
284022,2021-02-20,"/sv/help/en-us/tutorial/smugtut.htm","カテゴリG",47.441
284022,2021-01-05,"/sv/help/en-us/adminhlp/adminhlp.htm","カテゴリB",57.356
284022,2021-01-05,"/sv/help/en-us/adminhlp/adminhlp.htm","カテゴリB",80.096
284022,2021-01-16,"/sv/help/en-us/tutorial/tutctrl.htm","カテゴリG",84.596
284022,2021-01-31,"/sv/help/en-us/adminhlp/adcat.htm","カテゴリC",21.641
284022,2021-01-31,"/sv/browser?","カテゴリG",120.871
288984,2021-01-19,"/sv/publisher","カテゴリA",29.394
288984,2021-02-16,"/sv/bookkeeper?","カテゴリE",17.242
288984,2021-02-16,"/sv/bookkeeper?","カテゴリE",37.578
288984,2021-03-03,"/sv/bookkeeper?","カテゴリE",24.415
288984,2021-03-03,"/sv/browser?","カテゴリG",32.419
288984,2021-04-21,"/sv/publisher","カテゴリA",59.694
288984,2021-04-24,"/sv/publisher","カテゴリA",45.475
288984,2021-06-23,"/sv/browser?","カテゴリG",73.435
288984,2021-06-23,"/sv/browser?","カテゴリG",44.800
288984,2021-06-23,"/sv/browser?","カテゴリG",53.548
294843,2021-06-25,"/sv/bookkeeper?","カテゴリE",10.972
294843,2021-01-26,"/sv/logout?","カテゴリD",11.675
294843,2021-02-05,"/sv/viewer?","カテゴリB",48.440
294843,2021-04-14,"/sv/bookkeeper?","カテゴリE",1.333
294843,2021-04-22,"/sv/bookkeeper","カテゴリF",67.504
294843,2021-06-25,"/sv/viewer?","カテゴリB",67.196
294843,2021-06-25,"/sv/bookkeeper","カテゴリF",28.878
294843,2021-06-25,"/sv/bookkeeper?","カテゴリE",78.708
294843,2021-09-03,"/sv/publisher?","カテゴリD",14.972
294843,2021-09-21,"/sv/bookkeeper?","カテゴリE",38.588
294843,2021-09-21,"/sv/publisher","カテゴリA",61.733
295673,2021-01-17,"/sv/viewer?","カテゴリB",127.161
295673,2021-01-17,"/sv/bookkeeper?","カテゴリE",89.035
295673,2021-02-14,"/sv/bookkeeper?","カテゴリE",222.670
295673,2021-03-14,"/sv/bookkeeper?","カテゴリE",32.134
299691,2021-01-26,"/sv/viewer?","カテゴリB",95.313
299691,2021-01-26,"/","カテゴリE",65.322
299691,2021-02-19,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",9.807
299691,2021-02-19,"/sv/viewer?","カテゴリB",23.949
299691,2021-02-19,"/sv/viewer?","カテゴリB",112.608
305010,2021-07-16,"/sv/bookkeeper","カテゴリF",19.501
305010,2021-05-24,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",56.714
305010,2021-05-24,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",59.079
305010,2021-05-24,"/sv/help/en-us/adminhlp/adintro.htm","カテゴリD",15.809
305010,2021-05-24,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",0.607
305010,2021-05-24,"/sv/","カテゴリB",2.562
305010,2021-07-16,"/sv/browser","カテゴリD",90.728
327211,2021-01-20,"/sv/help/en-us/adminhlp/adindex.htm","カテゴリC",17.938
327211,2021-01-16,"/sv/logout?","カテゴリD",55.231
327211,2021-01-20,"/sv/viewer?","カテゴリB",39.838
327211,2021-01-29,"/sv/bookkeeper","カテゴリF",27.645
327211,2021-01-29,"/sv/bookkeeper","カテゴリF",63.742
327211,2021-01-29,"/sv/client?","カテゴリF",5.086
327211,2021-02-03,"/sv/client?","カテゴリF",17.358
327211,2021-02-18,"/sv/bookkeeper","カテゴリF",37.164
337822,2021-08-10,"/sv/bookkeeper","カテゴリF",29.294
337822,2021-02-10,"/sv/index.htm","カテゴリD",7.871
337822,2021-02-10,"/sv/help/en-us/surfhlp/surfix.htm","カテゴリD",19.792
337822,2021-03-01,"/sv/browser","カテゴリD",21.913
337822,2021-04-20,"/sv/browser?","カテゴリG",15.545
337822,2021-04-20,"/sv/publisher?","カテゴリD",142.059
337822,2021-05-26,"/sv/publisher","カテゴリA",15.459
337822,2021-08-10,"/sv/bookkeeper?","カテゴリE",72.923
337822,2021-08-10,"/sv/publisher?","カテゴリD",13.260
337822,2021-12-01,"/sv/bookkeeper?","カテゴリE",7.163
337822,2021-12-01,"/sv/bookkeeper","カテゴリF",25.720
340944,2021-01-28,"/sv/bookkeeper","カテゴリF",504.264
340944,2021-01-28,"/sv/bookkeeper","カテゴリF",121.962
340944,2021-01-28,"/sv/bookkeeper","カテゴリF",250.775
355976,2021-01-14,"/sv/viewer?","カテゴリB",78.522
355976,2021-01-14,"/sv/help/en-us/surfhlp/viewdocuments.htm","カテゴリF",322.419
355976,2021-01-14,"/sv/bookkeeper","カテゴリF",90.800
355976,2021-01-14,"/sv/viewer?","カテゴリB",29.259
356078,2021-03-04,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",85.266
356078,2021-03-04,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",92.610
356078,2021-03-04,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",57.694
356078,2021-03-04,"/sv/publisher?","カテゴリD",14.704
356078,2021-05-08,"/sv/browser?","カテゴリG",25.725
369702,2021-05-08,"/sv/help/en-us/adminhlp/adminhlp.htm","カテゴリB",177.263
369702,2021-02-03,"/sv/viewer?","カテゴリB",41.679
369702,2021-02-03,"/sv/help/en-us/adminhlp/adintro.htm","カテゴリD",4.366
369702,2021-02-03,"/sv/browser?","カテゴリG",13.714
369702,2021-02-03,"/sv/browser?","カテゴリG",41.702
369702,2021-02-03,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",130.275
370024,2021-03-12,"/sv/viewer","カテゴリD",38.108
370024,2021-01-17,"/sv/bookkeeper?","カテゴリE",5.986
370024,2021-01-17,"/sv/bookkeeper","カテゴリF",45.937
370024,2021-01-31,"/sv/publisher","カテゴリA",15.098
370024,2021-01-31,"/sv/","カテゴリB",76.548
370024,2021-02-09,"/sv/help/en-us/surfhlp/surfhlp.htm","カテゴリC",42.293
370024,2021-02-09,"/sv/browser","カテゴリD",11.750
370024,2021-02-14,"/sv/bookkeeper?","カテゴリE",89.451
370024,2021-02-23,"/sv/help/en-us/aboutsmartviewer.htm","カテゴリC",13.827
381403,2021-02-23,"/sv/help/en-us/adminhlp/adintro.htm","カテゴリD",35.849
381403,2021-01-08,"/sv/browser","カテゴリD",20.969
381403,2021-01-08,"/sv/browser","カテゴリD",22.211
381403,2021-03-12,"/sv/bookkeeper?","カテゴリE",26.642
381403,2021-06-26,"/sv/bookkeeper?","カテゴリE",87.969
381403,2021-06-26,"/sv/help/en-us/surfhlp/browse.htm","カテゴリD",103.673
381403,2021-08-12,"/sv/viewer","カテゴリD",41.410
381403,2021-12-24,"/sv/bookkeeper?","カテゴリE",58.276
396196,2021-01-28,"/sv/browser","カテゴリD",141.643
396196,2021-01-28,"/sv/bookkeeper?","カテゴリE",59.973
396196,2021-02-04,"/sv/","カテゴリB",88.066
396196,2021-02-04,"/sv/","カテゴリB",113.318
396981,2021-09-04,"/sv/logout?","カテゴリD",178.021
396981,2021-01-07,"/sv/bookkeeper?","カテゴリE",113.331
396981,2021-01-15,"/sv/logout?","カテゴリD",105.488
396981,2021-06-23,"/sv/viewer?","カテゴリB",231.806
396981,2021-09-02,"/sv/bookkeeper?","カテゴリE",248.353
400620,2021-05-18,"/sv/client?","カテゴリF",4.402
400620,2021-05-11,"/sv/bookkeeper?","カテゴリE",91.208
400620,2021-05-11,"/sv/help/en-us/surfhlp/surftoc.htm","カテゴリC",32.606
400620,2021-05-11,"/sv/bookkeeper?","カテゴリE",11.623
