ID,DATE,TERM,利用機種,OPEREATER,comment,クレーム,機器,機能・サービス,請求,購入
1291,2024-02-10,"2月第2週","B919","MT","ネットが遅い。いつ改善されるのか。ショップで見たときはもっと速かったが、その理由は。",1,0,0,1,0
377,2024-02-10,"2月第2週","V501","MT","請求書に、かけていない通話が含まれているというクレーム。我が社の課金システムが間違うことはないのか、という質問。時々他の通話が混線することがあるが、これが課金されているのではないか。",1,0,0,1,0
1178,2024-02-10,"2月第2週","V501","MT","料金プランがわかりにくい。無料通話分がちゃんと差し引かれていないと思う。今すぐ上司と話したい。",1,0,0,1,0
2356,2024-02-10,"2月第2週","B919","MT","家族用に回線を追加したい。料金プランについて知りたい。",0,0,0,0,1
1289,2024-02-10,"2月第2週","V501","SS","調子が悪いのは、電話機のせいなのか、それともバッテリーのせいなのか、わからない。バッテリーを変えてみると言っているので、そうするように言う。それでも問題が解決されない場合は、再度こちらに電話するそう。",1,1,0,0,0
2262,2024-02-10,"2月第2週","V501","SS","HPがよくない。自分では、必要な情報が、さがせない。また、電話機もあまりよくない。",1,1,0,0,0
1206,2024-02-10,"2月第2週","B919","SS","GSMが始まるまで待てない。",0,0,0,0,0
1360,2024-02-10,"2月第2週","B919","SS","どこでサービスエリア外になるのか、わからない。HPを参照するように伝える。",0,0,0,0,0
803,2024-02-10,"2月第2週","L701","TH","電話を新しくしたが、ICチップがないのは不便。電話帳を手動で再入力しなくてはならず、これは時間の無駄。他の会社のほうがICチップがあるから便利。",1,1,0,0,0
1754,2024-02-10,"2月第2週","V501","TH","PDA付きの携帯がほしい。そのようなモデルはあるのか。",0,0,0,0,1
1378,2024-02-10,"2月第2週","B919","TH","バッテリーがもたない。言われたようにバッテリーを交換したが、まだ駄目。電話機を交換してほしい。",0,1,0,0,0
2527,2024-02-10,"2月第2週","L701","TH","請求書の見方がわからない。１分間当たりの料金を伝える。",1,1,0,0,0
3770,2024-02-10,"2月第2週","L701","TM","HPがよくない。自分では、必要な情報が、さがせない。",1,0,0,0,0
3441,2024-02-10,"2月第2週","L701","TM","我が社の電話を拾ったが、どうしたらよいか。バッテリーは切れている。また、我が社のどの部門あてに送ったらよいのか、質問。",0,0,0,0,0
1783,2024-02-10,"2月第2週","V501","TM","通話が聞こえづらい。雑音がひどい。",1,1,0,0,0
3204,2024-02-10,"2月第2週","L701","TM","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
424,2024-02-10,"2月第2週","L701","TM","着信音の変更方法が知りたい。HPを参照するように伝える。",1,0,0,1,0
2185,2024-02-10,"2月第2週","V501","TM","メールの使い方を知りたい。HPを参照するように伝える。",0,0,1,0,0
1767,2024-02-10,"2月第2週","B919","TM","トイレに携帯を落としてから、使えない。（使えたほうがおかしいが）",0,0,0,0,0
2452,2024-02-10,"2月第2週","B919","TS","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
660,2024-02-10,"2月第2週","B919","TS","電話の基本的な使い方が、わからない。ショップに行って教えてもらうように伝える。",0,1,0,0,0
726,2024-02-10,"2月第2週","V501","TS","電話がかからないことが多い。バッテリーがよくないと思う。バッテリーを交換したが、まだ駄目。",1,1,0,0,0
1219,2024-02-10,"2月第2週","L701","TS","切れた通話分の料金を払い戻してほしい。上司に転送する旨、伝える。とても態度が悪く、怒っている。うちのサービスがひどすぎて商売には使えない、と言っている。",1,0,0,0,0
2610,2024-02-10,"2月第2週","B919","YN","電話機を紛失。解約センターに電話。もう一度連絡してもらうまで、解約しないことを伝える。再度連絡予定。",0,1,0,0,0
1848,2024-02-10,"2月第2週","L701","YN","電話機の取説をなくしたので、新しいのがほしい。HPを参照するように伝える。",0,0,0,0,0
404,2024-02-10,"2月第2週","L701","YN","電話をもう１台追加契約したい。",0,0,0,0,1
2848,2024-02-10,"2月第2週","V501","YN","キャッチホンの設定をオフにしたい。HPを参照するように伝える。",0,0,1,0,0
479,2024-02-10,"2月第2週","B919","YW","HPがよくない。自分では、必要な情報が、さがせない。また、電話機もあまりよくない。",1,1,0,0,0
158,2024-02-10,"2月第2週","B919","YW","ローミングにお金がかかる理由がわからない。HPを参照するように伝える。",1,0,0,1,0
1185,2024-02-10,"2月第2週","V501","YW","請求書を他の住所に送っているのではないか。顧客DBを確認したら、ちゃんと新しい住所になっているので、なぜ届かないのか、不明。未支払いでサービスが止まり、怒っている。。。CCを利用するように勧めるが拒否される。",1,0,0,1,0
1238,2024-02-10,"2月第2週","L701","YW","電話がかからないことが多い。バッテリーがよくないと思う。バッテリーを交換したが、まだ駄目。",1,1,0,0,0
1237,2024-02-11,"2月第2週","L701","CT","広告に偽りあり、との苦情。テストをしないで製品を出している、と。",1,0,0,0,0
2714,2024-02-11,"2月第2週","B919","CT","電話をもう１台追加契約したい。",0,0,0,0,1
1287,2024-02-11,"2月第2週","B919","CT","いつからネット利用が完全無料になるか知りたい。",0,0,0,0,0
317,2024-02-11,"2月第2週","B919","CT","充電器の調子が悪い。その結果、通話ができなくなっている。今すぐ解約したい。",1,1,0,0,0
639,2024-02-11,"2月第2週","B919","HY","充電器を紛失。すぐに購入できる場所は。ショップに行くように伝える。",0,0,0,0,1
2205,2024-02-11,"2月第2週","L701","HY","インターネットサービスについて知りたい。HPを参照するように伝える。",0,0,0,0,1
2413,2024-02-11,"2月第2週","L701","HY","購入した時から、電話機が故障していたのではないか。",1,1,0,0,0
283,2024-02-11,"2月第2週","V501","HY","電話機が最悪",1,1,0,0,0
797,2024-02-11,"2月第2週","L701","JK","新しい電話機が気に入らない。前の電話機に比べて使い方が難しい。",1,1,0,0,0
2952,2024-02-11,"2月第2週","V501","JK","どこでサービスエリア外になるのか、わからない。HPを参照するように伝える。",0,0,0,0,0
73,2024-02-11,"2月第2週","V501","JK","最初からバッテリーの調子が悪い。バッテリーがよく切れるので、電話を使うことができない。これは電話機のほうの問題なのか。他のバッテリーを試せるか。HPを参照するように伝える。",1,1,0,0,0
1305,2024-02-11,"2月第2週","V501","JK","カスタマーサポートに電話がかからない。つながるまで永遠にかかる。",1,0,0,0,0
784,2024-02-11,"2月第2週","B919","KC","自宅付近での受信状態が本当にひどい。どの場所で電話が切れるのかがわかる。いつ改善されるのか。これが改善されなければ、他の携帯会社に乗り換える",1,1,0,0,0
460,2024-02-11,"2月第2週","B919","KC","住所変更",0,0,0,0,0
2445,2024-02-11,"2月第2週","B919","KC","我が社の電話を拾ったが、どうしたらよいか。バッテリーは切れている。また、我が社のどの部門あてに送ったらよいのか、質問。",0,0,0,0,0
1086,2024-02-11,"2月第2週","B919","KO","車内でアダプタで使っている時はだいじょうぶ。しかしバッテリーの性能は悪い。",0,1,0,0,0
1807,2024-02-11,"2月第2週","B919","KO","坂本という店員さんが嫌だ。",1,0,0,0,0
785,2024-02-11,"2月第2週","B919","KO","電話機の調子が悪い。なんでこんなに悪いのか。前の電話機は全然問題なかったのに、この電話機は通じない。どうしたらよいのか。こうなったら、前の電話に戻してほしい。",1,1,0,0,0
2434,2024-02-11,"2月第2週","B919","KO","間違い電話がかかってくるので、番号を変えたい。",0,0,0,0,0
2565,2024-02-11,"2月第2週","B919","MF","今週末までに、彼女用にもう１回線追加申し込みをしたい。",0,0,0,0,1
829,2024-02-11,"2月第2週","L701","MF","充電器の調子が悪い。その結果、通話ができなくなっている。今すぐ解約したい。",1,1,0,0,0
1630,2024-02-11,"2月第2週","B919","MF","カスタマーサポートがひどい。",1,0,0,0,0
2937,2024-02-11,"2月第2週","B919","MF","新しい電話機がほしい。いろいろ試したがいいものがない。もっとお金を払って新しいのに替えてもいいが、それをポイントにしてほしい。友人に、同じサービスだが違う電話機を使っている人がいるが、とてもうまくいっている。",0,0,0,0,1
3722,2024-02-11,"2月第2週","B919","MK","カスタマーサポートがひどい。",1,0,0,0,0
3794,2024-02-11,"2月第2週","B919","MK","今週末までに、もう１回線追加申し込みをしたい。お客様窓口に転送。",0,0,0,0,1
621,2024-02-11,"2月第2週","V501","MK","職場に電話が転送されない。他の機能はうまくいっているかどうか尋ねる。また、HPを参照するように伝える。",0,0,1,0,0
1882,2024-02-11,"2月第2週","B919","MK","うちの会社の営業から電話がかかってくる、という苦情。自分の個人情報が売られて、他の会社の手に渡っていると言っている。これをやめない限り、解約すると言っている。",0,0,0,0,0
1897,2024-02-11,"2月第2週","B919","MT","電話機が駄目。市内でも受信状態がひどい場所が多い。",1,0,0,0,0
3186,2024-02-11,"2月第2週","B919","MT","間違い電話がかかってくるので、番号を変えたい。",0,0,0,0,0
174,2024-02-11,"2月第2週","B919","MT","住所変更、ならびに料金プランの変更を希望。お客様窓口に転送。",0,0,0,0,0
2935,2024-02-11,"2月第2週","L701","SS","受話器がもっと大きいほうがよい。長時間だと疲れる。",1,1,0,0,0
2619,2024-02-11,"2月第2週","L701","SS","子供用に回線を追加したい。いつ営業担当から連絡がいくのか、不明。お客様は、私が連絡することを希望。",0,0,0,0,1
3596,2024-02-11,"2月第2週","V501","SS","家族用に回線を追加したい。料金プランについて知りたい。",0,0,0,0,1
1006,2024-02-11,"2月第2週","V501","TH","電話機の使い方を、教えてほしい。ショップに行って教えてもらうように伝える。",0,1,0,0,0
3415,2024-02-11,"2月第2週","V501","TH","近くのお店の場所を知りたい。付属品を購入したい。",0,0,0,0,1
844,2024-02-11,"2月第2週","L701","TH","住所変更。遠くに引っ越すので、番号が変わるのかどうか知りたい。",0,0,0,0,0
205,2024-02-11,"2月第2週","L701","TM","XVYX社のPDA付きの新しい電話がほしい。",0,0,0,0,1
3653,2024-02-11,"2月第2週","L701","TM","購入した時から、電話機が故障していたのではないか。",1,1,0,0,0
1315,2024-02-11,"2月第2週","L701","TM","電話を新しくしたが、ICチップがないのは不便。電話帳を手動で再入力しなくてはならず、これは時間の無駄。他の会社のほうがICチップがあるから便利。",1,1,0,0,0
648,2024-02-11,"2月第2週","B919","TM","受信状態がかなり悪い。すぐに改善されるのか。第３世代のほうがマシなのかどうか知りたい。",1,1,0,0,0
788,2024-02-11,"2月第2週","V501","TM","住所変更をしたいが、今の手続きはとても面倒。「セルフ●サービス」という言葉を使っているが、意味不明。また電話機が最悪、という。",1,0,0,0,0
3183,2024-02-11,"2月第2週","B919","TM","使用状況について知りたい。ローミングの有無について知りたい。ローミングの料金について知りたい。料金プランの変更を検討中。",0,0,0,1,0
1382,2024-02-11,"2月第2週","V501","TM","繰越料金プランに変えたい。他の会社の方がまし。",1,0,0,1,0
1352,2024-02-11,"2月第2週","L701","TM","新しい番号にしたい。お客様窓口に転送。",0,0,0,0,0
2429,2024-02-11,"2月第2週","L701","TS","新しい電話機がほしい。いろいろ試したがいいものがない。もっとお金を払って新しいのに替えてもいいが、それをポイントにしてほしい。友人に、同じサービスだが違う電話機を使っている人がいるが、とてもうまくいっている。",0,0,0,0,1
1844,2024-02-11,"2月第2週","V501","TS","高速道路上以外では、受信状態がよくない。いつこの問題が解決されるのか知りたい。",1,1,0,0,0
36,2024-02-11,"2月第2週","B919","TS","初めからバッテリーの調子が悪い。今すぐ新しい電話器がほしい。",0,0,1,0,0
1886,2024-02-11,"2月第2週","V501","TS","インターネットの接続状況が不満。他社に比べて料金が高い。いつ値下げするのか。あるいは長時間使用する人用のオプションはあるのか。",1,1,0,1,0
3232,2024-02-11,"2月第2週","V501","YN","新しい着替えパネルがほしい。",0,0,0,0,1
1678,2024-02-11,"2月第2週","L701","YN","今週末までに、奥さん用に新しい回線がほしい。",0,0,0,0,1
1274,2024-02-11,"2月第2週","V501","YN","かけていない電話が、請求されている気がする。",1,0,0,1,0
3654,2024-02-11,"2月第2週","L701","YN","電波が弱い。バッテリーを交換しても駄目。",1,1,0,0,0
756,2024-02-11,"2月第2週","B919","YW","携帯が最悪。",1,1,0,0,0
554,2024-02-11,"2月第2週","V501","YW","充電しても、２、３回通話しただけでなくなってしまう。言われたとおりバッテリーを交換したが、まだ駄目。",1,1,0,0,0
2428,2024-02-11,"2月第2週","L701","YW","電話機が駄目。こんなものを売っている理由がわからない。ショップに行くように伝えたが、とにかく新しい電話機を送ってくれとのこと。3399モデルは時間の無駄。",1,1,0,0,0
1604,2024-02-11,"2月第2週","V501","YW","ある場所に来るたびに電話が通じなくなる。サービスエリア内でも全部カバーできているわけではないことを説明する。そんなことは契約時に説明されなかったという。いつになったら、どこでも通じるようになるのか、知りたい。",0,1,0,0,0
3643,2024-02-12,"2月第2週","L701","CT","インターネットサービスについて知りたい。HPを参照するように伝える。",0,0,0,0,1
332,2024-02-12,"2月第2週","V501","CT","住所変更。遠くに引っ越すので、番号が変わるのかどうか知りたい。",0,0,0,0,0
1225,2024-02-12,"2月第2週","B919","CT","近くのお店の場所を知りたい。付属品を購入したい。",0,0,0,0,1
1769,2024-02-12,"2月第2週","B919","CT","電波が弱い。バッテリーを交換しても駄目。",1,1,0,0,0
2189,2024-02-12,"2月第2週","B919","CT","メールの使い方を知りたい。HPを参照するように伝える。",0,0,1,0,0
1503,2024-02-12,"2月第2週","V501","HY","HPがよくない。自分では、必要な情報が、さがせない。また、電話機もあまりよくない。",1,1,0,0,0
802,2024-02-12,"2月第2週","B919","HY","調子が悪いのは、電話機のせいなのか、それともバッテリーのせいなのか、わからない。",1,1,0,0,0
967,2024-02-12,"2月第2週","B919","HY","新しい料金プランについて知りたい。すぐに解約の可能性大。無料通話分を増やしたい。",0,0,0,1,0
2207,2024-02-12,"2月第2週","B919","HY","インターネットサービスについて知りたい。HPを参照するように伝える。",0,0,0,0,1
349,2024-02-12,"2月第2週","V501","HY","電話機が最悪",1,1,0,0,0
2681,2024-02-12,"2月第2週","B919","JK","LAやNYでのサービスエリアについて知りたい。旅行中につながらなくならないか、心配。",1,1,0,0,0
2751,2024-02-12,"2月第2週","B919","JK","家族割引を利用したい。お客様窓口に転送。",0,0,1,0,1
1645,2024-02-12,"2月第2週","B919","JK","職場に電話が転送されない。他の機能はうまくいっているかどうか尋ねる。また、HPを参照するように伝える。",0,0,1,0,0
3550,2024-02-12,"2月第2週","L701","JK","今週末までに、もう１回線追加申し込みをしたい。お客様窓口に転送。",0,0,0,0,1
1078,2024-02-12,"2月第2週","B919","JK","カスタマーサポートをもっと改善してほしい。",1,0,0,0,0
461,2024-02-12,"2月第2週","B919","KC","住所変更",0,0,0,0,0
3671,2024-02-12,"2月第2週","L701","KC","使用状況について知りたい。ローミングの有無について知りたい。ローミングの料金について知りたい。料金プランの変更を検討中。",0,0,0,1,0
2845,2024-02-12,"2月第2週","B919","KC","キャッチホンの設定をオフにしたい。HPを参照するように伝える。",0,0,1,0,0
3721,2024-02-12,"2月第2週","V501","KC","カスタマーサポートがひどい。",1,0,0,0,0
968,2024-02-12,"2月第2週","B919","KC","新しい料金プランについて知りたい。すぐに解約の可能性大。無料通話分を増やしたい。",0,0,0,1,0
247,2024-02-12,"2月第2週","B919","KC","通話が聞こえづらい。雑音がひどい。",1,1,0,0,0
3317,2024-02-12,"2月第2週","L701","KO","今週末までに、彼女用にもう１回線追加申し込みをしたい。",0,0,0,0,1
2409,2024-02-12,"2月第2週","L701","KO","PDA付きの携帯がほしい。そのようなモデルはあるのか。",0,0,0,0,1
335,2024-02-12,"2月第2週","B919","KO","電話がかからないことが多い。バッテリーがよくないと思う。",1,1,0,0,0
1008,2024-02-12,"2月第2週","L701","KO","電話機の使い方を、教えてほしい。ショップに行って教えてもらうように伝える。",0,1,0,0,0
607,2024-02-12,"2月第2週","B919","KO","新しい番号にしたい。お客様窓口に転送。",0,0,0,0,0
1279,2024-02-12,"2月第2週","V501","MF","受話器がもっと大きいほうがよい。長時間だと疲れる。",1,1,0,0,0
3125,2024-02-12,"2月第2週","V501","MF","今週末までに、奥さん用に新しい回線がほしい。",0,0,0,0,1
2775,2024-02-12,"2月第2週","V501","MF","HPがよくない。自分では、必要な情報が、さがせない。また、電話機もあまりよくない。",1,1,0,0,0
2159,2024-02-12,"2月第2週","B919","MF","電話機が駄目。こんなものを売っている理由がわからない。ショップに行くように伝えたが、とにかく新しい電話機を送ってくれとのこと。3399モデルは時間の無駄。",1,1,0,0,0
3676,2024-02-12,"2月第2週","B919","MF","電話機の取説をなくしたので、新しいのがほしい。HPを参照するように伝える。",0,0,0,0,0
508,2024-02-12,"2月第2週","B919","MK","電話の基本的な使い方が、わからない。ショップに行って教えてもらうように伝える。",0,1,0,0,0
1918,2024-02-12,"2月第2週","V501","MK","他社は料金が安くて、契約期間のないものがある。今の契約をすぐ破棄したい。",1,0,0,1,0
1872,2024-02-12,"2月第2週","V501","MK","どこでサービスエリア外になるのか、わからない。HPを参照するように伝える。",0,0,0,0,0
3108,2024-02-12,"2月第2週","B919","MK","家族用に回線を追加したい。料金プランについて知りたい。",0,0,0,0,1
1356,2024-02-12,"2月第2週","B919","MK","住所変更。遠くに引っ越すので、番号が変わるのかどうか知りたい。",0,0,0,0,0
1915,2024-02-12,"2月第2週","V501","MT","他社は料金が安くて、契約期間のないものがある。今の契約をすぐ破棄したい。",1,0,0,1,0
536,2024-02-12,"2月第2週","B919","MT","キャッチホンの設定をオフにしたい。HPを参照するように伝える。",0,0,1,0,0
3409,2024-02-12,"2月第2週","B919","MT","購入した時から、電話機が故障していたのではないか。",1,1,0,0,0
312,2024-02-12,"2月第2週","B919","MT","電話機の取説をなくしたので、新しいのがほしい。HPを参照するように伝える。",0,0,0,0,0
288,2024-02-12,"2月第2週","B919","MT","すぐに上司に転送",0,0,0,0,0
142,2024-02-12,"2月第2週","L701","MT","今週末までに、奥さん用に新しい回線がほしい。",0,0,0,0,1
86,2024-02-12,"2月第2週","L701","SS","XVYX社のPDA付きの新しい電話がほしい。",0,0,0,0,1
1911,2024-02-12,"2月第2週","L701","SS","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
3414,2024-02-12,"2月第2週","L701","SS","近くのお店の場所を知りたい。付属品を購入したい。",0,0,0,0,1
285,2024-02-12,"2月第2週","B919","SS","新しい電話機が気に入らない。前の電話機に比べて使い方が難しい。",1,1,0,0,0
1151,2024-02-12,"2月第2週","B919","SS","充電器を紛失。すぐに購入できる場所は。ショップに行くように伝える。",0,0,0,0,1
592,2024-02-12,"2月第2週","L701","SS","新しい番号にしたい。お客様窓口に転送。",0,0,0,0,0
341,2024-02-12,"2月第2週","B919","SS","電話機が最悪",1,1,0,0,0
422,2024-02-12,"2月第2週","B919","TH","着信音の変更方法が知りたい。HPを参照するように伝える。",1,0,0,1,0
1442,2024-02-12,"2月第2週","V501","TH","新しい着替えパネルがほしい。",0,0,0,0,1
2752,2024-02-12,"2月第2週","B919","TH","家族割引を利用したい。お客様窓口に転送。",0,0,1,0,1
2912,2024-02-12,"2月第2週","V501","TH","電話をもう１台追加契約したい。",0,0,0,0,1
306,2024-02-12,"2月第2週","B919","TH","高速道路上以外では、受信状態がよくない。いつこの問題が解決されるのか知りたい。",1,1,0,0,0
3352,2024-02-12,"2月第2週","L701","TH","家族用に回線を追加したい。料金プランについて知りたい。",0,0,0,0,1
807,2024-02-12,"2月第2週","B919","TM","調子が悪いのは、電話機のせいなのか、それともバッテリーのせいなのか、わからない。",1,1,0,0,0
220,2024-02-12,"2月第2週","L701","TM","電話機の性能がほんとうに悪い。自宅付近だとほとんど何も聞こえない。",1,1,0,0,0
2953,2024-02-12,"2月第2週","B919","TM","我が社の電話を拾ったが、どうしたらよいか。バッテリーは切れている。また、我が社のどの部門あてに送ったらよいのか、質問。",0,0,0,0,0
1244,2024-02-12,"2月第2週","V501","TM","電話機の性能がほんとうに悪い。自宅付近だとほとんど何も聞こえない。",1,1,0,0,0
2186,2024-02-12,"2月第2週","L701","TM","メールの使い方を知りたい。HPを参照するように伝える。",0,0,1,0,0
1451,2024-02-12,"2月第2週","B919","TM","着信音の変更方法が知りたい。HPを参照するように伝える。",1,0,0,1,0
2671,2024-02-12,"2月第2週","V501","TM","受話器がもっと大きいほうがよい。長時間だと疲れる。",1,1,0,0,0
3526,2024-02-12,"2月第2週","B919","TM","HPがよくない。自分では、必要な情報が、さがせない。",1,0,0,0,0
1344,2024-02-12,"2月第2週","B919","TM","充電器の調子が悪い。その結果、通話ができなくなっている。今すぐ解約したい。",1,1,0,0,0
1171,2024-02-12,"2月第2週","B919","TM","電話の基本的な使い方が、わからない。ショップに行って教えてもらうように伝える。",0,1,0,0,0
801,2024-02-12,"2月第2週","V501","TS","使用状況について知りたい。ローミングの有無について知りたい。ローミングの料金について知りたい。料金プランの変更を検討中。",0,0,0,1,0
2267,2024-02-12,"2月第2週","B919","TS","HPがよくない。自分では、必要な情報が、さがせない。",1,0,0,0,0
38,2024-02-12,"2月第2週","B919","TS","初めからバッテリーの調子が悪い。今すぐ新しい電話器がほしい。",0,0,1,0,0
2978,2024-02-12,"2月第2週","B919","TS","電話をもう１台追加契約したい。",0,0,0,0,1
1821,2024-02-12,"2月第2週","L701","TS","新しい電話機が気に入らない。前の電話機に比べて使い方が難しい。",1,1,0,0,0
1322,2024-02-12,"2月第2週","L701","YN","間違い電話がかかってくるので、番号を変えたい。",0,0,0,0,0
887,2024-02-12,"2月第2週","L701","YN","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
2526,2024-02-12,"2月第2週","B919","YN","請求書の見方がわからない。１分間当たりの料金を伝える。",1,1,0,0,0
1484,2024-02-12,"2月第2週","B919","YN","住所変更",0,0,0,0,0
1384,2024-02-12,"2月第2週","B919","YN","電話機が駄目。市内でも受信状態がひどい場所が多い。",1,0,0,0,0
1896,2024-02-12,"2月第2週","L701","YW","電話機が駄目。市内でも受信状態がひどい場所が多い。",1,0,0,0,0
1660,2024-02-12,"2月第2週","V501","YW","電話機を紛失。解約センターに電話。もう一度連絡してもらうまで、解約しないことを伝える。再度連絡予定。",0,1,0,0,0
3145,2024-02-12,"2月第2週","B919","YW","今週末までに、もう１回線追加申し込みをしたい。お客様窓口に転送。",0,0,0,0,1
270,2024-02-12,"2月第2週","V501","YW","新しい電話機がほしい。いろいろ試したがいいものがない。もっとお金を払って新しいのに替えてもいいが、それをポイントにしてほしい。友人に、同じサービスだが違う電話機を使っている人がいるが、とてもうまくいっている。",0,0,0,0,1
3769,2024-02-12,"2月第2週","V501","YW","請求書の見方がわからない。１分間当たりの料金を伝える。",1,1,0,0,0
1806,2024-02-13,"2月第3週","L701","CT","新しい電話機がほしい。いろいろ試したがいいものがない。もっとお金を払って新しいのに替えてもいいが、それをポイントにしてほしい。友人に、同じサービスだが違う電話機を使っている人がいるが、とてもうまくいっている。",0,0,0,0,1
718,2024-02-13,"2月第3週","B919","CT","電話をもう１台追加契約したい。",0,0,0,0,1
2183,2024-02-13,"2月第3週","B919","CT","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
3768,2024-02-13,"2月第3週","L701","CT","請求書の見方がわからない。１分間当たりの料金を伝える。",1,1,0,0,0
2097,2024-02-13,"2月第3週","V501","CT","電話機を紛失。解約センターに電話。もう一度連絡してもらうまで、解約しないことを伝える。再度連絡予定。",0,1,0,0,0
1248,2024-02-13,"2月第3週","L701","CT","電話機の性能がほんとうに悪い。自宅付近だとほとんど何も聞こえない。",1,1,0,0,0
1438,2024-02-13,"2月第3週","L701","HY","新しい着替えパネルがほしい。",0,0,0,0,1
2473,2024-02-13,"2月第3週","B919","HY","インターネットサービスについて知りたい。HPを参照するように伝える。",0,0,0,0,1
1009,2024-02-13,"2月第3週","V501","HY","電話機の使い方を、教えてほしい。ショップに行って教えてもらうように伝える。",0,1,0,0,0
767,2024-02-13,"2月第3週","L701","HY","受話器がもっと大きいほうがよい。長時間だと疲れる。",1,1,0,0,0
3348,2024-02-13,"2月第3週","L701","HY","職場に電話が転送されない。他の機能はうまくいっているかどうか尋ねる。また、HPを参照するように伝える。",0,0,1,0,0
1399,2024-02-13,"2月第3週","L701","HY","家族割引プランについてもっと知りたい。また、発信電話番号表示サービスについて質問。",0,0,0,1,1
1906,2024-02-13,"2月第3週","V501","JK","電話機が駄目。市内でも受信状態がひどい場所が多い。",1,0,0,0,0
