CUSTID,購入金額合計,クリーム,クレンジング,ネイル,ベースメイク,メイクアップ,化粧水,年代,入会後年数,顧客評価
100127,46739,0.050,0.113,0.087,0.391,0.131,0.227,"20代",7,"MrankB"
100130,59863,0.023,0.244,0.136,0.221,0.347,0.030,"20代",12,"MrankC"
100135,23811,0.000,0.130,0.136,0.344,0.000,0.391,"40代",2,"MrankB"
100137,21546,0.000,0.000,0.191,0.443,0.083,0.284,"40代",9,"MrankB"
100138,40984,0.146,0.656,0.000,0.170,0.027,0.000,"40代",7,"MrankB"
100144,19600,0.106,0.000,0.000,0.000,0.894,0.000,"30代",10,"MrankA"
100145,10120,0.187,0.000,0.301,0.000,0.512,0.000,"40代",4,"MrankA"
100146,41735,0.139,0.000,0.679,0.028,0.000,0.154,"50代",8,"MrankC"
100147,10217,0.000,0.000,0.325,0.675,0.000,0.000,"30代",9,"MrankA"
100149,14640,0.000,0.000,0.000,0.000,1.000,0.000,"40代",2,"MrankC"
100150,24689,0.000,0.087,0.000,0.913,0.000,0.000,"30代",9,"MrankA"
100151,12012,0.000,0.000,0.291,0.709,0.000,0.000,"30代",6,"MrankC"
100152,18942,0.000,0.000,0.245,0.662,0.000,0.093,"20代",6,"MrankC"
100154,26670,0.308,0.131,0.063,0.338,0.000,0.160,"30代",4,"MrankB"
100160,4948,0.242,0.000,0.000,0.758,0.000,0.000,"50代",2,"MrankB"
100161,21134,0.000,0.000,0.000,0.221,0.480,0.298,"50代",6,"MrankC"
100162,29389,0.000,0.161,0.333,0.101,0.404,0.000,"40代",5,"MrankB"
100163,22875,0.000,0.061,0.171,0.257,0.365,0.145,"20代",6,"MrankC"
100165,104344,0.401,0.250,0.107,0.031,0.131,0.080,"30代",12,"MrankB"
100167,24435,0.000,0.000,0.126,0.564,0.000,0.310,"50代",5,"MrankB"
100168,69534,0.000,0.000,0.239,0.561,0.087,0.113,"50代",8,"MrankB"
100169,19207,0.000,0.000,0.000,0.897,0.000,0.103,"50代",12,"MrankB"
100170,87163,0.031,0.225,0.517,0.000,0.023,0.204,"40代",8,"MrankB"
100171,29172,0.098,0.177,0.054,0.128,0.496,0.047,"40代",4,"MrankC"
100176,13115,0.000,0.740,0.260,0.000,0.000,0.000,"30代",9,"MrankC"
100177,27186,0.141,0.053,0.000,0.455,0.242,0.110,"50代",4,"MrankC"
100181,127963,0.021,0.000,0.392,0.550,0.037,0.000,"50代",8,"MrankC"
100182,3445,0.000,0.454,0.000,0.000,0.546,0.000,"50代",6,"MrankC"
100184,44804,0.115,0.408,0.380,0.037,0.000,0.060,"40代",10,"MrankC"
100185,11580,0.000,0.000,0.000,1.000,0.000,0.000,"50代",12,"MrankB"
100186,38767,0.000,0.052,0.072,0.799,0.077,0.000,"20代",4,"MrankB"
100188,4680,0.000,0.000,0.000,0.274,0.000,0.726,"30代",12,"MrankC"
100190,18420,0.000,0.000,0.814,0.186,0.000,0.000,"20代",7,"MrankC"
100192,55122,0.287,0.000,0.569,0.091,0.054,0.000,"30代",3,"MrankC"
100193,79882,0.000,0.000,0.524,0.476,0.000,0.000,"40代",2,"MrankC"
100194,11436,0.000,0.000,0.000,0.766,0.234,0.000,"40代",4,"MrankB"
100196,10800,0.000,0.000,0.000,0.741,0.259,0.000,"50代",7,"MrankB"
100197,11307,0.000,0.000,0.000,1.000,0.000,0.000,"40代",4,"MrankC"
100198,69936,0.000,0.679,0.000,0.000,0.267,0.054,"50代",12,"MrankC"
100199,57725,0.000,0.000,0.000,0.000,1.000,0.000,"30代",6,"MrankB"
100200,53856,0.217,0.027,0.000,0.361,0.020,0.375,"30代",3,"MrankC"
100201,29452,0.000,0.219,0.088,0.475,0.000,0.219,"40代",1,"MrankA"
100204,80590,0.000,0.000,0.395,0.502,0.102,0.000,"40代",10,"MrankB"
100206,21976,0.000,0.335,0.106,0.452,0.000,0.106,"50代",11,"MrankA"
100208,7008,0.000,0.000,0.000,0.000,0.289,0.711,"20代",12,"MrankA"
100209,24481,0.135,0.088,0.662,0.000,0.000,0.116,"30代",10,"MrankC"
100211,23068,0.000,0.052,0.000,0.393,0.000,0.555,"40代",1,"MrankC"
100212,29611,0.000,0.000,0.355,0.645,0.000,0.000,"30代",10,"MrankA"
100213,7410,0.000,0.162,0.000,0.372,0.199,0.267,"30代",8,"MrankC"
100217,28927,0.328,0.250,0.175,0.154,0.052,0.041,"20代",12,"MrankC"
100218,56108,0.000,0.000,0.258,0.568,0.024,0.149,"20代",3,"MrankB"
100220,22148,0.000,0.000,0.000,0.718,0.000,0.282,"30代",2,"MrankC"
100221,21724,0.081,0.000,0.175,0.744,0.000,0.000,"50代",1,"MrankC"
100223,26679,0.000,0.000,0.221,0.269,0.510,0.000,"20代",12,"MrankB"
100224,41959,0.000,0.105,0.000,0.000,0.857,0.038,"30代",9,"MrankC"
100226,79774,0.042,0.000,0.000,0.538,0.286,0.134,"40代",11,"MrankC"
100227,84165,0.000,0.020,0.000,0.105,0.000,0.875,"20代",7,"MrankB"
100228,15997,0.000,0.000,0.321,0.000,0.679,0.000,"40代",10,"MrankC"
100230,10548,0.000,0.000,0.423,0.577,0.000,0.000,"30代",7,"MrankB"
100231,59182,0.000,0.000,0.501,0.240,0.034,0.225,"20代",9,"MrankB"
100233,5540,0.000,0.000,0.000,0.357,0.643,0.000,"40代",6,"MrankB"
100234,87546,0.377,0.478,0.016,0.000,0.108,0.021,"20代",6,"MrankC"
100238,45724,0.000,0.000,0.442,0.221,0.337,0.000,"40代",8,"MrankC"
100239,114027,0.000,0.154,0.043,0.506,0.271,0.025,"50代",4,"MrankB"
100240,153393,0.000,0.000,0.140,0.000,0.860,0.000,"40代",1,"MrankC"
100241,14220,0.000,0.000,0.076,0.000,0.139,0.785,"40代",7,"MrankB"
100242,28980,0.000,0.000,0.000,0.863,0.137,0.000,"20代",4,"MrankB"
100243,60919,0.057,0.020,0.184,0.394,0.264,0.081,"20代",10,"MrankC"
100244,14190,0.000,1.000,0.000,0.000,0.000,0.000,"30代",2,"MrankC"
100248,13293,0.102,0.000,0.810,0.088,0.000,0.000,"50代",8,"MrankC"
100249,17190,0.000,0.000,0.000,0.104,0.000,0.896,"20代",9,"MrankB"
100251,25310,0.000,0.000,0.380,0.620,0.000,0.000,"40代",6,"MrankA"
100252,19149,0.000,0.230,0.000,0.562,0.208,0.000,"50代",12,"MrankC"
100253,68916,0.000,0.000,0.342,0.087,0.570,0.000,"50代",6,"MrankB"
100255,7237,0.000,0.000,0.000,1.000,0.000,0.000,"30代",8,"MrankC"
100258,11022,0.000,0.697,0.303,0.000,0.000,0.000,"20代",12,"MrankC"
100261,58162,0.000,0.000,0.036,0.038,0.904,0.022,"40代",9,"MrankB"
100263,42251,0.000,0.000,0.406,0.594,0.000,0.000,"30代",10,"MrankA"
100265,28371,0.067,0.346,0.115,0.225,0.247,0.000,"50代",10,"MrankB"
100266,22517,0.000,0.000,0.138,0.658,0.095,0.109,"20代",2,"MrankC"
100268,64604,0.038,0.140,0.056,0.169,0.219,0.378,"40代",6,"MrankC"
100270,16205,0.000,0.000,0.486,0.331,0.110,0.073,"30代",8,"MrankC"
100272,5690,0.000,0.490,0.000,0.510,0.000,0.000,"20代",11,"MrankB"
100273,13725,0.000,0.000,0.721,0.000,0.000,0.279,"30代",6,"MrankB"
100278,37681,0.246,0.561,0.000,0.000,0.194,0.000,"30代",6,"MrankC"
100280,92195,0.062,0.000,0.042,0.162,0.692,0.041,"40代",1,"MrankC"
100281,33751,0.340,0.186,0.000,0.359,0.115,0.000,"50代",6,"MrankC"
100282,12760,0.000,0.704,0.000,0.296,0.000,0.000,"50代",6,"MrankC"
100285,22217,0.000,0.000,0.054,0.209,0.000,0.737,"30代",8,"MrankB"
100287,26744,0.000,0.000,0.131,0.281,0.100,0.488,"40代",10,"MrankC"
100290,107490,0.000,0.000,0.000,0.975,0.000,0.025,"20代",12,"MrankC"
100293,23002,0.000,0.000,0.282,0.660,0.000,0.059,"50代",8,"MrankC"
100296,17360,0.000,0.000,0.816,0.184,0.000,0.000,"50代",8,"MrankC"
100297,68319,0.180,0.018,0.031,0.626,0.108,0.037,"40代",3,"MrankC"
100299,21521,0.000,0.000,0.499,0.164,0.000,0.337,"30代",9,"MrankB"
100301,18462,0.000,0.308,0.000,0.196,0.350,0.146,"20代",8,"MrankC"
100302,18027,0.000,0.000,0.000,0.753,0.247,0.000,"30代",11,"MrankC"
100303,43065,0.000,0.033,0.186,0.462,0.055,0.263,"40代",2,"MrankB"
100304,29750,0.093,0.361,0.174,0.127,0.000,0.246,"20代",3,"MrankA"
100308,16170,0.000,1.000,0.000,0.000,0.000,0.000,"30代",1,"MrankC"
100310,14505,0.000,0.000,0.712,0.000,0.288,0.000,"30代",2,"MrankC"
100311,29802,0.000,0.237,0.000,0.763,0.000,0.000,"20代",12,"MrankB"
100312,34960,0.041,0.000,0.000,0.481,0.478,0.000,"40代",5,"MrankB"
100313,18050,0.000,0.247,0.000,0.753,0.000,0.000,"50代",1,"MrankC"
100314,9363,0.000,0.000,1.000,0.000,0.000,0.000,"40代",6,"MrankB"
100321,28160,0.000,0.000,0.000,0.000,0.461,0.539,"30代",5,"MrankC"
100322,28198,0.000,0.038,0.000,0.326,0.248,0.388,"40代",1,"MrankB"
100323,25437,0.000,0.255,0.110,0.369,0.266,0.000,"40代",4,"MrankB"
100326,31222,0.000,0.000,0.000,0.256,0.653,0.092,"50代",3,"MrankA"
100327,11673,0.124,0.000,0.000,0.492,0.000,0.384,"50代",2,"MrankC"
100328,58440,0.000,0.000,0.185,0.599,0.216,0.000,"50代",11,"MrankB"
100329,23555,0.082,0.156,0.000,0.241,0.000,0.521,"50代",6,"MrankC"
100331,28806,0.089,0.116,0.113,0.466,0.216,0.000,"20代",12,"MrankC"
100332,9160,0.000,0.000,0.000,0.000,0.000,1.000,"30代",3,"MrankB"
100334,23918,0.282,0.245,0.259,0.000,0.164,0.050,"30代",10,"MrankB"
100335,19395,0.944,0.000,0.000,0.000,0.000,0.056,"40代",12,"MrankB"
100337,134974,0.000,0.000,0.469,0.045,0.486,0.000,"50代",1,"MrankC"
100340,20780,0.241,0.000,0.050,0.441,0.000,0.268,"50代",1,"MrankC"
100342,86419,0.000,0.073,0.120,0.177,0.630,0.000,"20代",12,"MrankC"
100344,26788,0.000,0.000,0.000,0.711,0.110,0.179,"40代",9,"MrankC"
100345,25361,0.091,0.000,0.336,0.318,0.000,0.255,"50代",5,"MrankB"
100346,83152,0.000,0.000,0.089,0.227,0.684,0.000,"40代",7,"MrankC"
100349,17411,0.000,0.000,0.099,0.396,0.189,0.316,"40代",6,"MrankB"
100353,44767,0.066,0.000,0.000,0.195,0.399,0.340,"40代",6,"MrankC"
100355,42457,0.000,0.254,0.000,0.273,0.379,0.094,"30代",7,"MrankA"
100357,13833,0.000,0.000,0.000,0.760,0.152,0.088,"40代",12,"MrankC"
100358,56512,0.000,0.000,0.000,0.955,0.000,0.045,"50代",8,"MrankC"
100360,48978,0.219,0.096,0.085,0.370,0.230,0.000,"30代",7,"MrankC"
100361,32503,0.087,0.000,0.703,0.167,0.043,0.000,"30代",11,"MrankC"
100362,30594,0.000,0.592,0.000,0.000,0.408,0.000,"20代",4,"MrankB"
100366,9900,0.000,0.000,0.000,1.000,0.000,0.000,"20代",2,"MrankB"
100367,20822,0.000,0.426,0.000,0.433,0.000,0.141,"50代",7,"MrankA"
100368,10808,0.000,0.000,0.000,0.282,0.718,0.000,"50代",11,"MrankC"
100369,12532,0.000,0.000,0.000,1.000,0.000,0.000,"30代",12,"MrankB"
100370,66765,0.000,0.322,0.052,0.074,0.407,0.145,"30代",9,"MrankB"
100371,47280,0.149,0.000,0.000,0.215,0.240,0.396,"40代",3,"MrankA"
100372,16240,0.000,0.000,0.000,0.456,0.544,0.000,"40代",3,"MrankC"
100373,34358,0.000,0.000,0.325,0.160,0.440,0.075,"20代",2,"MrankB"
100377,23478,0.000,0.000,0.189,0.000,0.518,0.293,"50代",12,"MrankC"
100378,30152,0.483,0.000,0.159,0.358,0.000,0.000,"30代",4,"MrankA"
100380,32340,0.147,0.069,0.246,0.205,0.333,0.000,"40代",6,"MrankA"
100381,36140,0.490,0.000,0.000,0.044,0.467,0.000,"30代",2,"MrankB"
100382,44818,0.058,0.368,0.050,0.399,0.055,0.069,"20代",4,"MrankB"
100384,18166,0.000,0.063,0.169,0.000,0.768,0.000,"50代",10,"MrankC"
100389,109342,0.000,0.000,0.239,0.630,0.091,0.040,"40代",3,"MrankC"
100390,1235,0.000,0.000,0.000,1.000,0.000,0.000,"50代",1,"MrankB"
100393,15440,0.211,0.000,0.356,0.259,0.174,0.000,"30代",9,"MrankB"
100395,3348,0.000,0.409,0.000,0.000,0.000,0.591,"20代",10,"MrankC"
100396,38839,0.000,0.000,0.304,0.000,0.696,0.000,"30代",5,"MrankC"
100397,17077,0.000,0.092,0.191,0.203,0.220,0.294,"20代",9,"MrankC"
100399,37779,0.038,0.763,0.000,0.045,0.154,0.000,"50代",7,"MrankC"
100400,64899,0.100,0.075,0.247,0.486,0.000,0.092,"20代",9,"MrankC"
100402,2375,0.000,0.000,0.000,0.000,0.000,1.000,"40代",8,"MrankB"
100403,161085,0.111,0.014,0.000,0.851,0.000,0.025,"30代",6,"MrankA"
100405,95220,0.912,0.000,0.000,0.054,0.000,0.034,"50代",3,"MrankC"
100406,88631,0.000,0.059,0.056,0.286,0.557,0.042,"40代",11,"MrankA"
100408,46914,0.450,0.000,0.000,0.465,0.085,0.000,"40代",2,"MrankA"
100409,71561,0.119,0.114,0.238,0.215,0.117,0.197,"50代",5,"MrankC"
100410,34523,0.000,0.000,0.041,0.355,0.000,0.605,"40代",8,"MrankA"
100415,126704,0.103,0.039,0.226,0.083,0.549,0.000,"40代",6,"MrankC"
100416,80711,0.071,0.048,0.000,0.307,0.506,0.068,"50代",4,"MrankC"
100417,25397,0.000,0.232,0.399,0.121,0.248,0.000,"50代",12,"MrankC"
100418,19124,0.000,0.101,0.000,0.179,0.624,0.096,"50代",11,"MrankB"
100419,24023,0.000,0.443,0.116,0.057,0.327,0.057,"30代",2,"MrankA"
100421,16530,0.000,0.000,0.245,0.755,0.000,0.000,"40代",3,"MrankC"
100422,18704,0.000,0.489,0.129,0.000,0.101,0.281,"30代",4,"MrankB"
100426,24825,0.000,0.000,0.421,0.000,0.579,0.000,"20代",7,"MrankC"
100447,35457,0.000,0.000,0.000,0.045,0.955,0.000,"20代",4,"MrankA"
100448,27900,0.000,0.000,0.000,0.320,0.289,0.392,"40代",7,"MrankC"
100449,22600,0.585,0.271,0.000,0.000,0.057,0.088,"50代",7,"MrankB"
100450,10686,0.000,0.000,0.364,0.095,0.167,0.374,"30代",2,"MrankC"
100452,10902,0.000,0.000,0.450,0.550,0.000,0.000,"40代",9,"MrankC"
100454,74035,0.049,0.000,0.309,0.077,0.319,0.246,"30代",11,"MrankC"
100456,1080,0.000,0.000,0.000,0.000,0.000,1.000,"30代",11,"MrankB"
100459,91224,0.021,0.084,0.218,0.612,0.000,0.065,"20代",8,"MrankB"
100461,58377,0.184,0.155,0.081,0.501,0.079,0.000,"50代",11,"MrankC"
100463,22520,0.000,0.000,0.000,0.309,0.342,0.349,"50代",2,"MrankC"
100464,55058,0.378,0.000,0.168,0.283,0.171,0.000,"40代",7,"MrankC"
100467,14261,0.000,0.000,0.000,1.000,0.000,0.000,"50代",2,"MrankA"
100468,21188,0.000,0.455,0.000,0.000,0.545,0.000,"40代",10,"MrankB"
100469,18320,0.291,0.000,0.069,0.396,0.000,0.245,"30代",4,"MrankB"
100474,25316,0.000,0.134,0.055,0.356,0.000,0.454,"20代",9,"MrankB"
100475,81000,0.019,0.000,0.021,0.770,0.098,0.092,"50代",12,"MrankB"
100480,14099,0.000,0.000,0.000,0.000,1.000,0.000,"50代",8,"MrankC"
100482,30456,0.060,0.000,0.106,0.254,0.056,0.524,"40代",1,"MrankB"
100484,36738,0.332,0.119,0.000,0.190,0.000,0.360,"30代",3,"MrankC"
100486,21562,0.000,0.000,0.000,0.720,0.060,0.220,"50代",7,"MrankC"
100487,61709,0.166,0.098,0.000,0.285,0.000,0.451,"30代",3,"MrankC"
100488,21278,0.000,0.000,0.000,1.000,0.000,0.000,"30代",9,"MrankC"
100489,26187,0.000,0.000,0.367,0.633,0.000,0.000,"40代",3,"MrankB"
100490,14998,0.000,0.359,0.000,0.330,0.310,0.000,"50代",8,"MrankC"
100491,11914,0.000,0.000,0.000,1.000,0.000,0.000,"30代",2,"MrankC"
100493,25079,0.063,0.251,0.000,0.685,0.000,0.000,"20代",11,"MrankB"
100494,66460,0.198,0.235,0.068,0.269,0.192,0.038,"40代",11,"MrankB"
100497,26693,0.146,0.160,0.112,0.247,0.000,0.335,"30代",2,"MrankB"
100498,22140,0.000,0.706,0.000,0.000,0.294,0.000,"20代",1,"MrankB"
100499,15256,0.000,0.174,0.085,0.436,0.211,0.094,"50代",3,"MrankC"
100500,10560,0.000,0.000,0.000,0.097,0.750,0.153,"20代",1,"MrankB"
100501,68156,0.022,0.031,0.139,0.451,0.293,0.064,"40代",5,"MrankB"
100507,64794,0.076,0.462,0.065,0.243,0.112,0.042,"30代",11,"MrankA"
100508,15404,0.000,0.000,0.107,0.616,0.000,0.277,"40代",4,"MrankB"
100510,33982,0.032,0.055,0.094,0.176,0.321,0.323,"50代",4,"MrankC"
100511,51759,0.160,0.125,0.139,0.576,0.000,0.000,"30代",2,"MrankA"
100513,38012,0.107,0.000,0.207,0.434,0.000,0.253,"20代",2,"MrankC"
100514,42697,0.064,0.340,0.432,0.034,0.000,0.130,"50代",8,"MrankB"
100515,27360,0.000,0.000,0.000,0.000,1.000,0.000,"40代",2,"MrankB"
100522,29000,0.000,0.000,0.000,0.000,0.000,1.000,"20代",8,"MrankC"
100525,19793,0.205,0.000,0.056,0.177,0.000,0.563,"40代",7,"MrankC"
100526,15980,0.000,0.000,0.000,0.000,0.212,0.788,"20代",3,"MrankC"
100527,9012,0.000,0.160,0.188,0.127,0.198,0.328,"50代",5,"MrankC"
100528,19950,0.000,0.000,0.000,1.000,0.000,0.000,"30代",7,"MrankB"
100529,7422,0.000,0.803,0.000,0.197,0.000,0.000,"20代",4,"MrankC"
100531,84374,0.000,0.000,0.000,0.000,1.000,0.000,"40代",12,"MrankC"
100532,43646,0.000,0.165,0.184,0.196,0.192,0.264,"50代",11,"MrankB"
100533,102726,0.088,0.142,0.381,0.157,0.146,0.086,"50代",9,"MrankC"
100534,38586,0.066,0.110,0.000,0.000,0.694,0.129,"50代",5,"MrankC"
100536,28500,0.000,0.000,0.000,1.000,0.000,0.000,"40代",9,"MrankB"
100537,21284,0.000,0.000,0.000,0.367,0.354,0.279,"20代",10,"MrankC"
100538,40121,0.000,0.056,0.143,0.000,0.465,0.336,"30代",4,"MrankC"
100542,76477,0.075,0.204,0.111,0.200,0.257,0.153,"50代",4,"MrankA"
100544,46785,0.178,0.000,0.000,0.531,0.000,0.292,"20代",10,"MrankC"
100545,20984,0.000,0.000,0.739,0.121,0.000,0.141,"20代",5,"MrankC"
100547,117880,0.183,0.000,0.342,0.162,0.296,0.017,"20代",11,"MrankB"
100548,9255,0.000,0.000,1.000,0.000,0.000,0.000,"40代",6,"MrankA"
100549,26974,0.000,0.000,0.000,0.809,0.191,0.000,"30代",2,"MrankA"
100550,30183,0.000,0.307,0.000,0.538,0.000,0.155,"30代",2,"MrankB"
100551,14215,0.000,0.216,0.268,0.310,0.119,0.088,"50代",5,"MrankC"
100554,20825,0.000,0.434,0.000,0.000,0.356,0.210,"20代",4,"MrankC"
100555,27580,0.071,0.000,0.102,0.049,0.555,0.223,"30代",7,"MrankC"
100556,16115,0.186,0.000,0.000,0.000,0.000,0.814,"40代",6,"MrankC"
100557,2590,0.000,0.000,0.000,0.000,0.541,0.459,"20代",8,"MrankC"
100559,19030,0.000,0.357,0.059,0.431,0.000,0.153,"20代",11,"MrankC"
100561,4980,0.000,0.000,0.000,0.000,0.000,1.000,"20代",10,"MrankC"
100564,25060,0.058,0.159,0.056,0.340,0.289,0.098,"50代",9,"MrankC"
100567,35674,0.000,0.000,0.082,0.783,0.135,0.000,"20代",12,"MrankC"
100568,50585,0.000,0.000,0.000,0.836,0.000,0.164,"40代",8,"MrankB"
100570,72251,0.660,0.075,0.000,0.197,0.068,0.000,"20代",4,"MrankC"
100571,6902,0.000,0.800,0.200,0.000,0.000,0.000,"20代",8,"MrankB"
100572,19226,0.000,0.075,0.000,0.788,0.000,0.137,"40代",3,"MrankB"
100575,92394,0.014,0.213,0.214,0.386,0.173,0.000,"30代",9,"MrankB"
100578,17184,0.000,0.241,0.157,0.067,0.326,0.209,"40代",1,"MrankC"
100579,23590,0.000,0.000,0.555,0.445,0.000,0.000,"30代",1,"MrankC"
100582,26180,0.000,0.336,0.244,0.047,0.296,0.076,"20代",11,"MrankC"
100585,94279,0.015,0.069,0.034,0.684,0.094,0.102,"20代",8,"MrankC"
100587,36410,0.415,0.128,0.221,0.036,0.200,0.000,"50代",8,"MrankC"
100589,89494,0.011,0.000,0.045,0.862,0.069,0.012,"20代",7,"MrankB"
100590,45736,0.000,0.000,0.000,0.000,0.500,0.500,"20代",12,"MrankC"
100592,10572,0.000,0.000,0.287,0.545,0.000,0.168,"20代",7,"MrankC"
100596,26356,0.000,0.000,0.098,0.000,0.902,0.000,"40代",12,"MrankC"
100600,30218,0.000,0.278,0.000,0.377,0.345,0.000,"30代",12,"MrankC"
100601,23192,0.000,0.000,0.143,0.696,0.000,0.161,"40代",11,"MrankC"
100602,10067,0.000,0.000,0.559,0.441,0.000,0.000,"40代",11,"MrankC"
100603,27202,0.000,0.096,0.783,0.000,0.000,0.121,"30代",7,"MrankC"
100604,7715,0.000,0.497,0.000,0.000,0.503,0.000,"30代",2,"MrankB"
100607,18855,0.000,0.000,0.231,0.158,0.000,0.611,"40代",8,"MrankC"
100608,57874,0.000,0.022,0.251,0.726,0.000,0.000,"30代",6,"MrankA"
100609,10318,0.000,0.000,0.000,0.857,0.143,0.000,"40代",6,"MrankB"
100610,40504,0.000,0.101,0.072,0.135,0.436,0.256,"20代",12,"MrankC"
100614,34805,0.000,0.000,0.079,0.887,0.034,0.000,"40代",2,"MrankC"
