取引日,取引時刻,店舗ID,レジID,取引番号,行番号,商品コード,商品名,カテゴリ,数量,本体単価(税抜),割引額,税率,税額,小計(税抜),小計(税込)
2025-12-22,00:09:35,"TOKYO001","R04","T000745",1,"SKU00454","カップうどん 1個","即席麺",1,172,0,0.080,14,172,186
2025-12-22,00:09:35,"TOKYO001","R04","T000745",2,"SKU00358","乾電池 2個入り","日用品",1,777,0,0.100,78,777,855
2025-12-22,00:10:05,"TOKYO001","R07","T004642",1,"SKU00453","メロンパン 200ml","ベーカリー",1,200,0,0.080,16,200,216
2025-12-22,00:10:30,"TOKYO001","R02","T004597",1,"SKU01468","明太子おにぎり","おにぎり",1,183,0,0.080,15,183,198
2025-12-22,00:11:48,"TOKYO001","R08","T001063",1,"SKU02459","プリン (小)","デザート",1,301,0,0.080,24,301,325
2025-12-22,00:12:37,"TOKYO001","R01","T003109",1,"SKU01877","歯ブラシ 1個","日用品",1,315,0,0.100,32,315,347
2025-12-22,00:12:37,"TOKYO001","R01","T003109",2,"SKU01121","カップ焼きそば (大)","即席麺",1,187,9,0.080,14,178,192
2025-12-22,00:12:44,"TOKYO001","R05","T001711",1,"SKU02764","クリームパン 1000ml","ベーカリー",1,257,0,0.080,21,257,278
2025-12-22,00:12:44,"TOKYO001","R05","T001711",2,"SKU01980","コロッケ 2個入り","ホットスナック",1,226,0,0.080,18,226,244
2025-12-22,00:12:44,"TOKYO001","R05","T001711",3,"SKU02827","メンソール 1000ml","たばこ",1,627,0,0.100,63,627,690
2025-12-22,00:12:44,"TOKYO001","R05","T001711",4,"SKU02474","ライト 1000ml","たばこ",2,761,0,0.100,152,1522,1674
2025-12-22,00:12:44,"TOKYO001","R05","T001711",5,"SKU02750","キッチンペーパー (小)","日用品",1,552,0,0.100,55,552,607
2025-12-22,00:12:44,"TOKYO001","R05","T001711",6,"SKU00695","オレンジジュース (小)","飲料",1,126,0,0.080,10,126,136
2025-12-22,00:12:53,"TOKYO001","R01","T000323",1,"SKU02778","クラッカー 500ml","スナック菓子",1,124,0,0.080,10,124,134
2025-12-22,00:13:03,"TOKYO001","R03","T004011",1,"SKU00019","クリームパン 500ml","ベーカリー",1,257,0,0.080,21,257,278
2025-12-22,00:13:03,"TOKYO001","R03","T004011",2,"SKU00267","実用書 1000ml","雑誌・書籍",1,882,0,0.100,88,882,970
2025-12-22,00:13:03,"TOKYO001","R03","T004011",3,"SKU00108","メンソール 1000ml","たばこ",1,723,72,0.100,65,651,716
2025-12-22,00:13:03,"TOKYO001","R03","T004011",4,"SKU01115","歯ブラシ 1000ml","日用品",1,521,0,0.100,52,521,573
2025-12-22,00:13:05,"TOKYO001","R04","T002140",1,"SKU01131","ライト","たばこ",3,616,0,0.100,185,1848,2033
2025-12-22,00:13:22,"TOKYO001","R05","T000219",1,"SKU02125","アイスコーヒー","コーヒー",1,147,0,0.080,12,147,159
2025-12-22,00:13:22,"TOKYO001","R05","T000219",2,"SKU01142","梅おにぎり ハーフ","おにぎり",1,143,0,0.080,11,143,154
2025-12-22,00:14:11,"TOKYO001","R01","T003843",1,"SKU01227","鮭おにぎり ハーフ","おにぎり",2,199,0,0.080,32,398,430
2025-12-22,00:14:11,"TOKYO001","R01","T003843",2,"SKU00477","コーヒー飲料 ハーフ","飲料",1,175,0,0.080,14,175,189
2025-12-22,00:14:11,"TOKYO001","R01","T003843",3,"SKU01821","クラッカー (小)","スナック菓子",1,117,0,0.080,9,117,126
2025-12-22,00:14:11,"TOKYO001","R01","T003843",4,"SKU00006","ほうじ茶 ハーフ","飲料",1,144,14,0.080,10,130,140
2025-12-22,00:14:29,"TOKYO001","R03","T000741",1,"SKU00813","スポーツドリンク ハーフ","飲料",1,177,0,0.080,14,177,191
2025-12-22,00:14:29,"TOKYO001","R03","T000741",2,"SKU02274","洗剤 2個入り","日用品",2,491,0,0.100,98,982,1080
2025-12-22,00:14:29,"TOKYO001","R03","T000741",3,"SKU00575","フライドポテト 200ml","ホットスナック",1,252,0,0.080,20,252,272
2025-12-22,00:14:39,"TOKYO001","R03","T003498",1,"SKU01468","明太子おにぎり","おにぎり",1,183,0,0.080,15,183,198
2025-12-22,00:14:39,"TOKYO001","R03","T003498",2,"SKU02206","カップ焼きそば ハーフ","即席麺",1,242,0,0.080,19,242,261
2025-12-22,00:14:39,"TOKYO001","R03","T003498",3,"SKU00128","フライドチキン 2個入り","ホットスナック",1,194,0,0.080,16,194,210
2025-12-22,00:14:39,"TOKYO001","R03","T003498",4,"SKU02650","あんパン 1個","ベーカリー",1,221,0,0.080,18,221,239
2025-12-22,00:14:39,"TOKYO001","R03","T003498",5,"SKU00201","ティッシュ (小)","日用品",1,266,0,0.100,27,266,293
2025-12-22,00:14:58,"TOKYO001","R03","T002430",1,"SKU02011","烏龍茶 (大)","飲料",1,102,0,0.080,8,102,110
2025-12-22,00:16:11,"TOKYO001","R07","T002619",1,"SKU02323","歯ブラシ (大)","日用品",1,673,0,0.100,67,673,740
2025-12-22,00:16:11,"TOKYO001","R07","T002619",2,"SKU01262","発泡酒 2個入り","酒類",1,1220,0,0.100,122,1220,1342
2025-12-22,00:16:11,"TOKYO001","R07","T002619",3,"SKU01996","文庫本 200ml","雑誌・書籍",1,1191,0,0.100,119,1191,1310
2025-12-22,00:16:34,"TOKYO001","R06","T003425",1,"SKU00901","ポテトチップス しお","スナック菓子",1,269,0,0.080,22,269,291
2025-12-22,00:16:53,"TOKYO001","R02","T001331",1,"SKU01249","カップ焼きそば 2個入り","即席麺",1,273,0,0.080,22,273,295
2025-12-22,00:17:42,"TOKYO001","R02","T004647",1,"SKU01062","ラテ 200ml","コーヒー",1,136,0,0.080,11,136,147
2025-12-22,00:17:42,"TOKYO001","R02","T004647",2,"SKU02021","ポテトサラダ 2個入り","サラダ",1,440,0,0.080,35,440,475
2025-12-22,00:18:24,"TOKYO001","R02","T003335",1,"SKU01439","ナッツミックス 1000ml","スナック菓子",2,127,0,0.080,20,254,274
2025-12-22,00:18:24,"TOKYO001","R02","T003335",2,"SKU00533","カフェオレ (大)","コーヒー",1,162,8,0.080,12,154,166
2025-12-22,00:18:24,"TOKYO001","R02","T003335",3,"SKU01740","明太子おにぎり 200ml","おにぎり",1,170,0,0.080,14,170,184
2025-12-22,00:18:26,"TOKYO001","R06","T002684",1,"SKU02186","ポテトサラダ","サラダ",1,319,0,0.080,26,319,345
2025-12-22,00:18:26,"TOKYO001","R06","T002684",2,"SKU01786","カップうどん 1個","即席麺",1,185,0,0.080,15,185,200
2025-12-22,00:18:26,"TOKYO001","R06","T002684",3,"SKU02514","チーズケーキ 1個","デザート",1,150,0,0.080,12,150,162
2025-12-22,00:18:26,"TOKYO001","R06","T002684",4,"SKU00366","梅おにぎり (大)","おにぎり",1,170,0,0.080,14,170,184
2025-12-22,00:19:30,"TOKYO001","R08","T002130",1,"SKU01677","レモンティー","飲料",1,119,0,0.080,10,119,129
2025-12-22,00:19:30,"TOKYO001","R08","T002130",2,"SKU02262","スポンジ 1個","日用品",1,662,0,0.100,66,662,728
2025-12-22,00:19:30,"TOKYO001","R08","T002130",3,"SKU01340","ミネラルウォーター (大)","飲料",1,161,0,0.080,13,161,174
2025-12-22,00:19:42,"TOKYO001","R08","T002994",1,"SKU01528","幕の内弁当 ハーフ","弁当・惣菜",1,353,0,0.080,28,353,381
2025-12-22,00:20:00,"TOKYO001","R05","T004357",1,"SKU00958","コーヒー飲料 500ml","飲料",2,146,0,0.080,23,292,315
2025-12-22,00:20:00,"TOKYO001","R05","T004357",2,"SKU01514","烏龍茶 (大)","飲料",1,91,0,0.080,7,91,98
2025-12-22,00:20:38,"TOKYO001","R04","T002528",1,"SKU00256","アイスバー 2個入り","アイスクリーム",1,283,0,0.080,23,283,306
2025-12-22,00:20:38,"TOKYO001","R04","T002528",2,"SKU02769","ゼリー 1000ml","デザート",1,291,0,0.080,23,291,314
2025-12-22,00:21:32,"TOKYO001","R04","T004098",1,"SKU02785","コロッケ 1個","ホットスナック",1,341,0,0.080,27,341,368
2025-12-22,00:21:49,"TOKYO001","R01","T002071",1,"SKU02671","ティッシュ ハーフ","日用品",3,645,0,0.100,194,1935,2129
2025-12-22,00:23:01,"TOKYO001","R02","T002133",1,"SKU02743","ポテトチップス しお (小)","スナック菓子",1,245,0,0.080,20,245,265
2025-12-22,00:23:01,"TOKYO001","R02","T002133",2,"SKU01673","フライドポテト","ホットスナック",1,196,20,0.080,14,176,190
2025-12-22,00:23:01,"TOKYO001","R02","T002133",3,"SKU01590","ライト (小)","たばこ",1,590,0,0.100,59,590,649
2025-12-22,00:24:15,"TOKYO001","R08","T003093",1,"SKU00538","ナッツミックス 1000ml","スナック菓子",1,243,0,0.080,19,243,262
2025-12-22,00:25:23,"TOKYO001","R04","T003247",1,"SKU00422","ワイン ハーフ","酒類",1,1458,0,0.100,146,1458,1604
2025-12-22,00:25:23,"TOKYO001","R04","T003247",2,"SKU00062","焼きそば ハーフ","弁当・惣菜",1,453,0,0.080,36,453,489
2025-12-22,00:25:29,"TOKYO001","R08","T000732",1,"SKU00997","カップ焼きそば","即席麺",1,272,0,0.080,22,272,294
2025-12-22,00:25:29,"TOKYO001","R08","T000732",2,"SKU02245","フライドポテト 200ml","ホットスナック",1,287,29,0.080,21,258,279
2025-12-22,00:25:29,"TOKYO001","R08","T000732",3,"SKU02014","コーラ ハーフ","飲料",1,163,0,0.080,13,163,176
2025-12-22,00:25:29,"TOKYO001","R08","T000732",4,"SKU02440","ほうじ茶 500ml","飲料",1,129,0,0.080,10,129,139
2025-12-22,00:26:57,"TOKYO001","R05","T002613",1,"SKU01910","レモンティー (大)","飲料",1,156,0,0.080,12,156,168
2025-12-22,00:26:57,"TOKYO001","R05","T002613",2,"SKU02033","クロワッサン (小)","ベーカリー",1,200,0,0.080,16,200,216
2025-12-22,00:26:57,"TOKYO001","R05","T002613",3,"SKU02790","アイスコーヒー (大)","コーヒー",1,137,0,0.080,11,137,148
2025-12-22,00:31:30,"TOKYO001","R05","T004876",1,"SKU01865","アイスコーヒー 1個","コーヒー",1,133,0,0.080,11,133,144
2025-12-22,00:31:30,"TOKYO001","R05","T004876",2,"SKU01184","コーンサラダ ハーフ","サラダ",1,314,16,0.080,24,298,322
2025-12-22,00:31:30,"TOKYO001","R05","T004876",3,"SKU02367","ミネラルウォーター (小)","飲料",1,140,0,0.080,11,140,151
2025-12-22,00:31:30,"TOKYO001","R05","T004876",4,"SKU02117","カレーパン (小)","ベーカリー",1,122,0,0.080,10,122,132
2025-12-22,00:31:30,"TOKYO001","R05","T004876",5,"SKU00534","チョコアイス 500ml","アイスクリーム",1,141,0,0.080,11,141,152
2025-12-22,00:32:29,"TOKYO001","R01","T003533",1,"SKU00578","カップラーメン 醤油 1000ml","即席麺",1,260,0,0.080,21,260,281
2025-12-22,00:32:29,"TOKYO001","R01","T003533",2,"SKU02246","バウムクーヘン 2個入り","デザート",1,354,0,0.080,28,354,382
2025-12-22,00:32:29,"TOKYO001","R01","T003533",3,"SKU01448","コロッケ 500ml","ホットスナック",1,188,0,0.080,15,188,203
2025-12-22,00:32:29,"TOKYO001","R01","T003533",4,"SKU02974","ライト 2個入り","たばこ",1,593,0,0.100,59,593,652
2025-12-22,00:33:24,"TOKYO001","R03","T001619",1,"SKU00788","昆布おにぎり 1000ml","おにぎり",1,172,0,0.080,14,172,186
2025-12-22,00:33:24,"TOKYO001","R03","T001619",2,"SKU00280","発泡酒 1個","酒類",1,1025,0,0.100,102,1025,1127
2025-12-22,00:33:24,"TOKYO001","R03","T001619",3,"SKU01978","チョココロネ 2個入り","ベーカリー",1,176,0,0.080,14,176,190
2025-12-22,00:33:24,"TOKYO001","R03","T001619",4,"SKU01835","チューハイ レモン 2個入り","酒類",1,1169,0,0.100,117,1169,1286
2025-12-22,00:33:24,"TOKYO001","R03","T001619",5,"SKU00417","サンドイッチ 200ml","弁当・惣菜",1,715,0,0.080,57,715,772
2025-12-22,00:34:12,"TOKYO001","R08","T000781",1,"SKU00853","ポテトチップス しお (大)","スナック菓子",1,170,0,0.080,14,170,184
2025-12-22,00:34:21,"TOKYO001","R04","T001306",1,"SKU02387","鮭おにぎり 2個入り","おにぎり",1,169,8,0.080,13,161,174
2025-12-22,00:34:21,"TOKYO001","R04","T001306",2,"SKU01520","カップうどん ハーフ","即席麺",1,195,0,0.080,16,195,211
2025-12-22,00:34:21,"TOKYO001","R04","T001306",3,"SKU01858","チョココロネ","ベーカリー",3,146,0,0.080,35,438,473
2025-12-22,00:35:23,"TOKYO001","R08","T004627",1,"SKU01155","スポンジ ハーフ","日用品",1,687,0,0.100,69,687,756
2025-12-22,00:35:55,"TOKYO001","R08","T000026",1,"SKU01082","スポーツドリンク (大)","飲料",1,91,0,0.080,7,91,98
2025-12-22,00:35:55,"TOKYO001","R08","T000026",2,"SKU02974","ライト 2個入り","たばこ",1,593,0,0.100,59,593,652
2025-12-22,00:36:22,"TOKYO001","R03","T003047",1,"SKU00352","フライドポテト","ホットスナック",1,265,0,0.080,21,265,286
2025-12-22,00:36:22,"TOKYO001","R03","T003047",2,"SKU01269","歯ブラシ 1000ml","日用品",2,258,0,0.100,52,516,568
2025-12-22,00:36:22,"TOKYO001","R03","T003047",3,"SKU00899","レモンティー 2個入り","飲料",2,118,0,0.080,19,236,255
2025-12-22,00:36:49,"TOKYO001","R06","T000012",1,"SKU00045","せんべい 500ml","スナック菓子",1,294,0,0.080,24,294,318
2025-12-22,00:36:49,"TOKYO001","R06","T000012",2,"SKU00688","パスタサラダ ハーフ","弁当・惣菜",1,472,0,0.080,38,472,510
2025-12-22,00:36:50,"TOKYO001","R04","T000800",1,"SKU02480","チューハイ ライム 2個入り","酒類",1,1275,0,0.100,128,1275,1403
2025-12-22,00:36:50,"TOKYO001","R04","T000800",2,"SKU01226","ティッシュ 1個","日用品",1,509,0,0.100,51,509,560
2025-12-22,00:36:50,"TOKYO001","R04","T000800",3,"SKU02095","生姜焼き弁当 1個","弁当・惣菜",1,374,0,0.080,30,374,404
2025-12-22,00:36:50,"TOKYO001","R04","T000800",4,"SKU00540","炭酸水 1000ml","飲料",1,141,0,0.080,11,141,152
2025-12-22,00:36:50,"TOKYO001","R04","T000800",5,"SKU01450","実用書 2個入り","雑誌・書籍",1,880,0,0.100,88,880,968
2025-12-22,00:36:50,"TOKYO001","R04","T000800",6,"SKU00191","コーラ","飲料",1,97,0,0.080,8,97,105
2025-12-22,00:37:53,"TOKYO001","R08","T004208",1,"SKU01202","ほうじ茶 1個","飲料",1,156,0,0.080,12,156,168
2025-12-22,00:37:53,"TOKYO001","R08","T004208",2,"SKU00236","ライト 2個入り","たばこ",1,634,0,0.100,63,634,697
2025-12-22,00:37:53,"TOKYO001","R08","T004208",3,"SKU01354","メンソール 1000ml","たばこ",1,671,0,0.100,67,671,738
2025-12-22,00:37:53,"TOKYO001","R08","T004208",4,"SKU02281","ポテトチップス しお 200ml","スナック菓子",1,216,0,0.080,17,216,233
2025-12-22,00:38:07,"TOKYO001","R01","T001823",1,"SKU01123","アメリカンドッグ (小)","ホットスナック",1,345,0,0.080,28,345,373
2025-12-22,00:38:07,"TOKYO001","R01","T001823",2,"SKU00993","幕の内弁当 1個","弁当・惣菜",1,508,0,0.080,41,508,549
2025-12-22,00:38:07,"TOKYO001","R01","T001823",3,"SKU02356","ミネラルウォーター (大)","飲料",1,134,27,0.080,9,107,116
2025-12-22,00:38:13,"TOKYO001","R07","T003529",1,"SKU02748","炭酸水 200ml","飲料",1,108,0,0.080,9,108,117
2025-12-22,00:38:13,"TOKYO001","R07","T003529",2,"SKU01140","スポンジ 1個","日用品",1,778,0,0.100,78,778,856
2025-12-22,00:38:13,"TOKYO001","R07","T003529",3,"SKU00109","ポテトチップス コンソメ 500ml","スナック菓子",1,201,0,0.080,16,201,217
2025-12-22,00:38:43,"TOKYO001","R01","T004954",1,"SKU00730","ナッツミックス 200ml","スナック菓子",1,115,0,0.080,9,115,124
2025-12-22,00:40:25,"TOKYO001","R06","T000521",1,"SKU01678","ツナマヨおにぎり","おにぎり",1,133,0,0.080,11,133,144
2025-12-22,00:41:04,"TOKYO001","R07","T004498",1,"SKU00937","緑茶 (大)","飲料",1,114,0,0.080,9,114,123
2025-12-22,00:41:50,"TOKYO001","R06","T001757",1,"SKU01433","ゼリー","デザート",1,302,0,0.080,24,302,326
2025-12-22,00:42:06,"TOKYO001","R03","T004680",1,"SKU01543","最中アイス","アイスクリーム",1,148,0,0.080,12,148,160
2025-12-22,00:42:44,"TOKYO001","R06","T004944",1,"SKU00471","緑茶 2個入り","飲料",1,129,0,0.080,10,129,139
2025-12-22,00:42:44,"TOKYO001","R06","T004944",2,"SKU02591","日本酒 小瓶 200ml","酒類",1,919,0,0.100,92,919,1011
2025-12-22,00:42:44,"TOKYO001","R06","T004944",3,"SKU01824","日本酒 小瓶 (小)","酒類",1,754,0,0.100,75,754,829
2025-12-22,00:42:44,"TOKYO001","R06","T004944",4,"SKU00184","アメリカンドッグ 500ml","ホットスナック",1,300,0,0.080,24,300,324
2025-12-22,00:42:52,"TOKYO001","R04","T002710",1,"SKU01960","ワイン ハーフ","酒類",1,337,0,0.100,34,337,371
2025-12-22,00:42:52,"TOKYO001","R04","T002710",2,"SKU00815","フライドポテト (小)","ホットスナック",1,171,0,0.080,14,171,185
2025-12-22,00:43:37,"TOKYO001","R02","T002019",1,"SKU00853","ポテトチップス しお (大)","スナック菓子",2,170,0,0.080,27,340,367
2025-12-22,00:43:37,"TOKYO001","R02","T002019",2,"SKU01947","メロンパン (大)","ベーカリー",1,192,0,0.080,15,192,207
2025-12-22,00:43:39,"TOKYO001","R07","T002589",1,"SKU01984","シュークリーム (小)","デザート",1,292,0,0.080,23,292,315
2025-12-22,00:43:42,"TOKYO001","R01","T002420",1,"SKU00967","メンソール 500ml","たばこ",1,647,0,0.100,65,647,712
2025-12-22,00:44:24,"TOKYO001","R01","T004073",1,"SKU01111","缶ビール 200ml","酒類",1,1431,0,0.100,143,1431,1574
2025-12-22,00:44:24,"TOKYO001","R01","T004073",2,"SKU00180","コーラ","飲料",1,108,0,0.080,9,108,117
2025-12-22,00:45:13,"TOKYO001","R05","T002205",1,"SKU02679","炭酸水 (大)","飲料",1,144,0,0.080,12,144,156
2025-12-22,00:45:49,"TOKYO001","R01","T003299",1,"SKU00024","高菜おにぎり (大)","おにぎり",1,164,0,0.080,13,164,177
2025-12-22,00:45:49,"TOKYO001","R01","T003299",2,"SKU01882","フライドポテト ハーフ","ホットスナック",1,311,0,0.080,25,311,336
2025-12-22,00:45:49,"TOKYO001","R01","T003299",3,"SKU02028","カフェオレ 2個入り","コーヒー",1,141,0,0.080,11,141,152
2025-12-22,00:46:06,"TOKYO001","R07","T000967",1,"SKU00874","明太子おにぎり 1000ml","おにぎり",1,163,0,0.080,13,163,176
2025-12-22,00:46:10,"TOKYO001","R06","T000571",1,"SKU01401","せんべい 500ml","スナック菓子",1,198,10,0.080,15,188,203
2025-12-22,00:46:16,"TOKYO001","R07","T001038",1,"SKU01520","カップうどん ハーフ","即席麺",1,195,0,0.080,16,195,211
2025-12-22,00:46:16,"TOKYO001","R07","T001038",2,"SKU00390","発泡酒 (小)","酒類",1,902,0,0.100,90,902,992
2025-12-22,00:46:16,"TOKYO001","R07","T001038",3,"SKU02558","焼きそば 500ml","弁当・惣菜",1,509,0,0.080,41,509,550
2025-12-22,00:46:16,"TOKYO001","R07","T001038",4,"SKU00819","緑茶 200ml","飲料",1,176,0,0.080,14,176,190
2025-12-22,00:47:19,"TOKYO001","R06","T003354",1,"SKU01185","ミネラルウォーター ハーフ","飲料",1,160,0,0.080,13,160,173
2025-12-22,00:47:19,"TOKYO001","R06","T003354",2,"SKU00821","発泡酒 500ml","酒類",1,1089,0,0.100,109,1089,1198
2025-12-22,00:47:19,"TOKYO001","R06","T003354",3,"SKU00499","アイスコーヒー 200ml","コーヒー",1,175,0,0.080,14,175,189
2025-12-22,00:47:31,"TOKYO001","R08","T004528",1,"SKU01999","オレンジジュース","飲料",1,90,0,0.080,7,90,97
2025-12-22,00:47:31,"TOKYO001","R08","T004528",2,"SKU02248","缶ビール 1個","酒類",1,1002,0,0.100,100,1002,1102
2025-12-22,00:47:31,"TOKYO001","R08","T004528",3,"SKU00410","ほうじ茶 1個","飲料",2,130,0,0.080,21,260,281
2025-12-22,00:47:31,"TOKYO001","R08","T004528",4,"SKU01351","コロッケ 2個入り","ホットスナック",1,178,0,0.080,14,178,192
2025-12-22,00:48:27,"TOKYO001","R01","T002004",1,"SKU00014","ナッツミックス 500ml","スナック菓子",1,261,0,0.080,21,261,282
2025-12-22,00:48:27,"TOKYO001","R01","T002004",2,"SKU00632","カップラーメン 醤油 500ml","即席麺",1,200,0,0.080,16,200,216
2025-12-22,00:48:27,"TOKYO001","R01","T002004",3,"SKU02526","焼きそば (大)","弁当・惣菜",1,726,109,0.080,49,617,666
2025-12-22,00:48:27,"TOKYO001","R04","T003651",1,"SKU00034","ツナサラダ ハーフ","サラダ",1,334,0,0.080,27,334,361
2025-12-22,00:48:27,"TOKYO001","R04","T003651",2,"SKU02218","サンドイッチ ハーフ","弁当・惣菜",2,769,0,0.080,123,1538,1661
2025-12-22,00:48:27,"TOKYO001","R04","T003651",3,"SKU01920","高菜おにぎり 2個入り","おにぎり",1,192,0,0.080,15,192,207
2025-12-22,00:48:27,"TOKYO001","R04","T003651",4,"SKU02664","実用書 1000ml","雑誌・書籍",1,394,0,0.100,39,394,433
2025-12-22,00:48:34,"TOKYO001","R08","T002963",1,"SKU01388","炭酸水 ハーフ","飲料",1,94,0,0.080,8,94,102
2025-12-22,00:48:52,"TOKYO001","R06","T001265",1,"SKU02746","チューハイ レモン 500ml","酒類",1,1473,0,0.100,147,1473,1620
2025-12-22,00:48:52,"TOKYO001","R06","T001265",2,"SKU00765","コーヒー飲料 200ml","飲料",1,141,0,0.080,11,141,152
2025-12-22,00:48:58,"TOKYO001","R02","T004788",1,"SKU00402","カップうどん 1個","即席麺",1,243,0,0.080,19,243,262
2025-12-22,00:48:58,"TOKYO001","R02","T004788",2,"SKU02412","オレンジジュース 1個","飲料",1,174,0,0.080,14,174,188
2025-12-22,00:48:58,"TOKYO001","R02","T004788",3,"SKU00947","烏龍茶 1000ml","飲料",1,163,0,0.080,13,163,176
2025-12-22,00:48:58,"TOKYO001","R02","T004788",4,"SKU00301","レモンティー 1000ml","飲料",1,131,0,0.080,10,131,141
2025-12-22,00:48:59,"TOKYO001","R04","T003682",1,"SKU02952","週刊誌 1個","雑誌・書籍",1,990,0,0.100,99,990,1089
2025-12-22,00:48:59,"TOKYO001","R04","T003682",2,"SKU01659","鮭おにぎり ハーフ","おにぎり",1,143,0,0.080,11,143,154
2025-12-22,00:48:59,"TOKYO001","R04","T003682",3,"SKU00303","最中アイス ハーフ","アイスクリーム",1,254,13,0.080,19,241,260
2025-12-22,00:49:30,"TOKYO001","R02","T004138",1,"SKU01093","スポンジ 1個","日用品",1,717,0,0.100,72,717,789
2025-12-22,00:49:30,"TOKYO001","R02","T004138",2,"SKU00354","炭酸水 1個","飲料",1,105,0,0.080,8,105,113
2025-12-22,00:49:30,"TOKYO001","R02","T004138",3,"SKU00640","昆布おにぎり ハーフ","おにぎり",1,151,0,0.080,12,151,163
2025-12-22,00:49:30,"TOKYO001","R07","T004383",1,"SKU02058","梅おにぎり (大)","おにぎり",1,132,0,0.080,11,132,143
2025-12-22,00:49:30,"TOKYO001","R07","T004383",2,"SKU01041","バニラアイス 2個入り","アイスクリーム",1,275,0,0.080,22,275,297
2025-12-22,00:50:11,"TOKYO001","R02","T003977",1,"SKU00885","チューハイ レモン ハーフ","酒類",1,971,0,0.100,97,971,1068
2025-12-22,00:50:11,"TOKYO001","R02","T003977",2,"SKU01488","文庫本 1個","雑誌・書籍",3,628,0,0.100,188,1884,2072
2025-12-22,00:50:11,"TOKYO001","R02","T003977",3,"SKU00349","明太子おにぎり 500ml","おにぎり",2,170,0,0.080,27,340,367
2025-12-22,00:50:14,"TOKYO001","R06","T003654",1,"SKU02868","メンソール 200ml","たばこ",1,634,0,0.100,63,634,697
