顧客_ID,キャンペーン,$LRP-キャンペーン,ゴールドカード
54069,0,0.310,0
54076,0,0.205,0
54081,0,0.270,0
54082,1,0.278,0
54091,1,0.404,0
54095,0,0.049,0
54101,0,0.357,0
54107,0,0.054,0
54110,0,0.466,0
54116,0,0.051,0
54120,1,0.258,0
54121,1,0.466,1
54122,1,0.392,0
54125,0,0.271,0
54126,0,0.236,0
54133,0,0.150,0
54151,1,0.307,0
54158,0,0.525,0
54159,0,0.022,0
54161,0,0.290,0
54176,0,0.459,0
54180,0,0.035,0
54186,0,0.256,0
54203,0,0.042,0
54255,1,0.409,0
54257,0,0.050,0
54269,1,0.430,0
54269,0,0.430,0
54271,0,0.025,0
54287,0,0.301,1
54290,1,0.000,1
54302,1,0.279,0
54311,1,0.404,0
54314,0,0.332,0
54329,0,0.000,0
54330,0,0.070,0
54333,0,0.054,0
54337,0,0.496,0
54338,0,0.056,0
54350,0,0.045,0
54360,0,0.229,0
54361,0,0.041,0
54377,1,0.452,0
54378,0,0.038,0
54382,0,0.330,0
54386,0,0.168,0
54386,1,0.168,0
54391,1,0.386,0
54420,0,0.000,0
54422,1,0.063,1
54424,1,0.298,0
54427,0,0.150,0
54439,0,0.483,0
54439,0,0.483,0
54442,0,0.000,0
54483,0,0.055,0
54507,0,0.054,0
54508,0,0.203,0
54509,1,0.783,0
54513,0,0.058,0
54537,0,0.435,0
54537,0,0.435,0
54542,0,0.112,0
54552,0,0.267,0
54566,0,0.372,0
54569,0,0.000,0
54571,0,0.296,0
54594,0,0.276,0
54603,0,0.053,0
54624,0,0.469,0
54624,0,0.469,0
54641,0,0.254,0
54653,1,0.295,1
54658,0,0.447,0
54660,0,0.000,0
54682,0,0.360,0
54687,1,0.208,0
54689,1,0.026,1
54700,0,0.244,0
54703,1,0.371,0
54716,0,0.053,0
54747,0,0.253,0
54753,0,0.061,0
54770,1,0.533,0
54775,0,0.060,0
54788,0,0.431,0
54788,0,0.431,0
54793,0,0.284,0
54802,0,0.369,0
54803,0,0.225,0
54826,1,0.494,0
54855,0,0.049,0
54856,0,0.157,0
54858,1,0.289,0
54859,0,0.043,0
54865,0,0.274,0
54871,0,0.335,0
54880,1,0.455,0
54895,0,0.040,0
54901,0,0.045,0
54908,0,0.596,0
54915,0,0.097,0
54917,0,0.259,0
54930,0,0.277,0
54930,1,0.277,0
54936,0,0.298,0
54949,0,0.041,0
54956,0,0.000,0
54969,0,0.035,0
54986,0,0.000,0
54989,0,0.531,0
54997,0,0.209,0
54999,0,0.048,0
55021,1,0.362,0
55044,0,0.292,0
55047,0,0.054,0
55051,0,0.338,0
55063,0,0.511,0
55070,0,0.044,0
55071,0,0.185,0
55073,1,0.413,0
55085,0,0.061,0
55101,0,0.061,0
55107,0,0.253,0
55107,0,0.253,0
55110,0,0.460,0
55110,0,0.460,0
55114,0,0.381,0
55141,0,0.059,0
55149,0,0.251,0
55153,0,0.488,0
55155,0,0.378,0
55155,0,0.378,0
55160,0,0.446,0
55164,1,0.408,0
55171,0,0.056,0
55173,0,0.708,0
55173,1,0.708,0
55177,0,0.528,0
55181,1,0.319,1
55190,0,0.178,0
55194,0,0.395,0
55194,0,0.395,0
55198,0,0.025,0
55203,0,0.024,0
55205,0,0.067,0
55209,1,0.308,0
55215,0,0.414,0
55216,1,0.366,1
55219,0,0.052,0
55222,0,0.000,0
55224,0,0.055,0
55227,0,0.351,0
55228,0,0.060,0
55239,0,0.039,0
55261,0,0.027,0
55267,0,0.055,0
55271,0,0.026,0
55272,0,0.045,0
55279,0,0.000,0
55289,0,0.053,0
55291,0,0.335,0
55292,0,0.024,0
55293,1,0.415,0
55302,0,0.020,0
55305,0,0.052,0
55314,0,0.375,0
55328,0,0.346,0
55328,0,0.346,0
55341,0,0.027,0
55356,1,0.627,0
55364,0,0.279,0
55365,1,0.376,0
55367,0,0.060,0
55370,0,0.283,0
55370,0,0.283,0
55375,0,0.326,0
55375,0,0.326,0
55378,1,0.575,0
55387,0,0.366,1
55390,0,0.234,0
55402,0,0.045,0
55414,0,0.049,0
55423,1,0.428,0
55430,0,0.468,0
55430,0,0.468,0
55439,0,0.318,0
55452,1,0.414,0
55453,1,0.356,0
55455,0,0.474,0
55457,1,0.394,0
55469,0,0.358,0
55472,0,0.412,0
55473,0,0.000,0
55485,0,0.546,0
55485,0,0.546,0
55528,0,0.424,0
55528,0,0.424,0
55529,0,0.025,0
55533,0,0.311,0
55533,1,0.311,0
55561,1,0.416,0
55561,0,0.416,0
55563,0,0.397,0
55573,0,0.211,0
55595,0,0.051,0
55598,0,0.055,0
55600,0,0.269,0
55610,1,0.319,0
55621,0,0.411,0
55621,0,0.411,0
55635,0,0.398,0
55651,0,0.354,0
55652,0,0.059,0
55653,0,0.414,0
55670,0,0.423,0
55672,0,0.057,0
55679,0,0.052,0
55682,0,0.026,0
55691,1,0.478,0
55691,0,0.478,0
55692,0,0.058,0
55698,0,0.250,0
55713,0,0.067,0
55722,0,0.477,0
55740,0,0.436,0
55760,1,0.476,0
55763,0,0.046,0
55764,0,0.026,0
55776,0,0.303,0
55791,0,0.043,0
55798,0,0.058,0
55801,0,0.216,0
55811,0,0.046,0
55812,0,0.044,0
55819,1,0.517,0
55819,0,0.517,0
55820,0,0.228,0
55825,1,0.519,0
55826,0,0.411,0
55831,0,0.448,0
55831,1,0.448,0
55846,1,0.000,1
55853,0,0.060,0
55858,0,0.423,0
55858,1,0.423,0
55859,0,0.048,0
55870,0,0.418,0
55871,0,0.375,0
55877,0,0.046,0
55881,0,0.425,0
55886,0,0.262,0
55894,0,0.490,1
55899,0,0.034,0
55915,1,0.273,0
55916,0,0.184,0
55916,0,0.184,0
55918,0,0.000,0
55921,0,0.428,0
55939,1,0.288,0
55939,0,0.288,0
55941,1,0.305,0
55941,0,0.305,0
55946,0,0.026,0
55948,1,0.359,0
55956,0,0.314,0
55956,1,0.314,0
55959,1,0.233,0
55961,1,0.281,0
55961,0,0.281,0
55962,0,0.023,0
55963,1,0.462,0
55965,0,0.551,0
55984,1,0.325,0
55985,0,0.471,0
55989,0,0.252,0
55995,0,0.341,0
55995,0,0.341,0
56000,1,0.445,0
56000,0,0.445,0
56009,1,0.307,0
56028,0,0.000,0
56031,0,0.024,0
56034,1,0.362,0
56042,1,0.489,0
56051,0,0.057,0
56071,0,0.333,0
56084,0,0.056,0
56085,0,0.000,0
56112,0,0.052,0
56113,0,0.413,0
56115,0,0.329,0
56115,0,0.329,0
56119,0,0.000,0
56137,1,0.513,0
56142,0,0.226,0
56155,0,0.433,0
56169,0,0.000,0
56171,0,0.051,0
56172,1,0.630,0
56180,1,0.283,0
56180,0,0.283,0
56181,0,0.051,0
56197,0,0.066,0
56202,0,0.475,0
56215,0,0.314,0
56242,0,0.000,0
56244,0,0.308,0
56255,0,0.577,0
56258,1,0.448,0
56264,0,0.000,0
56266,0,0.000,0
56273,0,0.312,0
56290,1,0.254,0
56306,0,0.339,0
56318,0,0.039,0
56325,0,0.430,0
56335,0,0.245,0
56342,0,0.000,0
56343,0,0.478,0
56343,1,0.478,0
56350,0,0.052,0
56355,1,0.329,0
56355,0,0.329,0
56367,0,0.041,0
56377,0,0.326,0
56377,0,0.326,0
56378,1,0.424,0
56392,0,0.374,0
56404,0,0.277,0
56420,0,0.034,0
56438,0,0.045,0
56446,0,0.324,0
56447,0,0.285,0
56456,0,0.507,0
56465,0,0.393,0
56468,0,0.055,0
56473,0,0.241,0
56484,0,0.312,0
56484,0,0.312,0
56488,0,0.017,0
56489,0,0.434,0
56490,0,0.334,0
56491,0,0.054,0
56494,0,0.608,0
56503,0,0.051,0
56505,0,0.047,0
56511,0,0.051,0
56514,0,0.023,0
56527,0,0.000,0
56531,1,0.263,0
56534,0,0.045,0
56548,0,0.048,0
56552,0,0.220,0
56564,0,0.048,0
56579,0,0.264,0
56580,1,0.359,0
56580,0,0.359,0
56588,0,0.280,0
56588,1,0.280,0
56598,0,0.238,0
56598,0,0.238,0
56606,1,0.568,0
56608,0,0.040,0
56610,0,0.121,0
56639,0,0.308,0
56646,0,0.059,0
56659,0,0.243,0
56659,1,0.243,0
56664,0,0.434,0
56689,0,0.041,0
56692,0,0.055,0
56699,0,0.304,0
56699,0,0.304,0
56701,1,0.376,0
56701,0,0.376,0
56705,0,0.229,0
56730,0,0.060,0
56734,0,0.300,0
56737,0,0.330,0
56751,0,0.425,0
56751,0,0.425,0
56755,0,0.432,0
56755,0,0.432,0
56757,1,0.522,0
56784,0,0.000,0
56792,1,0.484,0
56797,1,0.398,0
56831,0,0.524,0
56837,0,0.029,0
56842,1,0.348,0
56876,0,0.379,1
56881,0,0.379,0
56886,0,0.053,0
56888,0,0.181,0
56902,0,0.000,0
56913,1,0.311,0
56924,0,0.308,0
56937,0,0.055,0
56946,0,0.052,0
56950,0,0.000,0
56953,0,0.342,0
56966,0,0.507,0
56966,1,0.507,0
56980,1,0.308,0
56990,0,0.043,0
57031,0,0.196,0
57040,0,0.406,0
57040,0,0.406,0
57047,0,0.038,0
57056,1,0.386,0
57077,0,0.295,0
57078,0,0.049,0
57081,0,0.070,0
57085,1,0.241,0
57096,0,0.000,0
57106,0,0.037,0
57114,0,0.061,0
57115,0,0.289,0
57124,1,0.224,0
57145,0,0.039,0
57162,0,0.390,0
57174,0,0.044,0
57175,0,0.057,0
57187,0,0.000,0
57208,0,0.145,0
57213,0,0.435,0
57229,1,0.393,0
57254,0,0.067,0
57254,0,0.067,0
57271,0,0.521,0
57281,1,0.427,0
57307,1,0.316,0
57308,0,0.405,0
57317,0,0.266,0
57324,0,0.041,0
57338,0,0.000,0
57340,0,0.043,0
57350,0,0.358,0
57350,0,0.358,0
57352,0,0.042,0
57357,0,0.052,0
57395,0,0.000,0
57400,1,0.442,0
57403,0,0.053,0
57411,0,0.328,0
57420,0,0.190,0
57423,0,0.043,0
57424,0,0.489,0
57427,0,0.058,0
57430,1,0.062,1
57435,0,0.043,0
57459,0,0.279,0
57460,1,0.419,0
57467,0,0.130,0
57477,0,0.000,0
57484,0,0.444,0
57495,0,0.046,0
57499,0,0.049,0
57500,0,0.059,0
57530,1,0.324,0
57531,0,0.061,0
57554,0,0.420,0
57554,0,0.420,0
57555,1,0.406,0
57579,1,0.397,0
57585,0,0.294,0
57592,1,0.442,0
57593,0,0.052,0
57597,0,0.028,0
57615,1,0.000,1
57620,0,0.052,0
57633,1,0.400,0
57634,0,0.788,0
57637,0,0.000,0
57640,0,0.029,0
57656,0,0.331,0
57666,0,0.059,0
57685,0,0.051,0
57689,1,0.477,0
57712,0,0.255,0
57717,1,0.397,0
57719,0,0.051,0
57748,0,0.320,0
57748,1,0.320,0
57764,0,0.050,0
57788,0,0.533,0
57788,0,0.533,0
57792,0,0.299,0
57794,1,0.028,1
57803,0,0.054,0
57810,0,0.398,0
57810,0,0.398,0
57820,1,0.360,0
57820,0,0.360,0
57823,0,0.417,0
57826,1,0.463,0
57826,0,0.463,0
57843,0,0.040,0
57851,1,0.411,0
57854,0,0.483,0
57854,1,0.483,0
57856,0,0.279,0
57888,1,0.195,0
57889,0,0.400,0
57890,0,0.041,0
57920,0,0.421,0
57924,1,0.336,0
57930,0,0.044,0
57937,0,0.313,0
57939,0,0.234,0
57947,0,0.252,0
57947,0,0.252,0
57952,0,0.051,0
57955,0,0.026,0
57968,0,0.053,0
57971,0,0.000,0
58000,0,0.061,0
58015,0,0.044,0
58034,0,0.000,0
58049,0,0.000,0
58052,0,0.025,0
58076,0,0.362,0
58077,0,0.052,0
58088,0,0.531,0
58088,0,0.531,0
58091,0,0.309,0
58091,0,0.309,0
58099,1,0.323,0
58111,0,0.313,0
58111,1,0.313,0
58120,0,0.055,0
58127,0,0.432,0
58141,0,0.053,0
58143,0,0.300,0
58146,0,0.338,0
58159,0,0.433,0
58162,0,0.040,0
58165,0,0.047,0
58177,0,0.000,0
58190,0,0.346,0
58192,1,0.479,1
58192,1,0.479,1
58193,1,0.479,0
58206,0,0.049,0
58226,0,0.023,0
58232,0,0.356,0
58240,0,0.061,0
58245,0,0.326,0
58245,1,0.326,0
58247,0,0.234,0
58248,0,0.222,0
58264,0,0.043,0
58286,0,0.339,0
58286,0,0.339,0
58308,0,0.357,0
58309,0,0.347,0
58315,1,0.424,0
58315,0,0.424,0
58317,0,0.000,0
58322,0,0.317,0
58332,1,0.237,0
58335,0,0.347,0
58367,0,0.427,0
58380,0,0.065,0
58381,0,0.047,0
58385,0,0.055,0
58389,0,0.545,0
58389,0,0.545,0
58395,0,0.059,0
58405,0,0.292,0
58417,0,0.515,0
58429,0,0.063,0
58439,1,0.358,0
58439,0,0.358,0
58440,0,0.025,0
58453,0,0.048,0
58456,0,0.051,0
58458,1,0.324,0
58470,0,0.329,0
58472,0,0.027,0
58480,0,0.057,0
58481,0,0.224,0
58493,0,0.203,0
58493,0,0.203,0
58511,0,0.393,0
58514,0,0.212,0
58528,0,0.634,0
58528,0,0.634,0
58535,0,0.023,0
58547,0,0.023,0
58560,0,0.027,0
58566,0,0.059,0
58571,0,0.064,0
58573,0,0.054,0
58589,1,0.560,0
58589,0,0.560,0
58602,0,0.171,0
58614,0,0.307,0
58616,0,0.040,0
58625,0,0.058,0
58628,0,0.329,0
58628,0,0.329,0
58630,0,0.337,0
58630,0,0.337,0
58640,0,0.060,0
58644,0,0.044,0
58652,0,0.060,0
58656,0,0.050,0
58667,0,0.000,0
58677,0,0.061,0
58714,0,0.000,0
58715,0,0.000,0
58717,0,0.361,0
58724,0,0.019,0
58727,0,0.041,0
58728,0,0.512,0
58729,0,0.000,0
58745,0,0.041,0
58758,0,0.404,0
58763,0,0.609,0
58763,1,0.609,0
58808,0,0.044,0
58813,0,0.062,0
58823,1,0.347,0
58829,0,0.240,0
58839,0,0.043,0
58843,0,0.407,0
58858,0,0.252,0
58869,0,0.668,0
58903,0,0.053,0
58907,1,0.569,0
58907,0,0.569,0
58908,1,0.382,0
58914,0,0.029,0
58915,0,0.053,0
58939,0,0.277,0
58943,1,0.478,0
58944,0,0.206,0
58955,0,0.289,0
58960,0,0.163,0
58965,1,0.357,0
58986,0,0.596,0
58986,0,0.596,0
58989,0,0.333,0
58989,0,0.333,0
58994,0,0.403,0
59003,0,0.548,0
59006,1,0.260,1
59006,1,0.260,1
59007,0,0.025,0
59010,0,0.337,0
59015,0,0.291,0
59015,1,0.291,0
59034,0,0.457,0
59037,0,0.408,0
59037,1,0.408,0
59039,0,0.448,0
59039,0,0.448,0
59042,0,0.000,0
59043,1,0.000,1
59045,0,0.530,0
59071,1,0.374,0
59084,0,0.027,0
59092,0,0.000,0
59102,0,0.425,0
59110,0,0.444,0
59110,0,0.444,0
59126,0,0.063,0
59128,0,0.045,0
59147,1,0.000,1
59162,1,0.347,0
59162,0,0.347,0
59179,0,0.041,0
59180,0,0.000,0
59215,0,0.447,0
59216,0,0.046,0
59223,0,0.036,0
59225,0,0.485,0
59225,0,0.485,0
59226,0,0.045,0
59243,0,0.239,0
59265,0,0.316,0
59266,0,0.348,0
59270,0,0.426,0
59271,0,0.356,0
59273,0,0.050,0
59276,0,0.061,0
59280,0,0.334,0
59286,0,0.065,0
59302,0,0.361,0
59302,1,0.361,0
59304,0,0.062,0
59312,0,0.028,0
59330,0,0.065,0
59334,1,0.326,0
59334,0,0.326,0
59347,0,0.025,0
59361,1,0.365,0
59374,0,0.059,0
59377,0,0.051,0
59397,0,0.421,0
59408,0,0.376,0
59408,1,0.376,0
59409,0,0.557,0
59409,1,0.557,0
59413,0,0.298,0
59417,1,0.000,1
59422,0,0.057,0
59425,0,0.000,0
59427,0,0.000,0
59433,0,0.338,0
59446,0,0.249,0
59450,0,0.554,0
59464,0,0.470,0
59481,0,0.000,0
59486,0,0.000,0
59518,0,0.045,0
59524,0,0.051,0
59538,1,0.382,0
59552,0,0.021,0
59557,1,0.346,0
59558,0,0.457,0
59563,0,0.279,0
59566,0,0.169,0
59568,0,0.355,0
59576,0,0.125,0
59583,0,0.211,0
59594,0,0.296,0
59609,0,0.404,0
59611,1,0.498,0
59614,0,0.052,0
59629,0,0.415,0
59629,0,0.415,0
59632,0,0.277,0
59669,0,0.000,0
59672,0,0.064,0
59680,0,0.000,0
59681,1,0.395,0
59695,1,0.000,1
59716,0,0.024,0
59723,0,0.024,0
59725,0,0.147,0
59729,0,0.314,0
59729,1,0.314,0
59745,0,0.056,0
59774,0,0.000,0
59786,0,0.000,0
59799,0,0.492,0
59803,0,0.316,0
59803,0,0.316,0
59844,0,0.024,0
59861,0,0.049,0
59895,0,0.055,0
59897,0,0.058,0
59899,0,0.044,0
59914,0,0.043,0
59928,0,0.224,0
59929,0,0.227,0
59933,0,0.067,0
59947,0,0.277,0
59947,1,0.277,0
59954,0,0.481,0
59957,0,0.368,0
59969,0,0.025,0
60007,0,0.000,0
60009,0,0.476,0
60009,0,0.476,0
60013,0,0.061,0
60014,0,0.431,0
60014,1,0.431,0
60022,0,0.056,0
60032,0,0.267,0
60033,1,0.312,0
60036,0,0.318,0
60040,0,0.234,0
60044,0,0.554,0
60047,0,0.530,0
60052,0,0.057,0
60061,0,0.058,0
60064,0,0.348,0
60067,0,0.235,0
60068,0,0.367,0
60068,1,0.367,0
60070,0,0.367,0
60096,1,0.386,0
60096,0,0.386,0
60103,1,0.000,1
60118,0,0.060,0
60127,0,0.147,0
60129,1,0.271,0
60129,0,0.271,0
60134,0,0.027,0
60141,0,0.063,0
60143,0,0.000,0
60144,1,0.448,0
60144,0,0.448,0
60150,0,0.049,0
60155,0,0.000,0
60175,1,0.000,1
60181,0,0.170,0
60196,1,0.225,0
60196,0,0.225,0
60203,0,0.533,0
60203,1,0.533,0
60222,1,0.467,0
60222,0,0.467,0
60223,0,0.431,0
60224,0,0.595,0
60227,0,0.285,0
60233,1,0.000,1
60237,0,0.024,0
60253,0,0.057,0
60255,0,0.062,0
60259,0,0.019,0
60267,1,0.455,0
60271,1,0.253,0
60274,0,0.354,0
60283,0,0.180,0
60285,0,0.469,0
60291,0,0.205,0
60296,0,0.029,0
60298,0,0.374,0
60304,1,0.362,0
60305,0,0.059,0
60310,1,0.350,0
60310,0,0.350,0
60311,1,0.597,0
60333,0,0.367,0
60337,0,0.295,0
60338,0,0.298,0
60346,0,0.047,0
60347,0,0.352,0
60357,1,0.402,0
60370,1,0.332,0
60382,0,0.610,0
60382,1,0.610,0
60388,1,0.461,0
60388,0,0.461,0
60392,0,0.389,0
60392,0,0.389,0
60407,0,0.644,0
60407,0,0.644,0
60416,0,0.275,0
60424,0,0.165,0
60436,0,0.324,0
60437,0,0.065,0
60439,0,0.000,0
60443,1,0.443,0
60448,0,0.249,0
60456,1,0.334,0
60458,0,0.040,0
60459,0,0.264,0
60461,0,0.000,0
60466,0,0.061,0
60488,0,0.070,0
60493,1,0.309,0
60494,0,0.000,0
60496,0,0.276,0
60497,0,0.314,0
60513,0,0.250,0
60518,0,0.051,0
60524,0,0.058,0
60548,0,0.436,0
60548,1,0.436,0
60553,0,0.445,0
60553,1,0.445,0
60559,0,0.155,0
60566,0,0.000,0
60596,0,0.238,0
60596,0,0.238,0
60605,0,0.332,0
60607,0,0.059,0
60614,0,0.038,0
60621,0,0.028,0
60667,0,0.056,0
60670,1,0.345,0
60671,0,0.042,0
60686,1,0.200,0
60688,1,0.501,1
60696,0,0.548,0
60711,0,0.057,0
60715,0,0.035,1
60716,0,0.255,0
60717,0,0.317,0
60723,0,0.330,0
60742,0,0.049,0
60746,0,0.040,0
60755,1,0.550,0
60758,0,0.452,0
60761,0,0.355,0
60780,0,0.420,0
60780,0,0.420,0
60783,0,0.180,0
60795,0,0.042,0
60798,1,0.260,1
60818,0,0.065,0
60823,0,0.049,0
60825,1,0.447,0
60843,0,0.489,0
60843,1,0.489,0
60860,0,0.047,0
60863,1,0.268,1
60877,1,0.396,0
60884,0,0.308,0
60884,0,0.308,0
60889,0,0.413,0
60893,0,0.062,0
60897,0,0.272,0
60913,1,0.339,0
60913,0,0.339,0
60928,0,0.054,0
60929,0,0.306,0
60930,0,0.067,0
60931,0,0.048,0
60954,1,0.386,0
60962,0,0.307,0
60965,0,0.398,0
60973,0,0.000,0
60976,0,0.039,0
60983,0,0.047,0
61011,0,0.378,0
61014,1,0.363,0
61017,0,0.434,0
61035,0,0.054,0
61037,0,0.319,0
61037,1,0.319,0
61038,0,0.046,0
61039,1,0.303,0
61047,0,0.383,0
61050,0,0.177,0
61063,0,0.033,0
61095,1,0.266,0
61095,0,0.266,0
61096,0,0.051,0
61098,0,0.053,0
61119,0,0.052,0
61134,0,0.030,0
61139,1,0.433,0
61143,0,0.036,0
61179,0,0.028,0
61184,1,0.231,0
61187,0,0.053,0
61188,0,0.056,0
61212,1,0.240,0
61213,1,0.474,0
61223,0,0.327,0
61234,0,0.064,0
61247,1,0.293,0
61260,0,0.314,0
61263,0,0.060,0
61272,0,0.480,0
61272,1,0.480,0
61273,0,0.054,0
61294,0,0.056,0
61304,0,0.041,0
61307,0,0.272,0
61314,0,0.059,0
61325,1,0.300,0
61325,0,0.300,0
61336,1,0.317,0
61346,0,0.028,0
61347,0,0.398,0
61350,1,0.395,0
61364,1,0.531,0
61370,0,0.220,0
61372,0,0.060,0
61377,0,0.028,0
61383,0,0.423,0
61386,0,0.440,0
61400,0,0.043,0
61402,0,0.295,0
61404,0,0.329,0
61423,0,0.380,0
61426,0,0.050,0
61442,0,0.023,0
61443,0,0.026,0
61459,1,0.266,0
61463,0,0.054,0
61465,0,0.587,0
61465,1,0.587,0
61468,0,0.487,0
61472,0,0.427,0
61474,0,0.062,0
61482,1,0.322,0
61482,0,0.322,0
61491,0,0.290,0
61496,1,0.264,0
61498,0,0.418,0
61502,1,0.291,0
61521,1,0.314,0
61522,0,0.478,0
61525,0,0.040,0
61530,0,0.284,0
61530,0,0.284,0
61536,0,0.052,0
61538,1,0.564,0
61547,0,0.356,0
61547,0,0.356,0
61551,0,0.249,0
61555,0,0.263,0
61561,0,0.022,0
61562,0,0.440,0
61562,1,0.440,0
61566,0,0.505,0
61566,0,0.505,0
61581,0,0.331,1
61600,0,0.025,0
61607,1,0.334,0
61613,0,0.044,0
61616,0,0.301,0
61640,0,0.294,0
61648,1,0.365,0
61648,0,0.365,0
61652,0,0.363,0
61660,0,0.039,0
61670,0,0.054,0
61671,0,0.056,0
61672,0,0.564,0
61677,0,0.247,0
61677,1,0.247,0
61687,0,0.051,0
61690,0,0.049,0
61705,0,0.402,0
61705,0,0.402,0
61707,0,0.329,0
61707,1,0.329,0
61709,1,0.377,0
61715,0,0.000,0
61720,1,0.000,1
61726,0,0.432,0
61731,1,0.324,0
61731,0,0.324,0
61733,0,0.045,0
61739,1,0.413,0
61742,0,0.142,0
61745,0,0.522,0
61749,0,0.445,0
61749,0,0.445,0
61767,0,0.364,0
61769,0,0.000,0
61781,0,0.412,0
61782,0,0.454,0
61782,0,0.454,0
61784,0,0.063,0
61789,0,0.028,0
61799,0,0.046,0
61803,1,0.535,0
61805,1,0.248,0
61813,0,0.398,0
61816,0,0.000,0
61826,1,0.228,0
61826,0,0.228,0
61837,0,0.363,0
61839,0,0.053,0
61849,0,0.027,0
61852,0,0.000,0
61856,1,0.000,1
61863,0,0.045,0
61884,0,0.047,1
61918,0,0.061,0
61927,1,0.418,0
61934,0,0.058,0
61953,1,0.497,0
61965,0,0.479,0
61977,0,0.529,0
61979,0,0.408,0
61995,1,0.537,0
62019,0,0.054,0
62020,0,0.430,0
62034,0,0.055,0
62043,0,0.379,0
62068,0,0.392,0
62076,1,0.338,0
62090,0,0.388,0
62090,1,0.388,0
62092,0,0.631,0
62092,1,0.631,0
62097,0,0.025,0
62111,0,0.322,0
62119,0,0.479,0
62127,0,0.037,0
62129,1,0.434,0
62134,0,0.449,0
62155,0,0.029,0
62164,1,0.465,0
62168,1,0.520,1
62171,0,0.056,0
62175,1,0.335,0
62180,0,0.345,0
62188,1,0.253,0
62188,0,0.253,0
62194,0,0.022,0
62196,0,0.070,0
62198,0,0.345,0
62207,0,0.065,0
62217,0,0.349,0
62268,0,0.507,0
62282,1,0.343,0
62283,0,0.053,0
62303,1,0.000,1
62310,0,0.055,0
62328,0,0.254,0
62328,0,0.254,0
62340,0,0.212,0
62340,0,0.212,0
62354,0,0.048,0
62366,0,0.397,0
62376,0,0.323,0
62379,0,0.364,0
62379,0,0.364,0
62381,0,0.426,0
62382,0,0.162,0
62397,0,0.332,0
62427,1,0.323,0
62431,0,0.050,0
62442,0,0.061,0
62446,0,0.359,0
62450,0,0.035,0
62460,0,0.061,0
62463,0,0.191,0
62467,0,0.046,0
62472,0,0.267,0
62472,1,0.267,0
62482,0,0.329,0
62498,1,0.374,0
62498,0,0.374,0
62500,0,0.303,0
62507,0,0.525,0
62525,1,0.481,0
62551,1,0.254,0
62553,0,0.501,0
